id,neighborhood,room_type,accommodates,bedrooms,price,security_deposit,cleaning_fee,rating,superhost,response_time,acceptance_rate,host_since,last_review,num_reviews,latitude,longitude,minimum_nights,maximum_nights
3686,Historic Anacostia,Private room,1,1.0,55,25,25,4.6,0,a few days or more,67%,2008-11-26,2021-08-09,76,38.86339,-76.98889,2,365
3943,Edgewood,Private room,2,1.0,71,50,0,4.81,0,,,2008-12-12,2021-09-11,434,38.91195,-77.00456,2,1125
4529,Eastland Gardens,Private room,4,1.0,54,25,50,4.66,0,within a few hours,,2008-12-30,2019-07-05,102,38.90585,-76.94469,30,180
4967,Edgewood,Private room,1,1.0,99,50,0,4.74,1,within an hour,85%,2009-01-26,2016-09-22,31,38.91409,-76.99368,2,365
5589,Kalorama Heights,Entire home/apt,3,1.0,99,50,0,4.54,0,within a few hours,11%,2009-01-13,2020-03-05,95,38.91887,-77.04008,5,24
7103,Spring Valley,Entire home/apt,2,1.0,68,0,25,4.8,0,within an hour,96%,2009-05-18,2021-08-28,91,38.91988,-77.09796,6,200
9097,Kalorama Heights,Private room,1,1.0,42,50,25,4.86,0,within a few hours,11%,2009-01-13,2019-10-30,112,38.91966,-77.04306,2,7
9641,Dupont Circle,Entire home/apt,4,1.0,195,100,100,4.75,0,within a day,34%,2009-08-17,2021-09-07,156,38.90927,-77.03471,2,180
11785,Cathedral Heights,Entire home/apt,4,1.0,125,100,100,4.59,0,,,2009-08-16,2021-08-01,403,38.92622,-77.07591,1,365
12442,Cathedral Heights,Private room,2,1.0,60,50,25,4.68,0,,,2009-08-16,2021-06-13,100,38.92744,-77.07496,1,365
13744,Columbia Heights,Entire home/apt,4,1.0,125,100,100,4.89,0,within a few hours,50%,2009-11-13,2021-08-25,28,38.92836,-77.03136,4,14
14218,Cathedral Heights,Private room,2,1.0,61,25,25,4.66,0,,,2009-08-16,2021-08-01,95,38.92668,-77.07686,1,365
14570,Shaw,Private room,3,1.0,90,0,50,4.86,1,,,2009-11-22,2019-07-29,554,38.90595,-77.02564,3,30
16684,Union Station,Entire home/apt,2,1.0,95,0,25,4.91,1,within an hour,100%,2009-12-21,2021-05-22,174,38.89866,-77.00179,14,365
17131,Cathedral Heights,Private room,2,1.0,60,0,25,4.58,0,,,2009-08-16,2021-06-20,85,38.92644,-77.07646,1,365
22453,Dupont Circle,Shared room,1,1.0,90,25,0,4.8,0,within a day,34%,2009-08-17,2021-07-14,102,38.90933,-77.03484,2,4
24712,Brightwood Park,Entire home/apt,16,4.0,225,50,50,4.24,0,within an hour,100%,2010-03-29,2021-09-08,132,38.94771,-77.02368,4,90
25243,Southwest Employment Area,Entire home/apt,8,3.0,379,50,100,4.62,0,,,2010-04-06,2021-06-14,26,38.88107,-77.01891,1,90
32087,Kalorama Heights,Private room,2,1.0,148,0,0,4.85,0,within an hour,98%,2010-06-04,2020-03-04,15,38.91766,-77.04598,1,365
52092,Shaw,Entire home/apt,6,2.0,62,25,50,4.34,0,within a few hours,77%,2009-10-31,2021-08-31,187,38.90879,-77.02403,10,365
54112,Dupont Circle,Entire home/apt,2,1.0,195,0,100,4.85,1,within a few hours,56%,2010-10-04,2020-12-02,156,38.91234,-77.03482,3,365
62122,Kalorama Heights,Private room,3,2.0,85,50,25,4.84,1,within an hour,100%,2010-11-27,2021-08-24,106,38.92238,-77.04709,5,100
65024,Edgewood,Private room,1,1.0,35,0,0,4.56,0,within a day,55%,2010-12-10,2021-08-20,9,38.91717,-77.0085,5,730
67483,Columbia Heights,Entire home/apt,3,1.0,99,25,50,4.48,1,within a few hours,100%,2011-01-02,2021-06-30,156,38.934628,-77.029839,30,730
72454,Brightwood Park,Entire home/apt,16,4.0,210,50,0,4.32,0,within an hour,100%,2010-03-29,2021-07-11,196,38.94684,-77.02294,4,1125
78264,Edgewood,Private room,4,1.0,66,50,0,4.69,0,,67%,2011-03-03,2019-09-14,35,38.91573,-77.00721,1,30
79866,Ivy City,Private room,1,1.0,99,0,25,4.89,1,within an hour,85%,2009-01-26,2016-08-27,10,38.90493,-76.98643,2,730
79867,Ivy City,Private room,1,1.0,99,50,50,4.9,1,within an hour,85%,2009-01-26,2016-09-30,10,38.90618,-76.98498,2,730
93551,Shaw,Private room,2,1.0,80,0,25,4.73,1,,,2011-04-03,2019-09-25,99,38.91235,-77.01873,3,365
107801,Union Station,Entire home/apt,8,2.0,140,50,0,4.7,0,,,2011-03-16,2017-08-09,13,38.89768,-76.97113,2,30
116951,Howard University,Private room,2,1.0,67,25,25,4.66,1,,,2011-04-03,2019-10-04,80,38.91702,-77.01617,10,730
150109,Dupont Circle,Entire home/apt,2,1.0,135,100,50,4.82,0,within a day,60%,2011-06-20,2021-01-23,30,38.91525,-77.04001,5,365
153545,Brightwood Park,Private room,1,1.0,59,0,50,4.62,1,within an hour,97%,2011-06-24,2021-08-14,37,38.94286,-77.04417,30,1120
155859,Takoma,Private room,1,1.0,64,50,25,4.87,0,within an hour,100%,2011-06-26,2019-10-28,130,38.96628,-77.0309,4,14
160148,Dupont Circle,Private room,2,1.0,309,50,100,5.0,0,a few days or more,0%,2011-07-01,2015-05-20,2,38.91297,-77.0465,30,1125
161913,Dupont Circle,Private room,1,1.0,99,0,25,4.6,0,a few days or more,0%,2011-07-01,2015-08-10,5,38.91296,-77.04639,30,1125
161922,Dupont Circle,Entire home/apt,4,2.0,149,50,50,5.0,0,a few days or more,0%,2011-07-01,2019-05-13,1,38.91296,-77.04639,60,1125
164069,Edgewood,Private room,2,1.0,32,0,0,4.85,0,,,2008-12-12,2021-08-03,196,38.91366,-77.00803,21,1125
174808,Historic Anacostia,Private room,2,1.0,75,0,25,4.92,0,within a few hours,62%,2011-07-18,2021-08-31,37,38.86432,-76.98749,2,1125
