INSTNM,CITY,STABBR,HBCU,MENONLY,WOMENONLY,RELAFFIL,SATVRMID,SATMTMID,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,PCTPELL,PCTFLOAN,UG25ABV,MD_EARN_WNE_P10,GRAD_DEBT_MDN_SUPP
Alabama A & M University,Normal,AL,1.0,0.0,0.0,0,424.0,420.0,0.0,4206.0,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,0.0,0.0059,0.0138,0.0656,1,0.7356,0.8284,0.1049,30300,33888
University of Alabama at Birmingham,Birmingham,AL,0.0,0.0,0.0,0,570.0,565.0,0.0,11383.0,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,0.0368,0.0179,0.01,0.2607,1,0.34600000000000003,0.5214,0.2422,39700,21941.5
Amridge University,Montgomery,AL,0.0,0.0,0.0,1,,,1.0,291.0,0.299,0.4192,0.0069,0.0034,0.0,0.0,0.0,0.0,0.2715,0.4536,1,0.6801,0.7795,0.8540000000000001,40100,23370
University of Alabama in Huntsville,Huntsville,AL,0.0,0.0,0.0,0,595.0,590.0,0.0,5451.0,0.6988,0.1255,0.0382,0.0376,0.0143,0.0002,0.0172,0.0332,0.035,0.2146,1,0.3072,0.4596,0.264,45500,24097
Alabama State University,Montgomery,AL,1.0,0.0,0.0,0,425.0,430.0,0.0,4811.0,0.0158,0.9208,0.0121,0.0019,0.001,0.0006,0.0098,0.0243,0.0137,0.0892,1,0.7347,0.7554,0.127,26600,33118.5
The University of Alabama,Tuscaloosa,AL,0.0,0.0,0.0,0,555.0,565.0,0.0,29851.0,0.7825,0.1119,0.0348,0.0106,0.0038,0.0009,0.0261,0.0268,0.0026,0.0844,1,0.204,0.401,0.0853,41900,23750
Central Alabama Community College,Alexander City,AL,0.0,0.0,0.0,0,,,0.0,1592.0,0.7255,0.2613,0.0044,0.0025,0.0044,0.0,0.0,0.0,0.0019,0.3882,1,0.5892,0.3977,0.3153,27500,16127
Athens State University,Athens,AL,0.0,0.0,0.0,0,,,0.0,2991.0,0.7823,0.12,0.0191,0.0053,0.0157,0.001,0.0174,0.0057,0.0334,0.5517,1,0.4088,0.6296,0.6409999999999999,39000,18595
Auburn University at Montgomery,Montgomery,AL,0.0,0.0,0.0,0,486.0,509.0,0.0,4304.0,0.5328,0.3376,0.0074,0.0221,0.0044,0.0016,0.0297,0.0397,0.0246,0.2853,1,0.4192,0.5803,0.293,35000,21335
Auburn University,Auburn,AL,0.0,0.0,0.0,0,575.0,588.0,0.0,20514.0,0.8507,0.0704,0.0248,0.0227,0.0074,0.0,0.0,0.01,0.013999999999999999,0.0862,1,0.161,0.3494,0.0415,45700,21831
Birmingham Southern College,Birmingham,AL,0.0,0.0,0.0,1,560.0,560.0,0.0,1180.0,0.7983,0.1102,0.0195,0.0517,0.0102,0.0,0.0051,0.0,0.0051,0.0017,1,0.192,0.4809,0.0152,44200,27000
Chattahoochee Valley Community College,Phenix City,AL,0.0,0.0,0.0,0,,,0.0,1727.0,0.4661,0.4372,0.0492,0.0127,0.0023,0.0035,0.0151,0.0,0.0139,0.4198,1,0.6369,0.2537,0.3876,26100,9000
Concordia College Alabama,Selma,AL,1.0,0.0,0.0,1,420.0,400.0,0.0,322.0,0.027999999999999997,0.8758,0.0373,0.0093,0.0,0.0,0.0031,0.0466,0.0,0.1056,1,0.8667,0.9333,0.2367,19900,PrivacySuppressed
South University-Montgomery,Montgomery,AL,0.0,0.0,0.0,0,,,0.0,522.0,0.3046,0.6054,0.0153,0.0153,0.0153,0.0096,0.0,0.0019,0.0326,0.3238,1,0.6845,0.7129,0.5726,28800,25167
Enterprise State Community College,Enterprise,AL,0.0,0.0,0.0,0,,,0.0,1729.0,0.6408,0.2435,0.0509,0.0202,0.0081,0.0029,0.0254,0.0012,0.0069,0.3823,1,0.4895,0.2263,0.3399,24600,8273
James H Faulkner State Community College,Bay Minette,AL,0.0,0.0,0.0,0,,,0.0,4286.0,0.6979,0.2259,0.032,0.0084,0.0177,0.0014,0.0152,0.0007,0.0009,0.4104,1,0.4725,0.3741,0.2909,28700,11000
Faulkner University,Montgomery,AL,0.0,0.0,0.0,1,,,0.0,2367.0,0.3874,0.5137,0.0258,0.0042,0.0063,0.0013,0.0173,0.0182,0.0258,0.2302,1,0.5812,0.7253,0.4589,37200,22000
Gadsden State Community College,Gadsden,AL,1.0,0.0,0.0,0,,,0.0,4917.0,0.6921,0.2076,0.0305,0.0047,0.0128,0.0018,0.0185,0.015,0.0169,0.4523,1,0.5734,0.0,0.3733,25700,PrivacySuppressed
New Beginning College of Cosmetology,Albertville,AL,0.0,0.0,0.0,0,,,0.0,115.0,0.8957,0.0348,0.0696,0.0,0.0,0.0,0.0,0.0,0.0,0.0783,1,0.8224,0.8553,0.3933,,5500
George C Wallace State Community College-Dothan,Dothan,AL,0.0,0.0,0.0,0,,,0.0,4293.0,0.6273,0.324,0.0221,0.0072,0.0049,0.0009,0.0126,0.0,0.0009,0.4787,1,0.5501,0.0,0.392,26600,PrivacySuppressed
George C Wallace State Community College-Hanceville,Hanceville,AL,0.0,0.0,0.0,0,,,0.0,4920.0,0.863,0.0612,0.0362,0.0065,0.0089,0.0,0.0,0.0059,0.0183,0.4203,1,0.5026,0.4192,0.3229,28800,11186
George C Wallace State Community College-Selma,Selma,AL,0.0,0.0,0.0,0,,,0.0,1513.0,0.1956,0.7449,0.0026,0.004,0.0013,0.0,0.0033,0.004,0.0443,0.384,1,0.7645,0.0,0.3318,24200,PrivacySuppressed
