year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1980,96788,96649,93801,96861,99737,105153,111657,110732,112784,114022,109764,108265,114046,121760,123332,123596,123734,114545,109435,107820,106116,109481,110440,113115,114776,114361,112803,117186,117520,117581,123122,128849,134018,135698,138211,137331,135928,127840,117052,104227,99017,100699,96635,92467,90431,87014,85513,84432,88133,88616,90603,88859,92208,90571,93003,96010,97153,99061,99836,106729,112808,92183,91440,92064,90217,88771,90814,89516,88577,85110,82957,81666,77022,72719,68135,62860,58931,54007,51154,46519,41916,35964,32401,28028,24740,20870,17340,14697,11580,9435,7206,5451,4089,3132,2267,1517,1088,673,413,214,320
1981,93937,97577,96628,93824,96798,99671,105062,111477,110677,112729,113925,109691,108237,114028,121734,123332,123664,123851,114796,109928,108173,106596,109785,110770,113408,114871,114483,112880,117173,117345,117358,122840,128559,133688,135375,137892,137054,135688,127588,116843,103997,98779,100453,96372,92263,90206,86699,85202,84169,87809,88258,90183,88485,91725,90092,92437,95352,96457,98287,98921,105661,111584,91089,90243,90672,88779,87219,89108,87602,86416,82842,80562,78992,74230,69851,65143,59878,55879,50792,47809,43136,38570,32787,29214,24849,21662,18021,14779,12349,9601,7660,5779,4290,3071,2336,1635,1075,743,437,263,344
1982,92725,94439,97516,96599,93739,96764,99535,104870,111333,110560,112567,113842,109659,108206,113955,121774,123380,123723,124088,115122,110173,108371,106786,109977,110888,113446,114986,114424,112795,117072,117266,117143,122677,128296,133417,135144,137637,136810,135349,127334,116642,103801,98574,100204,96183,92029,89940,86445,84932,83857,87494,87931,89752,88067,91237,89557,91797,94654,95736,97421,98026,104535,110283,89891,89018,89233,87303,85583,87219,85570,84198,80590,78092,76289,71406,66948,62127,56765,52674,47636,44403,39757,35274,29624,26136,21984,18926,15583,12540,10220,7894,6144,4568,3291,2271,1739,1171,761,500,293,379
1983,91618,93202,94469,97506,96570,93679,96698,99400,104844,111234,110505,112545,113806,109673,108179,113987,121772,123474,123843,124347,115361,110419,108586,107036,110098,110939,113396,115022,114289,112701,117001,117137,116983,122432,128017,133126,134890,137372,136589,135099,127067,116418,103586,98333,99973,95934,91778,89627,86180,84657,83530,87113,87495,89263,87588,90670,89001,91218,93986,94910,96483,97006,103356,108894,88670,87551,87781,85715,83800,85279,83482,82018,78104,75493,73430,68493,63855,58959,53644,49456,44306,41058,36378,31956,26559,23086,19142,16355,13205,10425,8368,6330,4779,3505,2492,1681,1247,795,519,336,411
1984,93630,92230,93407,94569,97665,96641,93711,96761,99487,104874,111324,110575,112605,113851,109799,108291,114069,121888,123677,124267,124854,115915,110942,109066,107494,110547,111241,113612,115187,114409,112759,116945,117079,116860,122290,127887,133025,134695,137233,136429,134845,126902,116219,103352,98144,99735,95722,91512,89392,85920,84325,83263,86729,87085,88846,87057,90087,88379,90550,93188,94071,95524,95883,102107,107379,87308,86087,86226,84059,82022,83227,81257,79539,75565,72835,70449,65343,60603,55719,50261,46153,41016,37681,33051,28758,23597,20257,16650,13949,11042,8520,6770,4986,3716,2677,1879,1190,861,557,351,454
1985,98196,94399,92522,93635,94762,97787,96755,93732,96871,99586,104997,111420,110665,112737,113937,109912,108377,114207,122134,124103,124794,125480,116563,111640,109676,108017,110952,111617,113925,115400,114568,112890,116962,117017,116794,122145,127752,132867,134563,136983,136265,134661,126678,116050,103128,97972,99524,95461,91269,89160,85608,83969,82883,86342,86658,88305,86510,89474,87688,89725,92333,93137,94477,94686,100726,105672,85894,84437,84506,82182,80080,81000,78873,76886,72803,69854,67293,62011,57149,52268,46785,42735,37513,34146,29619,25434,20550,17425,14188,11598,9059,6729,5322,3796,2787,1932,1312,834,602,360,477
1986,101672,99023,94895,92873,93975,95050,98038,96934,93913,97065,99714,105196,111597,110839,112932,114116,110076,108535,114549,122763,124674,125527,126293,117349,112438,110355,108689,111378,112029,114179,115653,114769,112955,117039,116997,116758,122054,127590,132697,134381,136813,136064,134448,126409,115850,102889,97675,99247,95137,91039,88832,85295,83698,82508,85887,86193,87784,85919,88833,86945,88911,91470,92197,93366,93438,99238,103876,84273,82789,82624,80267,77993,78589,76346,74159,69867,66799,64074,58611,53753,48699,43379,39117,34085,30756,26254,22309,17724,14770,11786,9511,7279,5295,4145,2889,2049,1386,938,563,397,520
1987,104456,102626,99508,95302,93335,94436,95452,98311,97264,94186,97353,100011,105434,111837,111173,113230,114354,110295,108946,115144,123381,125404,126253,127124,118250,113379,111077,109421,111912,112593,114623,116049,115120,113240,117249,117129,116820,122158,127601,132661,134272,136731,135920,134285,126240,115627,102732,97505,98973,94905,90750,88557,84994,83354,82112,85446,85732,87277,85302,88176,86214,88050,90515,91164,92143,92095,97640,102155,82700,81108,80746,78152,75726,76141,73591,71304,66922,63516,60759,55124,50147,45136,39895,35645,30731,27402,23055,19286,15109,12401,9741,7688,5745,4082,3106,2135,1475,971,609,393,579
1988,111892,105337,103185,100029,95846,93910,94954,95948,98772,97666,94633,97685,100367,105718,112146,111510,113535,114709,110879,109723,116041,124375,126503,127359,128317,119389,114392,112014,110390,112678,113299,115291,116574,115506,113667,117510,117371,116991,122358,127699,132747,134310,136723,135892,134178,126120,115509,102566,97341,98770,94667,90511,88287,84721,83030,81702,85032,85219,86747,84694,87472,85422,87109,89523,89979,90847,90709,95971,100139,80943,79218,78662,76018,73321,73381,70748,68268,63632,60128,57209,51324,46339,41390,36270,32103,27294,23984,19874,16349,12571,10150,7829,6003,4366,3065,2269,1481,1006,628,396,564
1989,115847,112875,106082,104068,100895,96673,94697,95693,96681,99456,98321,95237,98220,100837,106264,112648,112059,114078,115544,112142,111114,117694,126129,128305,129266,130066,120931,115931,113360,111763,113819,114285,116248,117316,116175,114237,118044,117756,117376,122663,127851,132889,134395,136795,135903,134119,126054,115428,102466,97281,98602,94457,90296,88026,84466,82710,81355,84551,84689,86172,84057,86729,84629,86229,88472,88798,89532,89275,94277,98184,79169,77343,76642,73717,70944,70685,67871,65122,60334,56790,53680,47869,42817,37942,32696,28736,24041,20946,17019,13786,10442,8159,6154,4739,3277,2266,1654,1038,681,412,583
1990,124004,116782,113612,106755,104812,101565,97334,95376,96284,97285,99998,98818,95683,98715,101179,106635,113054,112425,114730,116452,113116,112111,118889,127275,129594,130634,131389,122132,117072,114298,112707,114588,114939,116827,117889,116613,114752,118370,118003,117561,122865,128001,132932,134408,136684,135749,133968,125823,115202,102249,97081,98320,94149,89941,87702,84098,82279,80882,84024,84074,85470,83369,85877,83771,85259,87321,87556,88102,87679,92560,96040,77221,75203,74364,71286,68249,67757,64778,61705,56797,53245,49760,44078,39091,34309,29191,25283,20932,17929,14184,11441,8418,6440,4785,3567,2428,1604,1138,695,450,610
1991,123353,124659,117257,114129,107300,105265,102122,97874,95871,96800,97682,100491,99250,96070,99002,101565,106985,113458,112854,115338,116895,113739,112855,119745,128117,130493,131455,132107,122922,117741,114879,113292,115030,115339,117218,118215,116979,114938,118559,118019,117577,122840,127882,132774,134225,136464,135485,133669,125506,114921,101972,96804,98003,93830,89587,87329,83628,81809,80317,83359,83447,84791,82545,84962,82784,84170,86076,86129,86621,85957,90566,93750,75294,73018,71928,68738,65488,64670,61440,58282,53247,49642,45846,40274,35327,30776,25754,22166,17984,15097,11775,9179,6616,4994,3635,2596,1738,1128,760,464,622
1992,122582,124040,124819,117645,114498,107659,105663,102453,98299,96258,97210,98006,100837,99578,96427,99308,101888,107446,114029,113386,115948,117497,114300,113586,120557,128802,131138,132110,132561,123503,118155,115261,113710,115269,115669,117406,118334,117075,114965,118534,117983,117466,122742,127674,132538,133916,136104,135160,133337,125138,114524,101680,96483,97561,93431,89162,86829,83148,81314,79739,82754,82740,84039,81626,83977,81784,82921,84742,84646,84953,84117,88539,91388,73085,70611,69398,66116,62603,61410,57983,54786,49552,45892,41993,36499,31631,27250,22579,19023,15230,12494,9536,7276,5127,3765,2655,1833,1175,773,513,659
