year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1980,671,54,27,29,31,24,24,23,23,22,15,14,30,26,39,42,47,54,57,63,81,65,64,90,86,100,106,88,95,118,103,131,131,139,159,176,177,163,161,149,204,176,224,211,231,252,275,295,290,366,405,429,463,510,564,655,682,823,950,1035,1198,1059,1179,1332,1412,1517,1722,1811,2104,2098,2364,2555,2598,2831,2822,2961,3072,3273,3245,3280,3387,3254,3253,3039,2991,2887,2540,2229,2119,1843,1563,1254,1151,875,693,509,370,248,166,89,167
1981,653,40,21,22,18,20,24,20,22,16,23,13,18,20,40,41,41,57,74,77,75,75,73,73,75,74,70,85,93,103,105,117,103,140,126,157,150,172,166,162,147,185,208,177,222,239,255,275,298,354,372,424,441,482,536,638,681,760,826,982,1146,1203,1099,1260,1430,1490,1579,1872,1988,2241,2304,2613,2672,2821,2939,3017,3012,3135,3312,3375,3347,3344,3181,3164,3165,2954,2746,2435,2151,1864,1621,1255,1093,922,702,528,393,281,183,97,144
1982,635,41,27,28,30,18,13,20,24,16,17,14,16,15,18,48,43,47,56,68,59,79,55,60,68,85,79,96,97,84,94,97,115,117,147,166,160,189,202,173,170,169,198,211,209,245,237,259,293,325,321,405,460,456,510,619,708,706,841,891,1044,1206,1307,1174,1355,1454,1540,1796,2015,2120,2289,2363,2671,2731,2893,2993,3119,3081,3214,3353,3480,3271,3228,3179,2996,2832,2571,2357,2146,1949,1557,1413,1082,887,712,508,383,280,178,114,180
1983,646,33,26,23,19,18,24,10,21,20,16,17,21,15,16,45,51,39,88,70,66,53,82,84,76,77,98,83,92,90,109,92,100,114,113,150,169,155,156,161,215,198,193,192,204,210,244,264,262,319,332,383,460,487,520,541,589,621,748,911,959,1119,1234,1374,1261,1487,1491,1675,1865,2040,2100,2416,2496,2695,3004,2994,3095,3201,3215,3305,3304,3436,3354,3148,3118,3034,2546,2568,2248,2000,1667,1495,1192,927,691,547,439,277,207,133,202
1984,600,40,15,22,11,13,16,19,13,17,15,23,19,18,26,39,37,35,77,70,82,63,71,83,69,75,96,90,89,88,113,101,94,121,116,141,157,156,179,183,208,186,228,198,229,226,233,259,263,293,314,336,421,423,491,552,630,657,739,818,895,1035,1229,1329,1498,1402,1444,1586,1783,1922,2105,2332,2556,2619,2784,3085,3299,3223,3338,3324,3309,3413,3359,3254,3091,2924,2645,2474,2288,2043,1757,1436,1209,980,673,556,427,313,192,134,221
1985,666,44,27,23,16,21,18,16,7,12,17,18,16,19,21,27,38,52,83,73,81,73,78,72,58,83,79,76,63,85,95,103,105,108,135,128,157,155,193,177,209,210,224,201,196,223,241,271,269,292,342,382,363,393,510,544,573,666,764,818,904,1016,1071,1276,1516,1628,1458,1768,1762,1918,2073,2333,2499,2730,2870,3106,3218,3468,3464,3506,3433,3563,3485,3495,3323,3284,2881,2669,2430,2147,1896,1624,1296,1061,837,620,463,289,214,177,252
1986,605,55,24,22,22,16,16,9,17,16,23,22,9,25,32,36,33,53,62,69,79,78,99,72,66,83,75,80,97,79,83,81,96,105,129,122,152,162,177,207,210,211,205,226,222,233,319,274,303,299,330,336,359,421,474,502,513,636,706,795,858,895,1029,1188,1383,1558,1788,1565,1789,1890,2052,2300,2394,2595,2959,2896,3197,3320,3395,3541,3497,3579,3547,3381,3422,3194,3024,2711,2587,2195,1899,1626,1298,1039,812,632,441,333,230,152,242
1987,641,43,32,25,18,16,12,13,9,15,19,17,16,18,20,37,48,48,57,81,89,83,74,84,60,74,84,94,89,87,109,86,111,101,119,115,134,129,172,179,204,185,231,248,239,237,263,291,313,310,348,387,365,410,463,502,552,604,693,758,852,926,969,1166,1283,1497,1677,1720,1596,1784,2039,2185,2387,2645,2820,2937,3069,3347,3410,3636,3571,3542,3488,3402,3419,3296,3125,2789,2539,2187,1928,1678,1356,1080,928,665,490,373,224,164,256
1988,652,53,28,20,13,18,19,13,10,10,12,20,18,17,25,39,51,47,50,72,92,86,77,85,86,81,82,91,82,84,82,120,104,108,118,156,132,149,168,153,206,232,239,267,295,272,280,288,292,364,309,352,394,387,452,488,540,601,649,708,821,962,992,1092,1310,1326,1569,1884,1987,1827,2005,2156,2285,2643,2781,3004,3180,3324,3482,3731,3823,3780,3693,3642,3486,3474,3290,3079,2751,2372,2089,1829,1510,1259,897,724,580,379,285,170,327
1989,670,46,30,16,28,16,17,6,16,7,10,12,14,18,22,46,30,49,88,82,68,70,64,79,71,75,86,87,87,88,94,97,105,105,95,123,144,140,149,201,206,213,224,261,254,309,271,272,257,329,332,333,388,372,445,442,517,589,610,695,753,816,917,1002,1126,1321,1419,1602,1854,1975,1777,2019,2188,2332,2652,2784,3023,3292,3349,3466,3463,3526,3501,3528,3540,3365,3136,2976,2648,2423,2005,1862,1501,1153,881,700,548,377,264,189,286
