CPT Code,CPT Description
100,Anesthesia for procedure on salivary gland with biopsy
103,Anesthesia for procedure on eyelid
104,Anesthesia for electric shock treatment
120,Anesthesia for biopsy of external middle and inner ear
126,Anesthesia for incision of ear drum
140,Anesthesia for procedure on eye
142,Anesthesia for lens surgery
144,Anesthesia for procedure on eye for corneal transplant
145,Anesthesia for retinal surgery
147,Anesthesia for procedure on eye for removal of iris
160,Anesthesia for procedure on nose and sinus
164,Anesthesia for soft tissue biopsy on nose and sinus
170,Anesthesia for procedure on mouth including biopsy
190,Anesthesia for procedure on facial bones or skull
192,Anesthesia for surgery of facial bones or skull
210,Anesthesia for procedure on brain
211,Anesthesia for procedure to remove blood collection in brain
214,Anesthesia for procedure to create holes in skull including X-ray imaging
216,Anesthesia for procedure on blood vessel in brain
220,Anesthesia for procedure to drain brain and spinal cord fluid
222,Anesthesia for procedure on nerve in brain
300,Anesthesia for procedure on esophagus and neck
320,"Anesthesia for procedure on esophagus and neck, age 1 year or older"
350,Anesthesia for procedure on major blood vessels of neck
352,Anesthesia for tying procedure on major blood vessels of neck
400,"Anesthesia for procedure on skin of arms, legs, or trunk"
402,Anesthesia for breast reconstruction
404,Anesthesia for removal of breast
410,Anesthesia for procedure to correct abnormal heart rhythm
500,Anesthesia for procedure on esophagus
520,Anesthesia for closed procedure in chest
522,Anesthesia for closed needle biopsy of lung
528,Anesthesia for closed diagnostic examination of chest using an endoscope
529,Anesthesia for closed diagnostic examination of chest using an endoscope with 1 lung ventilation
530,Anesthesia for insertion of permanent heart pacemaker
532,Anesthesia for central vein access
534,Anesthesia for insertion or replace of pacing heart defibrillator
537,Anesthesia for procedure on heart to correct abnormal rhythm
540,Anesthesia for procedure in chest
541,Anesthesia for procedure in chest with 1 lung ventilation
542,Anesthesia for removal of lung lining
550,Anesthesia for removal of breast bone tissue
560,Anesthesia for procedure on heart and great blood vessels
562,"Anesthesia for procedure on heart and great blood vessels on heart-lung machine, age 1 year or older, or re-operation more than 1 month after original procedure"
563,Anesthesia for procedure on heart and great blood vessels on heart-lung machine
566,Anesthesia for heart artery bypass grafting
567,Anesthesia for heart artery bypass grafting on heart-lung machine
580,Anesthesia for heart or heart-lung transplant
600,Anesthesia for procedure on upper spine and spinal cord
620,Anesthesia for procedure on middle spine and spinal cord
630,Anesthesia for procedure on lower spine
635,Anesthesia for spinal tap
640,Anesthesia for closed manipulation of spine
670,Anesthesia for procedure on spine and spinal cord
700,Anesthesia for procedure on upper front abdominal wall
702,Anesthesia for liver biopsy (accessed through the skin)
740,Anesthesia for procedure on gastrointestinal tract using an endoscope
750,Anesthesia for procedure to repair upper abdominal hernia
752,Anesthesia for procedure to repair upper abdominal incisional hernia and/or wound opening
770,Anesthesia for procedure on major abdominal blood vessels
790,Anesthesia for procedure in upper abdomen including use of an endoscope
792,Anesthesia for partial removal of liver or management of bleeding including use of an endoscope
794,Anesthesia for removal of pancreas including use of an endoscope
796,Anesthesia for liver transplant recipient including use of an endoscope
797,Anesthesia for procedure on stomach for obesity including use of an endoscope
800,Anesthesia for procedure on lower front abdominal wall
810,Anesthesia for procedure on lower intestine using an endoscope
830,Anesthesia for lower abdominal hernia repair
832,Anesthesia for middle or incisional abdominal hernia repair
840,Anesthesia for procedure in lower abdominal cavity including use of an endoscope
844,Anesthesia for procedure in lower abdominal cavity and rectum including use of an endoscope
846,Anesthesia for removal of uterus including use of an endoscope
860,Anesthesia for procedure in lower abdomen including urinary tract
862,Anesthesia for procedure on upper urinary duct (ureter) or removal of kidney for transplant
864,Anesthesia for removal of urinary bladder
865,Anesthesia for removal of prostate
868,Anesthesia for kidney transplant
870,Anesthesia for removal of urinary bladder stone
872,Anesthesia for shock wave therapy for urinary system stones
873,Anesthesia for shock wave therapy for urinary system stones
880,Anesthesia for procedure on major lower abdominal wall blood vessels
902,Anesthesia for procedure on anus and rectum
910,Anesthesia for procedure on urinary system including use of an endoscope
912,Anesthesia for removal of urinary bladder tumors including use of an endoscope
914,Anesthesia for removal of prostate including use of an endoscope
916,Anesthesia for procedure to control urinary system bleeding including use of an endoscope
918,"Anesthesia for fragmenting, manipulation and/or removal of kidney stone including use of an endoscope"
920,Anesthesia for procedure on male genitalia
938,Anesthesia for insertion of penile prosthesis
940,"Anesthesia for vaginal biopsy of cervix, uterine lining, or external genitalia"
942,Anesthesia for repair or removal of vagina and urinary procedure
944,Anesthesia for vaginal removal of uterus
952,Anesthesia for examination of uterus using an endoscope
1112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone
1160,Anesthesia for procedure on pubic bone or sacroiliac joint
1170,Anesthesia for open procedure on pubic bone or sacroiliac joint
1200,Anesthesia for closed procedure on hip joint
1202,Anesthesia for procedure on hip joint using an endoscope
1210,Anesthesia for open surgical procedure on hip joint
1214,Anesthesia for open total hip joint replacement
1215,Anesthesia for open revision of total hip joint replacement
1220,Anesthesia for closed procedure on upper two-thirds of thigh bone
1230,Anesthesia for open procedure on upper two-thirds of thigh bone
1232,Anesthesia for open amputation at upper two-thirds of thigh bone
1250,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper leg"
1260,Anesthesia for procedure on veins of upper leg
1270,Anesthesia for procedure on arteries of upper leg
1272,Anesthesia for groin artery bypass graft and tying of upper leg artery
1320,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and/or bursae of knee"
1360,Anesthesia for open procedure on lower one-third of thigh bone
1380,Anesthesia for closed procedure on knee joint
1382,Anesthesia for diagnostic examination of knee joint using an endoscope
1392,Anesthesia for open procedure at kneecap and upper foreleg bones
1400,Anesthesia for open or endoscopic procedure on knee including
1402,Anesthesia for open or endoscopic total knee joint replacement
1440,Anesthesia for procedure on knee arteries
1462,"Anesthesia for closed procedure on lower leg, ankle, and foot"
1470,"Anesthesia for procedure on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot"
1474,Anesthesia for procedure to repair calf muscle
1480,"Anesthesia for open procedure on bones of lower leg, ankle and foot"
1482,Anesthesia for open amputation below the knee
1486,Anesthesia for open total ankle joint replacement
1500,Anesthesia for procedure on arteries of lower leg including bypass graft
1520,Anesthesia for procedure on veins of lower leg
1610,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm"
1620,Anesthesia for closed procedure on upper arm bone and shoulder joint
1622,Anesthesia for diagnostic examination of shoulder joint using an endoscope
1630,Anesthesia for open or endoscopic procedure at upper arm and shoulder joint including
1638,Anesthesia for open or endoscopic total shoulder joint replacement
1710,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow"
1716,Anesthesia for suture of upper arm and elbow tendon to bone
1740,Anesthesia for open or endoscopic procedure on elbow
1770,Anesthesia for procedure on arteries of upper arm and elbow
1772,Anesthesia for removal of blood clot from upper arm or elbow artery
1780,Anesthesia for procedure on veins of upper arm and elbow
1810,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand"
1820,"Anesthesia for closed procedure on bones of forearm, wrist, or hand"
1830,"Anesthesia for open or endoscopic procedure on bones of forearm, wrist, or hand"
1844,Anesthesia for placement or revision of blood flow shunt
1916,Anesthesia for diagnostic X-ray procedure on arteries or veins
1920,Anesthesia for procedure on heart vessels and chambers
1922,Anesthesia for X-ray or radiation therapy
1924,Anesthesia for X-ray procedure on arteries
1925,Anesthesia for X-ray procedure on neck or heart artery
1926,"Anesthesia for X-ray procedure on artery in brain, heart, or major vessel of chest (aorta)"
1930,Anesthesia for X-ray procedure on vein or lymph system
1931,Anesthesia for X-ray procedure on liver vein
1935,Anesthesia for diagnostic X-ray procedure (accessed through the skin) on spine and spinal cord
1936,Anesthesia for X-ray procedure (accessed through the skin) on spine and spinal cord
1951,"Anesthesia for treatment of second and third-degree burn, less than 4% total body surface"
