carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31
0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31
0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63
0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47
0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53
0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49
0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39
0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73
0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46
0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33
0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71
0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27
0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68
0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7
0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66
0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71
0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48
0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41
0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62
0.31,Very Good,J,SI1,58.1,62.0,353,4.44,4.47,2.59
0.23,Very Good,G,VVS2,60.4,58.0,354,3.97,4.01,2.41
0.24,Premium,I,VS1,62.5,57.0,355,3.97,3.94,2.47
0.3,Very Good,J,VS2,62.2,57.0,357,4.28,4.3,2.67
0.23,Very Good,D,VS2,60.5,61.0,357,3.96,3.97,2.4
0.23,Very Good,F,VS1,60.9,57.0,357,3.96,3.99,2.42
0.23,Very Good,F,VS1,60.0,57.0,402,4.0,4.03,2.41
