date,source,energy (btu)
1973-01-01,residential,1932.187
1973-02-01,residential,1687.255
1973-03-01,residential,1497.067
1973-04-01,residential,1177.661
1973-05-01,residential,1015.008
1973-06-01,residential,933.663
1973-07-01,residential,981.183
1973-08-01,residential,1018.978
1973-09-01,residential,956.55
1973-10-01,residential,991.668
1973-11-01,residential,1197.249
1973-12-01,residential,1507.395
1974-01-01,residential,1823.499
1974-02-01,residential,1562.936
1974-03-01,residential,1436.363
1974-04-01,residential,1215.416
1974-05-01,residential,1010.945
1974-06-01,residential,936.124
1974-07-01,residential,1013.51
1974-08-01,residential,987.592
1974-09-01,residential,919.805
1974-10-01,residential,999.326
1974-11-01,residential,1141.133
1974-12-01,residential,1607.437
1975-01-01,residential,1758.226
1975-02-01,residential,1615.051
1975-03-01,residential,1538.328
1975-04-01,residential,1366.55
1975-05-01,residential,1034.664
1975-06-01,residential,936.766
1975-07-01,residential,1003.672
1975-08-01,residential,1012.72
1975-09-01,residential,926.799
1975-10-01,residential,954.616
1975-11-01,residential,1065.259
1975-12-01,residential,1598.15
1976-01-01,residential,1986.659
1976-02-01,residential,1674.363
1976-03-01,residential,1434.389
1976-04-01,residential,1163.868
1976-05-01,residential,1009.166
1976-06-01,residential,964.724
1976-07-01,residential,1006.965
1976-08-01,residential,1002.932
1976-09-01,residential,923.155
1976-10-01,residential,1005.253
1976-11-01,residential,1372.664
1976-12-01,residential,1863.448
1977-01-01,residential,2239.681
1977-02-01,residential,1869.527
1977-03-01,residential,1441.002
1977-04-01,residential,1132.077
1977-05-01,residential,979.115
1977-06-01,residential,971.294
1977-07-01,residential,1084.85
1977-08-01,residential,1065.597
1977-09-01,residential,974.452
1977-10-01,residential,1018.153
1977-11-01,residential,1173.632
1977-12-01,residential,1708.154
1978-01-01,residential,2000.053
1978-02-01,residential,1924.551
1978-03-01,residential,1696.087
1978-04-01,residential,1206.671
1978-05-01,residential,1081.209
1978-06-01,residential,1006.572
1978-07-01,residential,1091.233
1978-08-01,residential,1118.362
1978-09-01,residential,1037.052
1978-10-01,residential,1050.203
1978-11-01,residential,1223.173
1978-12-01,residential,1692.701
1979-01-01,residential,2087.712
1979-02-01,residential,1987.811
1979-03-01,residential,1608.938
1979-04-01,residential,1240.043
1979-05-01,residential,1030.974
1979-06-01,residential,956.854
1979-07-01,residential,1038.818
1979-08-01,residential,1087.877
1979-09-01,residential,973.422
1979-10-01,residential,1016.045
1979-11-01,residential,1205.234
1979-12-01,residential,1576.952
1980-01-01,residential,1826.947
1980-02-01,residential,1779.042
1980-03-01,residential,1603.835
1980-04-01,residential,1209.233
1980-05-01,residential,1016.289
1980-06-01,residential,1003.445
1980-07-01,residential,1163.408
1980-08-01,residential,1168.734
1980-09-01,residential,1041.657
1980-10-01,residential,1043.756
1980-11-01,residential,1226.25
1980-12-01,residential,1670.298
1981-01-01,residential,2014.965
1981-02-01,residential,1683.398
1981-03-01,residential,1440.933
1981-04-01,residential,1108.806
1981-05-01,residential,996.568
1981-06-01,residential,1011.218
1981-07-01,residential,1125.714
1981-08-01,residential,1086.1
1981-09-01,residential,951.551
1981-10-01,residential,1049.961
1981-11-01,residential,1180.761
1981-12-01,residential,1605.626
1982-01-01,residential,2037.891
1982-02-01,residential,1742.925
1982-03-01,residential,1533.826
1982-04-01,residential,1294.481
1982-05-01,residential,1009.215
1982-06-01,residential,968.998
1982-07-01,residential,1104.857
1982-08-01,residential,1099.316
1982-09-01,residential,1022.053
1982-10-01,residential,1005.641
1982-11-01,residential,1168.342
1982-12-01,residential,1539.935
1983-01-01,residential,1922.144
1983-02-01,residential,1580.016
1983-03-01,residential,1490.168
1983-04-01,residential,1273.99
1983-05-01,residential,1034.261
1983-06-01,residential,978.628
1983-07-01,residential,1141.32
1983-08-01,residential,1213.98
1983-09-01,residential,1056.284
1983-10-01,residential,976.307
1983-11-01,residential,1130.908
1983-12-01,residential,1625.005
1984-01-01,residential,2129.572
1984-02-01,residential,1675.856
1984-03-01,residential,1589.806
1984-04-01,residential,1291.656
1984-05-01,residential,1108.134
1984-06-01,residential,1052.346
1984-07-01,residential,1132.58
1984-08-01,residential,1168.674
1984-09-01,residential,1028.098
1984-10-01,residential,1008.054
1984-11-01,residential,1187.911
1984-12-01,residential,1582.196
1985-01-01,residential,1953.435
1985-02-01,residential,1913.52
1985-03-01,residential,1516.21
1985-04-01,residential,1206.396
1985-05-01,residential,1014.664
1985-06-01,residential,1035.519
1985-07-01,residential,1149.519
1985-08-01,residential,1156.849
1985-09-01,residential,1064.453
1985-10-01,residential,1055.261
1985-11-01,residential,1180.795
1985-12-01,residential,1795.12
1986-01-01,residential,1981.74
1986-02-01,residential,1684.176
1986-03-01,residential,1539.834
1986-04-01,residential,1180.938
1986-05-01,residential,1057.117
1986-06-01,residential,1057.373
1986-07-01,residential,1249.832
1986-08-01,residential,1187.564
1986-09-01,residential,1049.093
1986-10-01,residential,1078.56
1986-11-01,residential,1229.547
1986-12-01,residential,1675.117
1987-01-01,residential,1931.481
1987-02-01,residential,1681.156
1987-03-01,residential,1554.99
1987-04-01,residential,1250.069
1987-05-01,residential,1079.592
1987-06-01,residential,1112.209
1987-07-01,residential,1268.777
1987-08-01,residential,1271.368
1987-09-01,residential,1079.85
1987-10-01,residential,1104.985
1987-11-01,residential,1243.133
1987-12-01,residential,1686.844
1988-01-01,residential,2133.93
1988-02-01,residential,1859.792
1988-03-01,residential,1630.123
1988-04-01,residential,1260.376
1988-05-01,residential,1108.817
