date,airline,origin,dest,dep_time,arr_time,cancelled,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018-01-01,UA,LAS,IAH,100,547,0,134.0,1222.0,0,0,0,0,0
2018-01-01,WN,DEN,PHX,515,720,0,91.0,602.0,0,0,0,0,0
2018-01-01,B6,JFK,BOS,550,657,0,39.0,187.0,0,83,8,0,0
2018-01-01,B6,DTW,BOS,600,754,0,79.0,632.0,0,0,19,0,0
2018-01-01,UA,LAS,EWR,600,1348,0,261.0,2227.0,0,0,0,0,0
2018-01-01,WN,PHX,DEN,600,740,0,78.0,602.0,0,0,0,0,0
2018-01-01,UA,BOS,ORD,600,755,0,132.0,867.0,0,0,0,0,0
2018-01-01,B6,DCA,BOS,600,724,0,58.0,399.0,0,0,0,0,0
2018-01-01,AS,SEA,SFO,605,816,0,97.0,679.0,0,0,0,0,0
2018-01-01,UA,PHX,LAX,605,642,0,62.0,370.0,0,0,0,0,0
2018-01-01,AA,DFW,DCA,610,959,0,131.0,1192.0,0,0,0,0,0
2018-01-01,AA,EWR,CLT,630,835,0,95.0,529.0,100,0,0,0,0
2018-01-01,F9,DEN,LAS,650,755,0,93.0,628.0,17,0,1,0,0
2018-01-01,OO,SFO,LAX,650,825,0,56.0,337.0,0,0,0,0,0
2018-01-01,AA,DCA,DFW,659,945,0,185.0,1192.0,0,0,0,0,0
2018-01-01,YX,DCA,LGA,700,823,0,39.0,214.0,82,0,0,0,0
2018-01-01,DL,LGA,MCO,700,953,0,155.0,950.0,0,0,0,0,0
2018-01-01,B6,BOS,DCA,707,855,0,75.0,399.0,27,0,0,0,0
2018-01-01,UA,BOS,IAH,715,1045,0,246.0,1597.0,0,0,0,0,0
2018-01-01,WN,PHX,LAS,725,730,0,43.0,255.0,0,0,0,0,0
2018-01-01,UA,SFO,SEA,725,937,0,99.0,679.0,0,0,0,0,0
2018-01-01,YX,MSP,IAH,730,1039,0,139.0,1034.0,0,0,0,0,0
2018-01-01,UA,EWR,DEN,739,1014,0,231.0,1605.0,0,0,0,0,0
2018-01-01,OO,DFW,SFO,750,1005,0,216.0,1464.0,0,0,0,0,0
2018-01-01,UA,LGA,IAH,752,1101,0,228.0,1416.0,0,0,0,0,0
2018-01-01,WN,SEA,PHX,755,1150,0,134.0,1107.0,0,0,0,0,0
2018-01-01,DL,LGA,ATL,759,1034,0,123.0,762.0,0,0,0,0,0
2018-01-01,OO,SFO,MSP,800,1401,0,200.0,1589.0,0,0,0,0,0
2018-01-01,DL,JFK,SFO,805,1207,0,365.0,2586.0,0,0,0,0,0
2018-01-01,NK,DFW,LGA,806,1226,0,163.0,1389.0,0,0,0,0,0
2018-01-01,WN,DEN,LAS,825,925,0,89.0,628.0,27,0,0,0,0
2018-01-01,DL,JFK,LAS,830,1143,0,309.0,2248.0,0,0,0,0,0
2018-01-01,DL,PHL,ATL,830,1054,0,115.0,666.0,0,0,0,0,0
2018-01-01,UA,DTW,EWR,845,1032,0,67.0,488.0,9,0,6,0,0
2018-01-01,WN,LGA,DEN,850,1135,0,233.0,1620.0,0,0,0,0,0
2018-01-01,UA,SFO,MCO,851,1706,0,277.0,2446.0,0,0,0,0,0
2018-01-01,WN,PHX,DEN,915,1100,0,79.0,602.0,0,0,0,0,0
2018-01-01,AA,DFW,LGA,915,1339,0,168.0,1389.0,48,0,0,0,0
2018-01-01,UA,IAH,PHX,940,1141,0,154.0,1009.0,0,0,0,0,0
2018-01-01,WN,DEN,ATL,945,1435,0,139.0,1199.0,0,0,0,0,0
2018-01-01,NK,MCO,EWR,1000,1238,0,125.0,937.0,0,0,0,0,0
2018-01-01,AA,ATL,DFW,1000,1131,0,110.0,731.0,0,0,0,0,0
2018-01-01,AA,PHX,JFK,1004,1659,0,249.0,2153.0,0,0,0,0,0
2018-01-01,UA,IAH,LGA,1005,1432,0,172.0,1416.0,0,0,0,0,0
2018-01-01,UA,BOS,IAH,1010,1340,0,249.0,1597.0,0,0,0,0,0
2018-01-01,AA,DFW,JFK,1025,1450,0,168.0,1391.0,0,0,0,0,0
2018-01-01,AA,ORD,CLT,1025,1320,0,79.0,599.0,0,0,0,0,0
2018-01-01,UA,ORD,EWR,1035,1345,0,91.0,719.0,0,0,33,0,68
2018-01-01,B6,BOS,LAX,1040,1420,0,349.0,2611.0,0,0,0,0,0
2018-01-01,WN,ATL,LAX,1045,1300,0,277.0,1947.0,4,0,0,0,46
2018-01-01,AA,DFW,LAX,1100,1239,0,174.0,1235.0,0,0,0,0,0
2018-01-01,VX,EWR,SFO,1100,1435,0,353.0,2565.0,0,0,0,0,0
2018-01-01,AA,PHX,PHL,1110,1737,0,225.0,2075.0,8,0,0,0,8
2018-01-01,AA,ATL,CLT,1114,1238,0,42.0,226.0,0,0,0,0,0
2018-01-01,DL,SEA,LAX,1115,1400,0,126.0,954.0,0,0,0,0,0
2018-01-01,YX,LGA,DCA,1125,1253,0,46.0,214.0,0,0,0,0,0
2018-01-01,DL,ATL,DFW,1126,1255,0,116.0,731.0,0,0,0,0,0
2018-01-01,OH,CLT,DCA,1130,1254,0,55.0,331.0,0,0,0,0,0
2018-01-01,AA,LGA,CLT,1130,1342,0,100.0,544.0,0,0,0,0,0
2018-01-01,DL,SEA,PHX,1130,1525,0,135.0,1107.0,31,0,4,0,0
2018-01-01,UA,LAS,EWR,1133,1931,0,252.0,2227.0,0,0,0,0,0
2018-01-01,AA,LAX,JFK,1145,2019,0,282.0,2475.0,0,0,0,0,0
2018-01-01,UA,EWR,DEN,1150,1418,0,231.0,1605.0,0,0,0,0,0
2018-01-01,VX,JFK,SFO,1150,1519,0,352.0,2586.0,0,0,0,0,0
2018-01-01,NK,LAS,PHL,1150,1924,0,241.0,2176.0,0,0,0,0,0
2018-01-01,B6,MCO,DCA,1152,1359,0,96.0,759.0,43,0,0,0,12
2018-01-01,AS,SEA,SFO,1155,1413,0,101.0,679.0,0,0,0,0,0
2018-01-01,UA,IAH,LAS,1202,1328,0,182.0,1222.0,0,0,0,0,0
2018-01-01,YV,IAH,DTW,1205,1555,0,138.0,1075.0,0,0,0,0,0
2018-01-01,YV,DFW,IAH,1210,1327,0,49.0,224.0,0,0,0,0,0
2018-01-01,DL,MSP,DTW,1210,1455,0,75.0,528.0,0,0,0,0,0
2018-01-01,NK,LAS,IAH,1215,1709,0,151.0,1222.0,0,0,0,0,0
2018-01-01,DL,MCO,ATL,1220,1358,0,63.0,404.0,0,0,0,0,0
2018-01-01,AA,ORD,SFO,1224,1517,0,250.0,1846.0,0,0,0,0,0
2018-01-01,B6,LAS,JFK,1300,2051,0,267.0,2248.0,6,0,16,0,0
2018-01-01,UA,DEN,SFO,1300,1449,0,130.0,967.0,0,0,0,0,0
2018-01-01,WN,ATL,MCO,1305,1430,0,66.0,404.0,9,0,3,0,13
2018-01-01,AA,CLT,LGA,1306,1459,0,72.0,544.0,0,0,0,0,0
2018-01-01,DL,MCO,LGA,1320,1555,0,115.0,950.0,0,0,0,0,0
2018-01-01,UA,IAH,EWR,1330,1800,0,172.0,1400.0,0,0,0,0,0
2018-01-01,UA,MCO,IAH,1332,1510,0,138.0,854.0,0,0,0,0,0
2018-01-01,DL,ATL,SEA,1340,1627,0,297.0,2182.0,0,0,0,0,0
2018-01-01,OH,ATL,CLT,1345,1503,0,42.0,226.0,0,0,0,0,0
2018-01-01,DL,SEA,LAX,1345,1628,0,130.0,954.0,0,0,0,0,0
2018-01-01,9E,IAH,ATL,1346,1651,0,86.0,689.0,0,0,0,0,0
2018-01-01,UA,ORD,LAX,1359,1628,0,227.0,1744.0,0,0,0,0,0
2018-01-01,UA,LAX,SFO,1424,1557,0,53.0,337.0,0,0,0,0,0
2018-01-01,AA,LAX,JFK,1430,2253,0,281.0,2475.0,58,0,0,0,103
2018-01-01,WN,LAX,SFO,1440,1600,0,53.0,337.0,0,0,0,0,0
2018-01-01,DL,MSP,DEN,1505,1635,0,99.0,680.0,0,0,0,0,0
2018-01-01,AA,ORD,EWR,1505,1807,1,,719.0,0,0,0,0,0
2018-01-01,9E,IAH,DTW,1518,1909,0,132.0,1075.0,0,0,0,0,45
2018-01-01,YX,IAH,PHL,1520,1939,0,182.0,1325.0,0,0,0,0,0
2018-01-01,AA,DCA,MCO,1522,1753,0,137.0,759.0,0,0,15,0,0
2018-01-01,UA,ORD,SFO,1536,1825,0,242.0,1846.0,0,1,0,0,17
2018-01-01,UA,SEA,DEN,1544,1923,0,122.0,1024.0,0,0,0,0,0
2018-01-01,DL,DTW,LAS,1555,1743,0,235.0,1749.0,0,0,0,0,0
2018-01-01,DL,BOS,MSP,1600,1838,0,161.0,1124.0,0,0,0,0,0
2018-01-01,UA,ORD,EWR,1602,1917,0,98.0,719.0,0,0,0,0,0
2018-01-01,UA,PHX,SFO,1605,1711,0,100.0,651.0,0,0,0,0,0
2018-01-01,UA,IAH,MCO,1620,1940,0,110.0,854.0,0,0,0,0,0
2018-01-01,DL,ATL,DTW,1627,1831,0,85.0,594.0,0,0,0,0,0
2018-01-01,AA,LAS,PHX,1630,1841,0,44.0,255.0,0,0,0,0,0
2018-01-01,AA,DCA,DFW,1630,1914,0,187.0,1192.0,0,0,0,0,0
2018-01-01,VX,JFK,SFO,1635,2022,0,341.0,2586.0,0,0,0,0,0
2018-01-01,AA,CLT,EWR,1636,1838,0,67.0,529.0,0,0,20,0,0
2018-01-01,UA,MSP,DEN,1640,1757,0,96.0,680.0,0,0,0,0,0
2018-01-01,UA,SFO,LAX,1650,1832,0,55.0,337.0,0,0,0,0,0
2018-01-01,DL,DCA,ATL,1700,1910,0,92.0,547.0,0,0,0,0,0
2018-01-01,AA,ORD,SEA,1700,1940,0,227.0,1721.0,63,0,0,0,0
2018-01-01,AA,ORD,LAX,1700,1941,0,232.0,1744.0,0,0,0,0,0
2018-01-01,OO,ORD,DCA,1705,2001,0,81.0,612.0,0,0,0,0,82
2018-01-01,AA,DEN,ORD,1715,2043,0,113.0,888.0,0,0,0,0,0
2018-01-01,UA,DEN,LGA,1738,2319,0,187.0,1620.0,0,0,0,0,0
2018-01-01,AA,PHL,ORD,1739,1919,0,106.0,678.0,0,0,0,0,0
2018-01-01,B6,JFK,MCO,1740,2044,0,151.0,944.0,14,0,18,0,13
2018-01-01,UA,ORD,EWR,1746,2059,0,93.0,719.0,0,0,0,0,0
2018-01-01,UA,DEN,SEA,1747,1950,0,151.0,1024.0,0,0,0,0,0
2018-01-01,AA,CLT,MSP,1755,1941,0,136.0,930.0,0,0,0,0,0
2018-01-01,AA,BOS,DCA,1800,1951,0,76.0,399.0,0,0,0,0,0
2018-01-01,UA,IAH,LGA,1805,2233,0,163.0,1416.0,4,0,0,0,18
2018-01-01,WN,DEN,PHX,1815,2010,0,89.0,602.0,47,0,3,0,0
2018-01-01,UA,IAH,LAS,1835,2002,0,173.0,1222.0,0,0,0,0,0
2018-01-01,DL,ATL,SFO,1835,2111,0,284.0,2139.0,51,0,18,0,0
2018-01-01,AA,ORD,DFW,1835,2109,0,109.0,802.0,0,0,0,0,0
2018-01-01,WN,BOS,DEN,1840,2135,0,238.0,1754.0,10,0,0,0,48
