Patron Type,Age Range,Home Library,Active Date,Checkouts,Renewals,Notice Preference,Year Patron Registered,Outside of County
ADULT,25 to 34 years,Parkside,2013-07-01,19,7,email,2003,False
ADULT,35 to 44 years,Main Library,2013-12-01,55,0,email,2010,False
ADULT,35 to 44 years,Parkside,2014-08-01,2,1,email,2012,False
ADULT,45 to 54 years,Richmond,2015-10-01,11,8,email,2014,False
ADULT,55 to 59 years,Merced,2016-07-01,1096,18,phone,2003,False
ADULT,10 to 19 years,Main Library,2015-07-01,5,1,email,2014,False
ADULT,35 to 44 years,Portola,2014-09-01,9,16,email,2003,False
ADULT,35 to 44 years,Main Library,2014-09-01,6,4,email,2010,False
SENIOR,65 to 74 years,Golden Gate Valley,2013-09-01,138,3,email,2012,False
ADULT,35 to 44 years,Unknown,,0,0,print,2014,True
ADULT,60 to 64 years,Main Library,,0,0,phone,2014,False
JUVENILE,0 to 9 years,Excelsior,2016-07-01,20,0,email,2016,False
ADULT,45 to 54 years,Chinatown,2016-07-01,163,1,email,2014,False
JUVENILE,0 to 9 years,Ortega,2016-07-01,1329,653,email,2009,False
ADULT,45 to 54 years,Main Library,2016-03-01,50,5,email,2009,False
ADULT,25 to 34 years,Main Library,2016-06-01,34,0,email,2009,False
ADULT,35 to 44 years,West Portal,2013-10-01,214,317,email,2003,False
JUVENILE,0 to 9 years,Potrero,2016-03-01,6,0,email,2015,False
ADULT,35 to 44 years,Bayview/Linda Brooks-Burton,,0,0,email,2013,False
SENIOR,65 to 74 years,Main Library,2013-02-01,1,0,email,2013,False
YOUNG ADULT,10 to 19 years,Main Library,,0,0,email,2014,True
SENIOR,65 to 74 years,Merced,2014-10-01,21,11,email,2013,False
ADULT,45 to 54 years,Parkside,2016-06-01,76,90,email,2013,False
WELCOME,35 to 44 years,Excelsior,,0,0,email,2015,False
ADULT,35 to 44 years,Park,2004-12-01,9,1,email,2004,False
ADULT,35 to 44 years,North Beach,2016-07-01,437,74,email,2003,False
ADULT,25 to 34 years,North Beach,2016-05-01,3,0,email,2015,False
ADULT,35 to 44 years,Richmond,2015-06-01,4,1,email,2011,False
ADULT,45 to 54 years,Eureka Valley/Harvey Milk Memorial,2015-05-01,107,54,email,2011,False
ADULT,10 to 19 years,Merced,2014-04-01,16,0,email,2013,False
ADULT,60 to 64 years,Ingleside,2015-02-01,3,0,print,2015,False
ADULT,35 to 44 years,Main Library,2014-01-01,23,15,email,2013,False
JUVENILE,0 to 9 years,Parkside,2016-03-01,2,1,email,2016,False
ADULT,60 to 64 years,Main Library,,0,0,email,2013,False
ADULT,25 to 34 years,Bayview/Linda Brooks-Burton,,0,0,phone,2015,True
ADULT,35 to 44 years,Main Library,2016-06-01,53,13,email,2016,False
ADULT,25 to 34 years,Main Library,2013-05-01,1,0,email,2012,False
SENIOR,75 years and over,Chinatown,2016-07-01,729,110,phone,2003,False
JUVENILE,0 to 9 years,Main Library,2016-07-01,45,28,email,2015,False
ADULT,35 to 44 years,Richmond,2016-07-01,220,88,email,2013,False
JUVENILE,0 to 9 years,Merced,2015-07-01,52,19,email,2012,False
JUVENILE,0 to 9 years,Potrero,2014-05-01,5,2,email,2014,False
ADULT,35 to 44 years,Main Library,2016-07-01,2,0,email,2016,False
YOUNG ADULT,10 to 19 years,Main Library,2014-12-01,930,48,print,2003,False
JUVENILE,10 to 19 years,Mission,2016-04-01,3,0,email,2010,False
JUVENILE,0 to 9 years,Bayview/Linda Brooks-Burton,2015-01-01,35,0,print,2013,False
SENIOR,65 to 74 years,Mission,,0,0,email,2015,True
ADULT,60 to 64 years,Western Addition,2013-12-01,114,0,email,2013,False
JUVENILE,0 to 9 years,Visitacion Valley,2016-04-01,94,5,phone,2012,False
SENIOR,75 years and over,Ortega,2016-02-01,175,148,phone,2003,False
ADULT,35 to 44 years,Golden Gate Valley,2013-09-01,18,3,email,2012,False
ADULT,45 to 54 years,Chinatown,2014-11-01,28,0,print,2014,False
YOUNG ADULT,10 to 19 years,North Beach,2015-07-01,51,10,email,2008,False
ADULT,10 to 19 years,Main Library,,0,0,email,2014,False
ADULT,35 to 44 years,Mission,2016-07-01,209,73,email,2003,False
JUVENILE,10 to 19 years,Visitacion Valley,2016-07-01,387,2,print,2012,False
SENIOR,75 years and over,Parkside,2016-07-01,153,7,phone,2012,False
WELCOME,20 to 24 years,Main Library,2015-05-01,1,0,email,2015,True
ADULT,25 to 34 years,Mission,2016-02-01,43,20,email,2013,True
ADULT,45 to 54 years,Main Library,2013-09-01,3,0,email,2013,True
ADULT,25 to 34 years,Main Library,2014-02-01,32,0,email,2013,True
ADULT,35 to 44 years,Main Library,2014-05-01,26,18,email,2013,True
YOUNG ADULT,10 to 19 years,Main Library,,0,0,email,2015,True
ADULT,55 to 59 years,Merced,2016-07-01,6019,559,email,2003,False
ADULT,25 to 34 years,Mission Bay,2013-12-01,6,6,phone,2012,False
JUVENILE,0 to 9 years,Marina,2015-12-01,10,0,email,2015,False
ADULT,60 to 64 years,Mission,2016-07-01,843,153,phone,2003,False
ADULT,25 to 34 years,Ocean View,2014-11-01,35,4,email,2011,False
ADULT,25 to 34 years,Glen Park,2016-07-01,33,6,email,2016,False
ADULT,35 to 44 years,Anza,2016-07-01,85,45,email,2011,False
ADULT,45 to 54 years,Main Library,2016-06-01,1235,57,phone,2009,False
ADULT,45 to 54 years,Bernal Heights,2015-03-01,103,22,email,2007,False
ADULT,35 to 44 years,Sunset,2013-09-01,9,11,email,2009,False
ADULT,45 to 54 years,Glen Park,2013-06-01,31,24,email,2003,True
ADULT,25 to 34 years,Richmond,2013-11-01,2,4,email,2013,False
ADULT,35 to 44 years,Portola,2015-09-01,176,97,email,2003,False
ADULT,25 to 34 years,Main Library,,0,0,email,2015,False
WELCOME,25 to 34 years,Main Library,2016-07-01,2,2,email,2016,False
ADULT,35 to 44 years,Presidio,2016-07-01,68,38,email,2015,False
ADULT,25 to 34 years,Ingleside,2013-09-01,20,10,phone,2013,False
JUVENILE,0 to 9 years,Chinatown,2016-05-01,384,110,email,2008,False
ADULT,25 to 34 years,Main Library,2014-05-01,5,7,email,2010,True
ADULT,25 to 34 years,Main Library,2016-07-01,900,448,email,2004,False
YOUNG ADULT,10 to 19 years,Mission,2016-05-01,13,10,email,2010,False
ADULT,25 to 34 years,Main Library,,0,0,email,2013,False
ADULT,35 to 44 years,Park,2015-04-01,132,43,email,2003,False
ADULT,45 to 54 years,Main Library,,0,0,print,2015,False
ADULT,35 to 44 years,Noe Valley/Sally Brunn,2015-05-01,6,14,email,2012,False
ADULT,35 to 44 years,Sunset,2011-04-01,49,0,email,2008,False
ADULT,20 to 24 years,Main Library,2014-11-01,68,4,email,2014,False
ADULT,55 to 59 years,Main Library,2016-06-01,125,42,email,2003,True
ADULT,20 to 24 years,Portola,2015-03-01,5,4,email,2012,False
ADULT,60 to 64 years,Main Library,,0,0,email,2014,True
ADULT,25 to 34 years,Mission Bay,,0,0,email,2015,False
ADULT,25 to 34 years,Marina,2016-04-01,2,1,email,2015,True
ADULT,60 to 64 years,Sunset,2014-03-01,731,95,phone,2005,False
ADULT,60 to 64 years,Ortega,2016-07-01,639,105,email,2003,False
ADULT,35 to 44 years,Main Library,2015-06-01,4,4,email,2015,True
ADULT,25 to 34 years,Main Library,2016-06-01,60,1,email,2009,False
ADULT,25 to 34 years,Main Library,2016-03-01,10,1,email,2014,False
SENIOR,65 to 74 years,Eureka Valley/Harvey Milk Memorial,2016-07-01,1607,30,email,2003,False
ADULT,25 to 34 years,Main Library,2015-03-01,5,0,phone,2014,False
YOUNG ADULT,10 to 19 years,Marina,2015-05-01,6,0,email,2009,False
ADULT,35 to 44 years,Marina,2016-06-01,45,34,email,2012,False
YOUNG ADULT,10 to 19 years,Ortega,2016-04-01,344,105,phone,2008,False
ADULT,20 to 24 years,Excelsior,2013-09-01,4,0,email,2013,False
ADULT,55 to 59 years,Excelsior,2016-06-01,31,6,email,2003,True
ADULT,45 to 54 years,Visitacion Valley,2016-05-01,28,0,phone,2014,False
SENIOR,65 to 74 years,Anza,2016-01-01,29,2,email,2003,False
JUVENILE,10 to 19 years,Mission,2015-07-01,125,4,email,2007,False
ADULT,25 to 34 years,Richmond,2015-03-01,12,13,email,2013,False
ADULT,25 to 34 years,Main Library,,0,0,email,2015,False
SENIOR,75 years and over,Main Library,2016-07-01,669,96,email,2003,True
ADULT,25 to 34 years,West Portal,2014-01-01,7,0,email,2014,False
ADULT,25 to 34 years,Presidio,2012-08-01,2,0,phone,2012,True
ADULT,45 to 54 years,Main Library,,0,0,email,2014,False
ADULT,25 to 34 years,Main Library,2013-01-01,5,0,email,2012,False
ADULT,25 to 34 years,Main Library,,0,0,email,2012,False
ADULT,45 to 54 years,Main Library,,0,0,email,2014,False
YOUNG ADULT,10 to 19 years,Sunset,2012-09-01,16,0,email,2012,True
ADULT,25 to 34 years,Main Library,,0,0,email,2014,False
ADULT,35 to 44 years,Main Library,2008-03-01,3,0,print,2007,False
ADULT,45 to 54 years,Main Library,2014-05-01,5,4,email,2013,False
ADULT,45 to 54 years,Western Addition,2012-06-01,75,0,phone,2008,False
ADULT,10 to 19 years,Anza,2016-07-01,154,23,email,2005,False
JUVENILE,10 to 19 years,Bernal Heights,2016-03-01,146,10,email,2012,False
ADULT,45 to 54 years,Parkside,2015-03-01,66,0,print,2012,False
ADULT,25 to 34 years,Main Library,2016-06-01,3,4,email,2012,False
ADULT,25 to 34 years,Main Library,2010-11-01,51,1,email,2006,False
ADULT,45 to 54 years,Mission,,0,0,print,2012,False
ADULT,25 to 34 years,Excelsior,2015-09-01,1,0,email,2015,False
JUVENILE,10 to 19 years,Ingleside,2015-06-01,59,14,email,2010,False
ADULT,35 to 44 years,Glen Park,2016-07-01,249,239,email,2003,False
ADULT,20 to 24 years,Ortega,2015-09-01,1182,431,email,2005,False
ADULT,60 to 64 years,Main Library,2010-09-01,19,44,email,2005,True
YOUNG ADULT,10 to 19 years,Noe Valley/Sally Brunn,2016-07-01,530,11,email,2006,False
YOUNG ADULT,10 to 19 years,Visitacion Valley,2015-08-01,566,66,print,2006,False
ADULT,35 to 44 years,Sunset,2014-11-01,3,2,email,2014,False
ADULT,55 to 59 years,Marina,2013-12-01,1,4,phone,2013,True
ADULT,25 to 34 years,Main Library,2015-07-01,1,0,email,2015,False
JUVENILE,10 to 19 years,Chinatown,2015-06-01,322,36,email,2010,False
SPECIAL,35 to 44 years,Children's Bookmobile,2016-04-01,30,1,phone,2015,False
ADULT,25 to 34 years,Main Library,2012-08-01,5,0,email,2012,False
ADULT,55 to 59 years,Anza,2015-09-01,18,0,phone,2003,True
ADULT,20 to 24 years,North Beach,,0,0,email,2015,False
ADULT,25 to 34 years,Main Library,2016-06-01,63,127,email,2012,False
ADULT,25 to 34 years,Main Library,2014-07-01,5,10,email,2014,False
JUVENILE,0 to 9 years,Bayview/Linda Brooks-Burton,2014-12-01,28,1,print,2014,False
ADULT,25 to 34 years,Parkside,2012-09-01,1,3,email,2012,False
JUVENILE,10 to 19 years,Anza,2015-04-01,74,69,email,2011,False
ADULT,35 to 44 years,Main Library,2015-05-01,18,50,email,2011,False
ADULT,45 to 54 years,Richmond,2016-03-01,263,313,email,2003,False
ADULT,65 to 74 years,Richmond,2015-10-01,165,123,phone,2003,False
JUVENILE,0 to 9 years,Excelsior,2016-07-01,33,10,email,2011,True
ADULT,25 to 34 years,Main Library,,0,0,email,2013,False
ADULT,45 to 54 years,Sunset,2015-05-01,32,0,email,2011,False
ADULT,55 to 59 years,Main Library,2016-02-01,207,147,email,2003,False
ADULT,60 to 64 years,Main Library,2016-07-01,28,0,print,2009,False
ADULT,25 to 34 years,Main Library,2012-10-01,0,0,print,2012,False
JUVENILE,10 to 19 years,Portola,2014-08-01,13,0,email,2010,False
ADULT,35 to 44 years,Richmond,2016-01-01,27,13,email,2009,False
ADULT,25 to 34 years,Ingleside,2013-04-01,7,0,email,2013,False
SENIOR,65 to 74 years,Presidio,2016-05-01,43,10,phone,2004,False
ADULT,45 to 54 years,Ortega,2015-12-01,33,1,email,2005,False
ADULT,55 to 59 years,Main Library,2013-06-01,10,0,email,2012,False
ADULT,45 to 54 years,Main Library,2016-07-01,1,1,phone,2016,True
SENIOR,75 years and over,Mission,2013-09-01,10,1,print,2013,False
ADULT,35 to 44 years,Mission,2015-05-01,13,0,email,2015,False
DIGITAL ACCESS CARD,10 to 19 years,Ortega,,0,0,email,2015,False
ADULT,35 to 44 years,Richmond,2014-12-01,15,2,email,2010,False
ADULT,35 to 44 years,Bayview/Linda Brooks-Burton,2016-02-01,4,0,phone,2015,False
ADULT,45 to 54 years,Main Library,2013-08-01,345,474,email,2005,True
ADULT,60 to 64 years,Western Addition,2016-01-01,77,15,email,2008,False
ADULT,35 to 44 years,Main Library,2015-05-01,3,2,email,2013,False
ADULT,35 to 44 years,Main Library,,0,0,email,2013,False
ADULT,25 to 34 years,Ingleside,2014-12-01,1,1,email,2014,False
ADULT,25 to 34 years,Chinatown,2015-02-01,201,126,email,2003,True
JUVENILE,0 to 9 years,Excelsior,2016-07-01,51,0,print,2015,False
JUVENILE,10 to 19 years,Eureka Valley/Harvey Milk Memorial,2016-03-01,141,52,email,2009,False
YOUNG ADULT,10 to 19 years,Mission,,0,0,email,2015,False
ADULT,35 to 44 years,Richmond,2015-11-01,32,4,email,2006,False
ADULT,35 to 44 years,Chinatown,2016-07-01,3680,143,email,2003,False
JUVENILE,10 to 19 years,North Beach,2014-12-01,73,0,email,2011,False
JUVENILE,0 to 9 years,Parkside,2014-05-01,15,0,phone,2012,False
JUVENILE,0 to 9 years,Marina,2015-11-01,261,26,email,2013,False
ADULT,25 to 34 years,Anza,2016-06-01,144,43,email,2003,False
ADULT,25 to 34 years,Anza,2016-07-01,5,5,print,2016,False
SENIOR,65 to 74 years,Excelsior,2015-03-01,7,1,email,2014,False
ADULT,60 to 64 years,North Beach,2016-06-01,26,0,email,2016,False
WELCOME,25 to 34 years,Richmond,,0,0,email,2016,False
WELCOME,55 to 59 years,Main Library,2015-10-01,0,0,email,2015,True
JUVENILE,10 to 19 years,Richmond,2015-09-01,68,5,email,2010,False
ADULT,35 to 44 years,West Portal,2015-05-01,60,18,email,2003,False
SENIOR,75 years and over,Main Library,2015-05-01,4,4,phone,2013,False
ADULT,35 to 44 years,Excelsior,2014-06-01,23,27,email,2010,False
ADULT,60 to 64 years,Sunset,,0,0,email,2016,False
SENIOR,65 to 74 years,Main Library,2013-03-01,306,60,phone,2003,False
ADULT,25 to 34 years,Main Library,2015-06-01,9,0,email,2015,True
JUVENILE,0 to 9 years,North Beach,2016-07-01,74,0,print,2011,False
ADULT,45 to 54 years,Mission Bay,2015-03-01,321,36,email,2007,False
ADULT,25 to 34 years,Main Library,,0,0,email,2014,False
JUVENILE,0 to 9 years,Excelsior,,0,0,email,2012,False
JUVENILE,10 to 19 years,Merced,2016-07-01,569,34,email,2011,False
ADULT,25 to 34 years,Bernal Heights,2015-12-01,8,0,email,2013,False
ADULT,55 to 59 years,Merced,2016-07-01,109,2,email,2006,False
JUVENILE,0 to 9 years,Presidio,2016-07-01,324,385,email,2010,False
YOUNG ADULT,10 to 19 years,Chinatown,2016-03-01,12,0,email,2015,False
ADULT,35 to 44 years,Main Library,2014-04-01,3,0,email,2014,False
ADULT,25 to 34 years,Main Library,2010-01-01,92,40,email,2005,True
ADULT,35 to 44 years,Glen Park,2012-04-01,5,0,print,2007,False
JUVENILE,0 to 9 years,Excelsior,2016-07-01,18,38,phone,2014,False
ADULT,35 to 44 years,Ortega,2015-04-01,55,0,phone,2014,False
ADULT,25 to 34 years,Mission,2015-12-01,11,8,email,2015,False
ADULT,35 to 44 years,Main Library,2016-07-01,11,10,email,2016,True
ADULT,35 to 44 years,North Beach,2015-10-01,4,15,email,2010,False
ADULT,20 to 24 years,Potrero,2013-07-01,18,4,email,2003,False
JUVENILE,10 to 19 years,Mission,2016-02-01,26,1,phone,2012,False
ADULT,55 to 59 years,Main Library,,0,0,print,2012,False
ADULT,35 to 44 years,Mission,2016-01-01,79,4,email,2011,False
WELCOME,25 to 34 years,North Beach,,0,0,email,2015,False
SENIOR,75 years and over,Presidio,2015-08-01,7,0,email,2008,False
ADULT,35 to 44 years,Main Library,2013-07-01,6,0,email,2012,False
ADULT,20 to 24 years,Main Library,2015-10-01,7,1,email,2015,False
WELCOME,35 to 44 years,Main Library,2014-08-01,1,0,email,2014,False
YOUNG ADULT,10 to 19 years,Bayview/Linda Brooks-Burton,2015-03-01,31,0,email,2007,False
JUVENILE,0 to 9 years,Richmond,2016-07-01,525,25,email,2013,False
ADULT,25 to 34 years,Ortega,2016-06-01,384,188,email,2003,False
ADULT,60 to 64 years,North Beach,2016-07-01,62,7,print,2003,False
ADULT,25 to 34 years,Richmond,2013-10-01,13,13,email,2013,False
ADULT,25 to 34 years,Park,2012-08-01,1,0,email,2012,False
JUVENILE,0 to 9 years,North Beach,2016-07-01,521,4,phone,2014,False
ADULT,35 to 44 years,Main Library,2016-01-01,2,0,email,2015,True
SENIOR,65 to 74 years,Main Library,2016-07-01,539,185,print,2005,False
ADULT,45 to 54 years,Mission Bay,2016-07-01,72,29,email,2007,False
WELCOME,35 to 44 years,Mission Bay,,0,0,email,2015,True
ADULT,25 to 34 years,Main Library,2016-06-01,112,27,email,2012,False
ADULT,20 to 24 years,Main Library,,0,0,email,2012,True
SENIOR,65 to 74 years,Noe Valley/Sally Brunn,2016-07-01,38,7,email,2004,False
ADULT,60 to 64 years,Main Library,,0,0,email,2015,True
SENIOR,65 to 74 years,Main Library,2015-11-01,5,4,email,2015,True
ADULT,60 to 64 years,Western Addition,2016-07-01,858,300,email,2003,False
YOUNG ADULT,10 to 19 years,Ingleside,2015-05-01,316,57,email,2006,False
ADULT,55 to 59 years,Main Library,2016-03-01,197,184,print,2003,False
ADULT,25 to 34 years,Main Library,2014-10-01,16,54,email,2014,True
ADULT,25 to 34 years,Richmond,2015-03-01,1,1,email,2015,False
YOUNG ADULT,10 to 19 years,Ortega,2016-07-01,41,9,email,2011,False
ADULT,35 to 44 years,Presidio,2015-05-01,41,9,email,2013,True
WELCOME,35 to 44 years,Main Library,2008-12-01,9,0,email,2005,False
ADULT,55 to 59 years,Potrero,2013-07-01,53,12,email,2011,False
JUVENILE,0 to 9 years,Main Library,2016-07-01,328,1,email,2012,False
SENIOR,65 to 74 years,Noe Valley/Sally Brunn,2014-09-01,2,0,phone,2013,False
ADULT,20 to 24 years,Main Library,2015-12-01,2,2,email,2014,True
ADULT,35 to 44 years,Main Library,2013-06-01,5,0,email,2013,False
ADULT,25 to 34 years,Ortega,2011-01-01,599,81,email,2003,False
ADULT,35 to 44 years,Excelsior,2016-06-01,402,19,email,2003,False
JUVENILE,10 to 19 years,Western Addition,2016-07-01,160,27,email,2011,False
SENIOR,65 to 74 years,Ocean View,,0,0,email,2014,True
JUVENILE,0 to 9 years,Glen Park,,0,0,email,2015,False
ADULT,25 to 34 years,Main Library,2015-03-01,8,0,email,2015,False
SENIOR,65 to 74 years,Main Library,2016-07-01,225,51,email,2005,False
ADULT,25 to 34 years,Main Library,,0,0,email,2013,True
ADULT,25 to 34 years,Mission Bay,,0,0,email,2013,False
ADULT,35 to 44 years,Anza,,0,0,email,2015,False
ADULT,20 to 24 years,Main Library,2016-05-01,1,0,email,2012,True
ADULT,35 to 44 years,Main Library,,0,0,email,2015,False
ADULT,35 to 44 years,Richmond,2014-02-01,1,0,phone,2005,False
ADULT,25 to 34 years,Main Library,2013-10-01,18,25,email,2012,True
ADULT,45 to 54 years,Sunset,2016-07-01,675,866,email,2003,False
ADULT,45 to 54 years,Chinatown,2016-07-01,39,0,email,2014,False
ADULT,45 to 54 years,Mission Bay,2015-09-01,7,0,phone,2013,True
ADULT,45 to 54 years,Main Library,,0,0,email,2014,True
ADULT,20 to 24 years,Merced,2014-01-01,102,21,phone,2003,False
ADULT,45 to 54 years,Main Library,2014-11-01,317,29,email,2007,False
ADULT,35 to 44 years,Main Library,2015-03-01,50,26,email,2007,True
SENIOR,65 to 74 years,Ingleside,2016-07-01,466,182,email,2003,False
ADULT,25 to 34 years,Main Library,2016-05-01,49,26,email,2014,False
ADULT,20 to 24 years,Main Library,2013-08-01,13,0,email,2012,False
JUVENILE,10 to 19 years,Unknown,2015-09-01,462,114,email,2008,False
WELCOME,25 to 34 years,Main Library,,0,0,phone,2015,False
ADULT,45 to 54 years,Ingleside,,0,0,email,2012,False
JUVENILE,0 to 9 years,Glen Park,2014-01-01,4,1,email,2012,False
ADULT,45 to 54 years,Main Library,2014-11-01,4,0,email,2014,False
ADULT,25 to 34 years,Presidio,2015-07-01,15,0,email,2015,False
ADULT,45 to 54 years,Eureka Valley/Harvey Milk Memorial,2016-07-01,1982,347,email,2003,False
ADULT,45 to 54 years,Marina,2016-07-01,24,0,email,2016,False
ADULT,60 to 64 years,Noe Valley/Sally Brunn,2013-07-01,3,2,email,2013,False
ADULT,55 to 59 years,Potrero,2014-12-01,4,0,email,2011,False
ADULT,35 to 44 years,Bernal Heights,2014-04-01,222,332,email,2003,False
VISITOR,25 to 34 years,Presidio,2015-03-01,11,0,email,2015,True
YOUNG ADULT,10 to 19 years,Excelsior,2013-11-01,8,0,phone,2012,False
ADULT,45 to 54 years,Visitacion Valley,2016-07-01,4392,95,email,2006,False
ADULT,25 to 34 years,Main Library,2015-07-01,13,3,email,2011,False
ADULT,10 to 19 years,Merced,2010-06-01,24,2,phone,2003,False
ADULT,25 to 34 years,Main Library,2016-05-01,11,16,email,2015,False
ADULT,35 to 44 years,Main Library,2016-06-01,5,2,email,2009,False
ADULT,35 to 44 years,North Beach,2014-05-01,48,72,email,2006,False
ADULT,65 to 74 years,Main Library,2016-07-01,7,0,email,2016,False
ADULT,25 to 34 years,Noe Valley/Sally Brunn,2016-06-01,6,14,email,2015,False
ADULT,10 to 19 years,Main Library,2014-02-01,3,6,email,2013,False
ADULT,35 to 44 years,Main Library,2015-12-01,6,0,email,2015,False
ADULT,35 to 44 years,Portola,2015-06-01,14,0,phone,2014,False
JUVENILE,0 to 9 years,Presidio,2016-05-01,26,3,email,2013,False
ADULT,45 to 54 years,Main Library,2014-09-01,20,21,email,2011,True
ADULT,25 to 34 years,Anza,2016-07-01,98,65,email,2013,True
ADULT,25 to 34 years,West Portal,2016-04-01,2,2,email,2016,False
ADULT,25 to 34 years,West Portal,2013-09-01,15,0,phone,2010,True
ADULT,55 to 59 years,Main Library,2014-12-01,22,0,phone,2014,False
YOUNG ADULT,10 to 19 years,Unknown,2016-06-01,437,11,email,2004,False
YOUNG ADULT,10 to 19 years,Western Addition,,0,0,email,2013,True
ADULT,25 to 34 years,Excelsior,2013-07-01,215,142,email,2003,False
ADULT,25 to 34 years,Chinatown,2016-07-01,499,139,email,2003,False
ADULT,35 to 44 years,Main Library,2013-10-01,19,8,email,2008,False
ADULT,60 to 64 years,Anza,2012-10-01,1,0,email,2009,False
JUVENILE,0 to 9 years,Western Addition,,0,0,email,2016,False
