Year,Player,Pos,Age,Tm,MP,FT,TRB,AST,STL,BLK,TOV,PF,PTS
2017,Ivica Zubac,C,19,LAL,609,32,159,30,14,33,30,66,284
2017,Gerald Green,SF,31,BOS,538,33,85,33,9,7,25,48,262
2017,Danny Green,SG,29,SAS,1807,27,224,124,71,58,76,120,497
2017,Jerian Grant,PG,24,CHI,1028,65,111,120,47,8,44,93,370
2017,Jerami Grant,SF,22,OKC,1490,86,199,46,33,75,41,144,421
2017,Jerami Grant,SF,22,PHI,41,4,7,0,0,4,3,5,16
2017,Jerami Grant,SF,22,TOT,1531,90,206,46,33,79,44,149,437
2017,Treveon Graham,SG,23,CHO,189,10,22,6,6,1,3,18,57
2017,Marcin Gortat,C,32,WAS,2556,103,849,121,40,65,118,213,883
2017,Eric Gordon,SG,28,HOU,2323,147,201,188,48,40,121,150,1217
2017,Aaron Gordon,SF,21,ORL,2298,156,405,150,64,40,89,172,1019
2017,Archie Goodwin,SG,22,BRK,184,23,28,23,4,4,14,7,95
2017,Archie Goodwin,SG,22,NOP,30,10,0,1,0,1,0,1,15
2017,Archie Goodwin,SG,22,TOT,214,33,28,24,4,5,14,8,110
2017,Rudy Gobert,C,24,UTA,2744,311,1035,97,49,214,148,246,1137
2017,Manu Ginobili,SG,39,SAS,1291,86,157,183,82,16,96,119,517
2017,Taj Gibson,PF,31,OKC,487,28,103,13,14,15,28,40,207
2017,Draymond Green,PF,26,GSW,2471,151,599,533,154,106,184,217,776
2017,JaMychal Green,PF,26,MEM,2101,134,544,84,46,34,94,248,689
2017,Spencer Hawes,PF,28,TOT,797,44,191,81,15,30,49,77,337
2017,Jeff Green,PF,30,ORL,1534,145,214,81,37,13,75,103,638
2017,Andrew Harrison,PG,22,MEM,1474,148,136,198,54,20,85,194,425
2017,Aaron Harrison,SG,22,CHO,17,1,3,3,0,0,0,2,1
2017,Tobias Harris,PF,24,DET,2567,190,416,142,60,39,95,133,1321
2017,Manny Harris,SG,27,DAL,25,2,9,2,0,0,2,1,8
2017,Joe Harris,SG,25,BRK,1138,35,147,54,30,8,55,121,428
2017,Gary Harris,SG,22,DEN,1782,104,178,164,71,8,76,92,851
2017,Devin Harris,PG,33,DAL,1087,107,127,136,43,7,57,101,437
2017,Montrezl Harrell,C,23,HOU,1064,76,219,64,20,42,44,126,527
2017,Justin Harper,PF,27,PHI,31,0,5,2,0,0,4,2,12
2017,Maurice Harkless,SF,23,POR,2223,77,341,89,85,70,85,214,773
2017,James Harden,PG,27,HOU,2947,746,659,906,120,37,464,215,2356
2017,Tim Hardaway,SG,24,ATL,2154,164,224,182,55,15,106,103,1143
2017,A.J. Hammons,C,24,DAL,163,9,36,4,1,13,10,21,48
2017,Justin Hamilton,C,26,BRK,1177,39,262,55,29,43,43,91,442
2017,Blake Griffin,PF,27,LAC,2076,320,496,300,58,23,142,157,1316
2017,Taj Gibson,PF,31,CHI,1502,85,383,60,28,51,77,123,639
2017,Taj Gibson,PF,31,TOT,1989,113,486,73,42,66,105,163,846
2017,Jonathan Gibson,PG,29,DAL,231,21,22,26,8,0,21,21,106
2017,Marcus Georges-Hunt,SG,22,ORL,48,9,9,3,1,0,2,5,14
2017,Yogi Ferrell,PG,23,BRK,151,10,12,17,2,2,14,11,54
2017,Yogi Ferrell,PG,23,TOT,1197,74,111,172,42,9,70,90,462
2017,Raymond Felton,PG,32,LAC,1700,50,217,191,67,22,83,125,538
2017,Cristiano Felicio,C,24,CHI,1040,60,311,40,25,16,33,110,316
2017,Kay Felder,PG,21,CLE,386,35,41,58,18,7,31,38,166
2017,Derrick Favors,PF,25,UTA,1186,67,305,56,45,40,60,103,476
2017,Jordan Farmar,PG,30,SAC,35,0,3,9,2,0,3,1,12
2017,Kenneth Faried,PF,27,DEN,1296,131,461,55,43,40,58,124,587
2017,Dante Exum,PG,21,UTA,1228,58,132,112,21,12,80,146,412
2017,Tyreke Evans,SF,27,SAC,314,24,51,33,12,5,22,19,163
2017,Tyreke Evans,SF,27,NOP,474,45,86,91,23,4,39,41,248
2017,Tyler Ennis,PG,22,LAL,392,19,27,52,20,2,21,29,170
2017,Tyler Ennis,PG,22,HOU,196,2,19,34,6,0,24,29,58
2017,Tyler Ennis,PG,22,TOT,588,21,46,86,26,2,45,58,228
2017,James Ennis,SF,26,MEM,1501,86,259,64,46,19,59,165,429
2017,Yogi Ferrell,PG,23,DAL,1046,64,99,155,40,7,56,79,408
2017,Dorian Finney-Smith,PF,23,DAL,1642,46,221,67,52,25,45,125,350
2017,Bryn Forbes,SG,23,SAS,285,5,23,23,1,0,11,20,94
2017,Patricio Garino,SG,23,ORL,43,0,7,0,0,0,3,4,0
2017,Paul George,SF,26,IND,2689,336,492,251,117,27,218,206,1775
2017,Alonzo Gee,SF,29,DEN,89,5,15,6,5,1,4,14,11
2017,Michael Gbinije,SG,24,DET,32,2,3,2,0,0,0,2,4
2017,Rudy Gay,SF,30,SAC,1013,118,190,82,44,26,74,79,562
2017,Pau Gasol,C,36,SAS,1627,130,501,150,24,70,81,110,792
2017,Marc Gasol,C,32,MEM,2531,278,462,338,67,99,166,171,1446
2017,Langston Galloway,PG,25,SAC,375,11,35,28,6,1,18,20,114
2017,Evan Fournier,SG,24,ORL,2234,223,209,202,66,4,141,180,1167
2017,Langston Galloway,PG,25,NOP,1120,40,121,65,40,5,28,76,471
2017,Langston Galloway,PG,25,TOT,1495,51,156,93,46,6,46,96,585
2017,Danilo Gallinari,SF,28,DEN,2134,349,326,135,40,15,81,93,1145
2017,Channing Frye,C,33,CLE,1398,63,290,45,33,37,53,138,676
2017,Tim Frazier,PG,26,NOP,1525,98,173,335,56,6,101,133,464
2017,Randy Foye,SG,33,BRK,1284,54,155,135,35,9,80,99,357
2017,Udonis Haslem,C,36,MIA,130,9,36,6,5,1,8,22,31
2017,Spencer Hawes,PF,28,CHO,626,30,146,62,13,26,40,61,254
2017,Ryan Kelly,PF,25,ATL,110,5,18,8,4,5,4,5,25
2017,Brice Johnson,PF,22,LAC,9,0,3,1,2,1,1,0,4
2017,Jonas Jerebko,PF,29,BOS,1232,26,273,71,26,17,39,122,299
2017,Brandon Jennings,PG,27,WAS,374,12,44,108,15,0,22,32,81
2017,Brandon Jennings,PG,27,NYK,1428,102,152,287,55,5,106,84,496
2017,Brandon Jennings,PG,27,TOT,1802,114,196,395,70,5,128,116,577
2017,John Jenkins,SG,25,PHO,13,2,1,1,0,0,0,0,7
2017,Richard Jefferson,SF,36,CLE,1614,80,202,78,26,10,52,153,448
2017,Al Jefferson,C,32,IND,931,65,278,57,19,16,33,125,535
2017,LeBron James,SF,32,CLE,2794,358,640,646,92,44,303,134,1954
2017,Reggie Jackson,PG,26,DET,1424,118,113,270,35,5,114,129,752
2017,Pierre Jackson,PG,25,DAL,84,6,9,19,2,0,3,5,35
2017,Demetrius Jackson,PG,22,BOS,17,3,4,3,0,0,0,0,10
2017,Jarrett Jack,PG,33,NOP,33,2,0,5,2,0,3,4,6
2017,Kyrie Irving,PG,24,CLE,2525,297,230,418,83,25,180,157,1816
2017,Brandon Ingram,SF,19,LAL,2279,133,317,166,50,36,116,158,740
2017,Joe Ingles,SF,29,UTA,1972,50,260,224,96,8,107,163,581
2017,Amir Johnson,PF,29,BOS,1608,67,365,140,52,62,77,211,520
2017,James Johnson,PF,29,MIA,2085,152,375,276,76,86,171,197,975
2017,Spencer Hawes,PF,28,MIL,171,14,45,19,2,4,9,16,83
2017,Joe Johnson,SF,35,UTA,1843,63,242,144,36,18,69,93,715
2017,Frank Kaminsky,C,23,CHO,1954,118,336,162,47,34,76,139,874
2017,Cory Joseph,SG,25,TOR,2003,94,235,265,66,13,108,140,740
2017,DeAndre Jordan,C,28,LAC,2570,205,1114,96,52,135,116,212,1029
2017,Tyus Jones,PG,20,MIN,774,33,67,156,47,5,38,50,209
2017,Terrence Jones,PF,25,MIL,6,0,3,0,1,1,0,0,0
2017,Terrence Jones,PF,25,NOP,1264,103,303,58,39,53,48,67,584
2017,Terrence Jones,PF,25,TOT,1270,103,306,58,40,54,48,67,584
2017,James Jones,SF,36,CLE,381,13,38,14,7,10,10,37,132
2017,Derrick Jones,SF,19,PHO,545,29,79,12,14,13,13,63,168
2017,Damian Jones,C,21,GSW,85,3,23,0,1,4,6,15,19
2017,Dahntay Jones,SF,36,CLE,12,3,2,1,0,0,1,1,9
2017,Nikola Jokic,C,21,DEN,2038,188,718,359,61,56,171,214,1221
2017,Wesley Johnson,SF,29,LAC,810,11,181,23,29,30,18,83,186
2017,Tyler Johnson,PG,24,MIA,2178,195,293,233,84,44,90,176,1002
2017,Stanley Johnson,SF,20,DET,1371,36,189,105,56,24,71,121,339
2017,Ersan Ilyasova,PF,29,ATL,633,52,151,43,22,8,34,73,270
2017,Ersan Ilyasova,PF,29,PHI,1447,109,314,97,33,14,78,133,786
2017,Ersan Ilyasova,PF,29,OKC,62,0,16,1,3,1,4,5,15
2017,Ersan Ilyasova,PF,29,TOT,2142,161,481,141,58,23,116,211,1071
2017,Jordan Hill,C,29,MIN,47,2,14,0,1,0,4,9,12
2017,George Hill,PG,30,UTA,1544,157,167,203,50,11,85,114,829
2017,Nene Hilario,C,34,HOU,1198,116,281,65,56,40,73,163,609
2017,Buddy Hield,SG,23,SAC,727,35,103,44,20,2,53,34,378
2017,Buddy Hield,SG,23,NOP,1161,29,166,77,18,7,48,81,488
2017,Buddy Hield,SG,23,TOT,1888,64,269,121,38,9,101,115,866
2017,Roy Hibbert,C,30,DEN,11,0,2,1,0,2,1,3,4
2017,Roy Hibbert,C,30,CHO,671,61,152,20,8,44,31,97,217
2017,Roy Hibbert,C,30,TOT,682,61,154,21,8,46,32,100,221
2017,Mario Hezonja,SF,21,ORL,960,40,146,62,30,14,58,74,317
2017,Willy Hernangomez,C,22,NYK,1324,91,502,96,41,36,100,150,587
2017,Juan Hernangomez,PF,21,DEN,842,57,187,29,29,12,31,62,305
2017,John Henson,C,26,MIL,1123,74,295,57,29,78,53,151,392
2017,Gerald Henderson,SG,29,PHI,1667,133,185,112,41,15,62,129,662
2017,Gordon Hayward,SF,26,UTA,2516,362,393,252,73,20,140,117,1601
2017,Solomon Hill,SF,25,NOP,2374,103,307,141,71,32,82,182,563
2017,Darrun Hilliard,SG,23,DET,381,21,33,33,11,2,28,39,127
2017,Jrue Holiday,PG,26,NOP,2190,119,264,488,100,43,194,133,1029
2017,Josh Huestis,PF,25,OKC,31,0,9,3,0,3,0,0,14
2017,Andre Iguodala,SF,33,GSW,1998,72,304,262,76,39,58,97,574
2017,Serge Ibaka,PF,27,TOR,712,30,156,15,7,33,39,76,327
2017,Serge Ibaka,PF,27,ORL,1710,77,382,60,34,91,66,139,846
2017,Serge Ibaka,PF,27,TOT,2422,107,538,75,41,124,105,215,1173
2017,R.J. Hunter,SG,23,CHI,9,0,1,0,0,0,0,0,0
2017,Kris Humphries,PF,31,ATL,689,64,206,29,15,21,28,69,257
2017,Marcelo Huertas,PG,33,LAL,237,9,24,52,10,2,19,16,63
