category,text
sci.med,"From: nyeda@cnsvax.uwec.edu (David Nye)
Subject: Re: Post Polio Syndrome Information Needed Please !!!
Organization: University of Wisconsin Eau Claire
Lines: 21

[reply to keith@actrix.gen.nz (Keith Stewart)]
 
>My wife has become interested through an acquaintance in Post-Polio
>Syndrome This apparently is not recognised in New Zealand and different
>symptons ( eg chest complaints) are treated separately. Does anone have
>any information on it
 
It would help if you (and anyone else asking for medical information on
some subject) could ask specific questions, as no one is likely to type
in a textbook chapter covering all aspects of the subject.  If you are
looking for a comprehensive review, ask your local hospital librarian.
Most are happy to help with a request of this sort.
 
Briefly, this is a condition in which patients who have significant
residual weakness from childhood polio notice progression of the
weakness as they get older.  One theory is that the remaining motor
neurons have to work harder and so die sooner.
 
David Nye (nyeda@cnsvax.uwec.edu).  Midelfort Clinic, Eau Claire WI
This is patently absurd; but whoever wishes to become a philosopher
must learn not to be frightened by absurdities. -- Bertrand Russell
"
talk.politics.guns,"From: ndallen@r-node.hub.org (Nigel Allen)
Subject: WACO: Clinton press conference, part 1
Organization: R-node Public Access Unix - 1 416 249 5366
Lines: 282

Here is a press release from the White House.

 President Clinton's Remarks On Waco With Q/A
 To: National Desk
 Contact: White House Office of the Press Secretary, 202-456-2100

   WASHINGTON, April 20 -- Following are remarks by President 
Clinton in a question and answer session with the press:

1:36 P.M. EDT

     THE PRESIDENT:  On February the 28th, four federal
agents were killed in the line of duty trying to enforce the law
against the Branch Davidian compound, which had illegally stockpiled
weaponry and ammunition, and placed innocent children at risk.
Because the BATF operation had failed to meet its objective, a 51-day
standoff ensued.

     The Federal Bureau of Investigation then made every
reasonable effort to bring this perilous situation to an end without
bloodshed and further loss of life.  The Bureau's efforts were
ultimately unavailing because the individual with whom they were
dealing, David Koresh, was dangerous, irrational, and probably
insane.

     He engaged in numerous activities which violated both
federal law and common standards of decency.  He was, moreover,
responsible for the deaths and injuries which occurred during the
action against the compound in February.  Given his inclination
towards violence and in an effort to protect his young hostages, no
provocative actions were taken for more than seven weeks by federal
agents against the compound.

     This weekend I was briefed by Attorney General Reno on
an operation prepared by the FBI, designed to increase pressure on
Koresh and persuade those in the compound to surrender peacefully.
The plan included a decision to withhold the use of ammunition, even
in the face of fire, and instead to use tear gas that would not cause
permanent harm to health, but would, it was hoped, force the people
in the compound to come outside and to surrender.

     I was informed of the plan to end the siege.  I
discussed it with Attorney General Reno.  I asked the questions I
thought it was appropriate for me to ask.  I then told her to do what
she thought was right, and I take full responsibility for the
implementation of the decision.

     Yesterday's action ended in a horrible human tragedy.
Mr. Koresh's response to the demands for his surrender by federal
agents was to destroy himself and murder the children who were his
captives, as well as all the other people who were there who did not
survive.  He killed those he controlled, and he bears ultimate
responsibility for the carnage that ensued.

     Now we must review the past with an eye towards the
future.  I have directed the United Stated Departments of Justice and
Treasury to undertake a vigorous and thorough investigation to
uncover what happened and why, and whether anything could have been
dne differently.  I have told the departments to involve independent
professional law enforcement officials in the investigation.  I
expect to receive analysis and answers in whatever time is required
to complete the review.  Finally, I have directed the departments to
cooperate fully with all congressional inquiries so that we can
continue to be fully accountable to the American people.

     I want to express my appreciation to the Attorney
General, to the Justice Department, and to the federal agents on the
front lines who did the best job they could under deeply difficult
circumstances.

     Again, I want to say as I did yesterday, I am very sorry
for the loss of life which occurred at the beginning and at the end
of this tragedy in Waco.  I hope very much that others who will be
tempted to join cults and to become involved with people like David
Koresh will be deterred by the horrible scenes they have seen over
the last seven weeks.  And I hope very much that the difficult
situations which federal agents confronted there and which they will
be doubtless required to confront in other contexts in the future
will be somewhat better handled and better understood because of what
has been learned now.

     Q  Mr. President, can you, first of all, tell us why,
after 51 days, you decided --

     Q  Mr. President, can you describe for us what it is
that Janet Reno outlined to you in your 15-minute phone conversation
with --

     THE PRESIDENT:  I can't hear you both.  If one will go
first and then the other.

     Q  Sorry.  Can you describe what Janet Reno --

     Q  Mr. President --

     THE PRESIDENT:  I'll answer both your questions, but I
can't do it at once.

     Q  Can you describe what she told you on Sunday about
the nature of the operation and how much detail you knew about it?

     THE PRESIDENT:  Yes.  I was told by the Attorney General
that the FBI strongly felt that the time had come to take another
step in trying to dislodge the people in the compound.  And she
described generally what the operation would be -- that they wanted
to go in and use tear gas which had been tested not to cause
permanent damage to adults or to children, but which would make it
very difficult for people to stay inside the building.  And it was
hoped that the tear gas would permit them to come outside.

     I was further told that under no circumstances would our
people fire any shots at them even if fired upon.  They were going to
shoot the tear gas from armored vehicles which would protect them and
there would be no exchange of fire.  In fact, as you know, an awful
lot of shots were fired by the cult members at the federal officials.
There were no shots coming back from the government side.

     I asked a number of questions.  The first question I
asked is, why now?  We have waited seven weeks; why now?  The reasons
I was given were the following:

     Number one, that there was a limit to how long the
federal authorities could maintain with their limited resources the
quality and intensity of coverage by experts there.  They might be
needed in other parts of the country.

     Number two, that the people who had reviewed this had
never seen a case quite like this one before, and they were convinced
that no progress had been made recently and no progress was going to
be made through the normal means of getting Koresh and the other cult
members to come out.

     Number three, that the danger of their doing something
to themselves or to others was likely to increase, not decrease, with
the passage of time.

     And number four, that they had reason to believe that
the children who were still inside the compound were being abused
significantly, as well as being forced to live in unsanitary and
unsafe conditions.

     So for those reasons, they wanted to move at that time.
The second question I asked the Attorney General is whether they had
given consideration to all of the things that could go wrong and
evaluated them against what might happen that was good.  She said
that the FBI personnel on the scene and those working with them were
convinced that the chances of bad things happening would only
increase with the passage of time.

     The third question I asked was, has the military been
consulted?  As soon as the initial tragedy came to light in Waco,
that's the first thing I asked to be done, because it was obvious
that this was not a typical law enforcement situation.  Military
people were then brought in, helped to analyze the situation and some
of the problems that were presented by it.   And so I asked if the
military had been consulted.  The Attorney General said that they
had, and that they were in basic agreement that there was only one
minor tactical difference of opinion between the FBI and the military
-- something that both sides thought was not of overwhelming
significance.

     Having asked those questions and gotten those answers, I
said that if she thought it was the right thing to do, that she
should proceed and that I would support it.  And I stand by that
today.

     Q  Mr. President --

     THE PRESIDENT:  Wait.  Go ahead.

     Q  Can you address the widespread perception --
reported widely, television, radio and newspapers -- that you were
trying somehow to distance yourself from this disaster?

     THE PRESIDENT:  No, I'm bewildered by it.  The only
reason I made no public statement yesterday -- let me say -- the only
reason I made no public statement yesterday is that I had nothing to
add to what was being said and I literally did not know until rather
late in the day whether anybody was still alive other than those who
had been actually seen and taken to the hospital or taken into
custody.  It was purely and simply a question of waiting for events
to unfold.

     There was -- I have -- I can't account for why people
speculated one way or the other, but I talked to the Attorney General
on the day before the action took place.  I talked to her yesterday.
I called her again late last night after she appeared on the Larry
King Show, and I talked to her again this morning.  A President -- it
is not possible for a President to distance himself from things that
happen when the federal government is in control.

     I will say this, however.  I was, frankly, surprised
would be a mild word, to say that anyone that would suggest that the
Attorney General should resign because some religious fanatics
murdered themselves.  (Applause.)

     I regret what happened, but it is not possible in this
life to control the behavior of others in every circumstance.  These
people killed four federal officials in the line of duty.  They were
heavily armed.  They fired on federal officials yesterday repeatedly,
and they were never fired back on.  We did everything we could to
avoid the loss of life.  They made the decision to immolate
themselves.  And I regret it terribly, and I feel awful about the
children.

     But in the end, the last comment I had from Janet Reno,
is when -- and I talked to her on Sunday -- I said, now, I want you
to tell me once more why you believe -- not why they believe -- why
you believe we should move now rather than wait some more.  And she
said, it's because of the children.  They have evidence that those
children are still being abused and that they're in increasingly
unsafe conditions, and that they don't think it will get any easier
with time -- with the passage of time.  I have to take their word for
that.  So that is where I think things stand.

     Q  Can we assume then that you don't think this was
mishandled in view of the outcome, that you didn't run out of
patience?  And if you had it to do over again, would you really
decide that way?

     THE PRESIDENT:  No -- well, I think what you can assume
is just exactly what I announced today.  This is a -- the FBI has
done a lot of things right for this country over a long period of
time.  This is the same FBI that found the people that bombed the
World Trade Center in lickety-split, record time.  We want an inquiry
to analyze the steps along the way.  Is there something else we
should have known?  Is there some other question they should have
asked?  Is there some other question I should have asked?  Can I say
for sure that no one -- that we could have done nothing else to make
the outcome come different?  I don't know that.  That's why I want
the inquiry and that's why I would like to make sure that we have
some independent law enforcement people, not political people, but
totally non-political, outside experts who can bring to bear the best
evidence we have.

     There is, unfortunately, a rise in this sort of
fanaticism all across the world.  And we may have to confront it
again.  And I want to know whether there is anything we can do,
particularly when there are children involved.  But I do think it is
important to recognize that the wrong-doers in this case were the
people who killed others and then killed themselves.

     Q  Mr. President, were there any other options
presented to you for resolving this situation at any point from
February 28th until yesterday?

     THE PRESIDENT:  Well, yes, I got regular reports all
along the way.  There were lots of other options pursued.  If you go
back -- you all covered it very well.  The FBI -- you did a very good
job of it.  I mean, the FBI and the other authorities there pursued
any number of other options all along the way, and a lot of them
early on seemed to be working.  Some of the children got out, some of
the other people left.  There was a -- at one point, there seemed to
be some lines of communication opening up between Koresh and the
authorities.  And then he would say things and not do them and things
just began to spin downward.

     Whether there were other -- in terms of what happened
yesterday, the conversation I had with the Attorney General did not
involve other options except whether we should take more time with
the present strategy we were pursuing -- because they said they
wanted to do this, because they thought this was the best way to get
people out of the compound quickly before they could kill themselves.
That's what they thought.

     Q  Did the government know that the children did not
have gas masks?

     Q     congressional hearings once the situation -- are
you in agreement with that?

     THE PRESIDENT:  That's up to the Congress.  They can do
whatever they want.  But I think it's very important that the
Treasury and Justice Departments launch this investigation and bring
in some outside experts.  And as I said in my statement, if any
congressional committees want to look into it, we will fully
cooperate.  There is nothing to hide here.  This was probably the
most well-covered operation of its kind in the history of the
country.

   (more, more)
 -30-
"
misc.forsale,"From: mark@ardsley.business.uwo.ca (Mark Bramwell)
Subject: Re: Cellular Phone (Portable) for sale
Organization: Western Business School
Distribution: usa
Summary: Takes longer than 24 hours
Nntp-Posting-Host: home-pc1.business.uwo.ca
Lines: 19

>
>I hope you realize that for a cellular phone, you need to subscribe to a
>Cellular carrier, and it usually takes at least one working day before
>the service is available to you. Only then you can find out whether 
>the phone is working.
>
>Tin
>


Not true.  Dial 811 and listen to the recording.  If you get it, then your 
phone was recognized by the network.  You wouldn't be able to dial a real 
number yet (of course!)

=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
Mark Bramwell, VE3PZR                Located in sunny London, Ontario

Internet: Mark@ARDSLEY.business.uwo.ca  IP Address: 129.100.29.33
  Packet:  VE3PZR @ VE3GYQ               UWO Phone: (519) 661-3714
"
misc.forsale,"From: zmed16@trc.amoco.com (Michael)
Subject: FOR SALE: Drum Machine 
Originator: zmed16@zircon
Organization: Amoco Production Company, Tulsa Research
Lines: 12


I have an Alesis HR-16 drum machine for sale.  It includes velocity-sensitive
pads, 49 digital sounds, 99 pattern memory and 49 song memory.  If you are
interested, make me an offer.  Please respond to:

	zmed16@trc.amoco.com

Thanks,

Mike


"
talk.politics.guns,"From: fcrary@ucsu.Colorado.EDU (Frank Crary)
Subject: Re: Gun Control (was Re: We're Mad as Hell at the TV News)
Nntp-Posting-Host: ucsu.colorado.edu
Organization: University of Colorado, Boulder
Distribution: na
Lines: 62

In article <C4tsHu.Ew6@magpie.linknet.com> manes@magpie.linknet.com (Steve Manes) writes:
>: That's all very well and good, but I was refering to all
>: homocides, not just ones involving handguns (what is this fixation
>: on death by shooting, as if it were somehow worse than death
>: by stabbing?)

>What relevance are ALL homicides in this debate?...
>The issue is guns, not baseball bats.

No. The issue is reducing crime, not guns. If gun control doesn't
lower crime overall, then is doesn't address the issue.

>...Even a simpleton knows that
>he stands a better chance of surviving an attack with a baseball bat...

Does that matter if assaults with a baseball bat become much
more common? Muggers using a gun rely primarily on the
threat of the gun, and rarely shoot their victim. A mugger
using a knife is much more likely to start by stabbing his victim 
in an effort incapacitate him. So, while a knif may not
be as deadly as a gun, criminals are more likely to actually
_use_ the knife (as opposed to threatening the victim with it.)
It isn't at all clear that replacing the criminal's gun with a
knife would reduce murders. Stabbings might just become more
common. That's why it is important to look at the overall
(not the with-gun) homicide rate. It avoids the issue of
substitution, different criminal techinques of using different
weapons, etc... and measures what we want to prevent: Murders.

>As for knives, see my earlier post.  I'd much rather face a knife
>than a gun, thanks.  

""Face""? Possibly. However, facing knife-welding attackers isn't
too common: Stabbing without warning and by supprise is the
usual tactic. Very few criminals shoot from cover: It attracts
to much attention and they don't have a chance to go through your
pockets. Overall, I'd much rather be threatened with a gun
than actually stabbed with a knife.

>...Fortunately, the best defense against a knife isn't
>another knife.  Anyone trained in unarmed self-defense won't have
>much of a problem disarming a knife assailant untrained in knife
>assault (which probably means 99.9% of knife assailants).

Actually, the exact same statement is true of guns: Training in
unarmed self-defence will let you disarm an untrained gunman 
without much problem.

You also ignore the criminal's reaction: The National Crime
Survey clearly shows that criminals (unarmed, armed with a
knife, gun or whatever) are unwilling to risk their lives
in a confrontation. If faced with a serious threat, almost
all prefer to leave and find an easier target. Therefore,
using (or threatening to use, as is much more commonly the case)
a weapon _is_ the best defence against an attacker, regardless
of how he is armed. Knives, however, are much less effective
than guns: Criminals don't consider knifes as a ""serious threat""
nearly as often as they do guns.

                                              Frank Crary
                                              CU Boulder

"
talk.politics.guns,"From: cathy@LANCE.ColoState.Edu (Cathy Smith)
Subject: Letter to a Liberal Colleague -- L. Neil Smith
Distribution: usa
Nntp-Posting-Host: blanca.lance.colostate.edu
Organization: Colorado State University, Fort Collins, CO  80523
Lines: 147

Posted by Cathy Smith for L. Neil Smith

                   LETTER TO A LIBERAL COLLEAGUE

[AUTHOR'S NOTE:  ""Adrian"" -- name changed to protect the guilty -- 
and the author are science fiction novelists who once worked with 
the same editor at a famous New York publishing house.]

Dear Adrian:  

I'm way behind schedule on my current book again, so this reply to 
your note -- criticizing the recent magazine interview I gave and 
generally attacking gun ownership -- will necessarily consist 
mostly of assertions you're free to believe (or not) I can back 
with evidence and logic I've neither time nor energy to present 
now.  I've written fully on this topic before and will again in the 
future.  When I do, I'll make sure you get copies.  

There are many arguments I might make, from the futility and danger 
of delegating self-defense to the police (see Don Kates in the Jan. 
10, 1985 WALL STREET JOURNAL) to the real effect of prohibition, 
shifting consumers from newly-outlawed handguns or semiautomatic 
rifles to items like sawed-off shotguns or homemade bombs, but I'll 
limit myself here to commenting on the newspaper clipping you sent 
with your note.  

First, the freedom to own and carry the weapon of your choice is a 
natural, fundamental, and inalienable human, individual, civil, and 
Constitutional right -- subject neither to the democratic process 
nor to arguments grounded in social utility.  

Second, publication of some latter-day ""scientific study"" doesn't 
alter the fact that the gun prohibitionists I discussed in my 
interview -- annoying you so much in the process -- were lying.  

Third, the freedom to own and carry the weapon of your choice is a 
natural, fundamental, and inalienable human, individual, civil, and 
Constitutional right -- subject neither to the democratic process 
nor to arguments grounded in social utility.  

Fourth, as often happens with these things, the ""study"" doesn't 
support the gun prohibitionists' original numerical contentions 
anyway, but simply adds a new layer of spurious claims to an older 
body of lies, omissions, and distortions.  

Fifth, the freedom to own and carry the weapon of your choice is a 
natural, fundamental, and inalienable human, individual, civil, and 
Constitutional right -- subject neither to the democratic process 
nor to arguments grounded in social utility.  

Sixth, the fact that gun prohibitionists have been caught lying on 
countless occasions (Carl Bakal, author of NO RIGHT TO KEEP AND 
BEAR ARMS, even confessed to it publicly) makes the value of this 
present ""study"" dubious, to say the least.  

Seventh, the freedom to own and carry the weapon of your choice is 
a natural, fundamental, and inalienable human, individual, civil, 
and Constitutional right -- subject neither to the democratic 
process nor to arguments grounded in social utility.  

Eighth, given your own lifelong service as a federal bureaucrat 
(not to mention the cynical sophistication of your fiction), you 
should be better aware than most people how ""progress"" -- in 
designing ""studies"" to prove whatever you want -- outstrips our 
ability to collect meaningful data.  A case in point we might agree 
on is the fact that it took another kind of prohibitionist 20 or 30 
years to create ""studies"" ""proving"" that pornography causes crime.  
More naive (and probably more honest) efforts in the 50s and 60s 
clearly indicate the contrary.  

Ninth, the freedom to own and carry the weapon of your choice is a 
natural, fundamental, and inalienable human, individual, civil, and 
Constitutional right -- subject neither to the democratic process 
nor to arguments grounded in social utility.  

Tenth, another reason to doubt all such ""studies"" is that human 
behavior (as the Austrian School of economics demonstrates) is far
too complex and unpredictable to be meaningfully quantified.  The 
attempt to do so -- and then create public policy based on the 
resulting pseudo-information -- is wrecking our civilization.  

Eleventh, the freedom to own and carry the weapon of your choice is 
a natural, fundamental, and inalienable human, individual, civil, 
and Constitutional right -- subject neither to the democratic 
process nor to arguments grounded in social utility.  

Twelfth, the ""study"" is also worthless because it incorporates 
figures for suicide, which is not necessarily a tragedy but 
basically another individual right, sometimes with ancillary social 
benefits.  If anything, perhaps suicide INTERVENTION should be a 
criminal offense.  

Thirteenth and finally, the National Rifle Association officials 
quoted in the article, whatever their shortcomings (and they are 
many), are correct in this instance:  the ""study"" is meaningless 
because the freedom to own and carry the weapon of your choice is a 
natural, fundamental, and inalienable human, individual, civil, and 
Constitutional right -- subject neither to the democratic process 
nor to arguments grounded in social utility.  

And because of that, Adrian, even if the ""study"" were valid, it 
wouldn't deter me from a lifelong personal objective of seeing that 
anyone can own any weapon he or she prefers and carry it however, 
whenever, and wherever he or she desires without asking anybody's 
permission. In this I'm ably assisted by gun prohibitionists 
themselves, whose yawping invariably moves previously unarmed 
people to go out and buy their first gun ""while they still can"".  
Before the '68 Gun Control Act, most of the ""shooting fraternity"" 
viewed handguns (incorrectly, as it turned out) as inaccurate, 
ineffective toys.  There probably weren't six million of them in 
the whole country.  Now, thanks to Kennedy, Metzenbaum, the Bradys, 
and their ilk -- AMERICA'S GREATEST SPORTING GOODS SALES TEAM -- we 
probably manufacture at least that many every year.

The fascinating datum is that Handgun Control, et al. are perfectly 
aware of this -- so I guess you'll have to ask them yourself what 
their real motives are.  

Look:  gun-making isn't an arcane or difficult art (and by the way, 
it's easier to make a fully automatic weapon than a semiautomatic; 
the fact that I can still obtain my own weapon of preference, the 
self-loading pistol, is the only thing which keeps me from pursuing 
this further).  Even if it were difficult, there are already a 
quarter billion firearms in America, with an estimated ""half life"" 
of 1000 years -- possibly more for stainless steel.  Guns are gonna 
be around a long time, Adrian, whether you like it or not.

As for me, to paraphrase Elmer Keith, regardless of what the law 
provides or any court decides, I'm always going to be armed.  And I 
will always work to see that others are, as well.  The bad news is 
that there are thousands more -- perhaps even hundreds of thousands 
-- where I come from.  We can't be stopped by passing laws, we can 
only be forced to arm ourselves and others secretly and -- given 
both the practical and alleged differences between full automatics 
and semiautomatics -- perhaps more efficiently.  

So what's the point?  

L. Neil Smith
Author:  THE PROBABILITY BROACH, THE CRYSTAL EMPIRE, HENRY MARTYN, 
and (forthcoming) PALLAS
LEVER ACTION BBS (303) 493-6674, FIDOnet: 1:306/31.4
Libertarian Second Amendment Caucus
NRA Life Member

My opinions are, of course, my own.

"
rec.sport.baseball,"From: davewood@bruno.cs.colorado.edu (David Rex Wood)
Subject: Rockies need some relief
Nntp-Posting-Host: bruno.cs.colorado.edu
Organization: University of Colorado, Boulder
Lines: 13

Once again, the Rockies bullpen fell apart.  Andy Ashby pitched six (somewhat
shaky) innings giving up just one run.  Then game the dreaded relief.  Three
picthers combined to give up 3 runs (one each I believe) in the 7th inning
and blew the save opportunity.  (Final was 4-2 vs Expos).

Despite their problems in the pen, I think the Rockies are a team that wont
be taken lightly.  Going into today's game, the had the league's leading
hitter and RBI man (Galarraga), two of the leaders in stolen bases (Young
and Cole) and increasingly strong starting pitching.
-- 
-------------------------------------------------------------------------------
David Rex Wood -- davewood@cs.colorado.edu -- University of Colorado at Boulder
-------------------------------------------------------------------------------
"
rec.sport.baseball,"From: snichols@adobe.com (Sherri Nichols)
Subject: Re: Young Catchers
Organization: Adobe Systems Incorporated
Lines: 38

In article <7975@blue.cis.pitt.edu> genetic+@pitt.edu (David M. Tate) writes:
>As for rushing...  If there really is a qualitative difference between the
>minors and the majors that requires a period of adjustment (and I don't
>believe there is), then wouldn't you rather waste Lopez's 22-year old good
>season than his 23-year old very good season or his 24-year-old excellent
>season?  The sooner you get him acclimated, the more of his prime you get to
>use.

Can anybody name a player who was 'rushed' to the majors (let's, for
argument's sake, define ""rushed"" as brought up to the majors for more than
a cup of coffee prior at age 22 or younger, and performing below
expectations), whose career was damaged by this rushing?  I'm serious; I
tend to agree with David that bringing the player up sooner is better, but
I'd like to look at players for whom this theory didn't work, if there are
any.  I'd prefer players within the last 10 years or so, because then I can
look up their minor league stats.  (It's important to distinguish between
players who legitimately had careers below what their minor league numbers
would have projected, as opposed to players who were hyped and failed, but
actually had careers not out of line with their minor league numbers).  

Let's kick it off with an example of a player who was ""rushed"", although
there doesn't seem to have been any damage to his career.  Jay Bell was
given 135 PAs in the major leagues at age 21, and performed well below what
you would expect from his AAA numbers the same season.  He got 236 PAs the
next year at age 22, and still underperformed.  However, the next year, at
age 24, his performance improved, and he won the everyday shortstop job,
and has been there ever since.  It's really hard for me to see where he
would have been better off staying in the minor league (where he was
performed quite well in AAA) during this time, rather than being ""rushed"";
Cleveland might have been better off, I suppose, because they might have
been less likely to give up on him.

Yes, if you bring a player up early, he's likely going to struggle.  But
does that delay the time at which he stops struggling, and starts
performing up to expectations?

Sherri Nichols
snichols@adobe.com
"
sci.space,"From: djf@cck.coventry.ac.uk (Marvin Batty)
Subject: Re: Moon Colony Prize Race! $6 billion total?
Nntp-Posting-Host: cc_sysk
Organization: Starfleet, Coventry, UK
Lines: 49

In article <1993Apr20.020259.1@aurora.alaska.edu> nsmca@aurora.alaska.edu writes:
>I think if there is to be a prize and such.. There should be ""classes""
>such as the following:
>
>Large Corp.
>Small Corp/Company (based on reported earnings?)
>Large Government (GNP and such)
>Small Governemtn (or political clout or GNP?)
>Large Organization (Planetary Society? and such?)
>Small Organization (Alot of small orgs..)

Whatabout, Schools, Universities, Rich Individuals (around 250 people 
in the UK have more than 10 million dollars each). I reecieved mail
from people who claimed they might get a person into space for $500
per pound. Send a skinny person into space and split the rest of the money
among the ground crew!
>
>The organization things would probably have to be non-profit or liek ??
>
>Of course this means the prize might go up. Larger get more or ??
>Basically make the prize (total purse) $6 billion, divided amngst the class
>winners..
>More fair?
>
>There would have to be a seperate organization set up to monitor the events,
>umpire and such and watch for safety violations (or maybe not, if peopel want
>to risk thier own lives let them do it?).
>
Agreed. I volunteer for any UK attempts. But one clause: No launch methods
which are clearly dangerous to the environment (ours or someone else's). No
usage of materials from areas of planetary importance.

>Any other ideas??

Yes: We should *do* this rather than talk about it. Lobby people!
The major problem with the space programmes is all talk/paperwork and
no action!

>==
>Michael Adams, nsmca@acad3.alaska.edu -- I'm not high, just jacked
>
>


-- 
****************************************************************************  
                  Marvin Batty - djf@uk.ac.cov.cck
""And they shall not find those things, with a sort of rafia like base,
that their fathers put there just the night before. At about 8 O'clock!""
"
misc.forsale,"From: unpingco@raman.ucsd.edu (Jose Unpingco)
Subject: FOR SALE: ULTRABOTS PC GAME
Keywords: ULTRABOTS,video game, pc game
Lines: 6

Electronics Art's Ultrabots game for sale with book and original
3.5"" disks in the original box. 

	- $22 or best offer.

contact:  unpingco@raman.ucsd.edu                    
"
