Rank,Team,Gold,Silver,Bronze,Total
1,France (FRA),27,38,37,102
2,United States (USA),19,14,15,48
3,Great Britain (GBR),15,8,9,32
4,Mixed team (ZZX),8,5,6,19
5,Belgium (BEL),6,7,4,17
6,Switzerland (SUI),6,2,1,9
7,Germany (GER),4,3,2,9
8,Italy (ITA),3,2,0,5
9,Australia (AUS),2,0,3,5
10,Denmark (DEN),1,3,2,6
11,Hungary (HUN),1,2,2,5
12,Cuba (CUB),1,1,0,2
13,Canada (CAN),1,0,1,2
14,Spain (ESP),1,0,0,1
14,Luxembourg (LUX),1,0,0,1
16,Austria (AUT),0,3,3,6
17,Norway (NOR),0,2,3,5
17,Netherlands (NED),0,2,3,5
19,India (IND),0,2,0,2
20,Bohemia (BOH),0,1,1,2
21,Sweden (SWE),0,0,1,1
