state,order_date,revenue
Arkansas,2014-12-24,1311.0
Florida,2014-10-15,698.0
Iowa,2014-09-07,1193.0
Indiana,2014-05-19,469.0
Maine,2014-04-19,334.0
Arkansas,2014-12-07,1200.0
Idaho,2014-11-15,1258.0
Alaska,2014-04-19,716.0
Missouri,2014-06-27,1300.0
Maine,2014-04-08,260.0
California,2014-09-13,622.0
Nebraska,2014-05-22,787.0
Delaware,2014-08-25,936.0
Kansas,2014-06-17,1250.0
Missouri,2014-12-08,1109.0
Oklahoma,2014-08-07,594.0
Nebraska,2014-10-17,679.0
Alaska,2014-05-21,649.0
Delaware,2014-11-27,964.0
Nebraska,2014-08-28,702.0
Kansas,2014-10-05,1053.0
Nevada,2014-05-19,414.0
Indiana,2014-05-05,529.0
Missouri,2014-03-07,1302.0
Montana,2014-10-12,817.0
Indiana,2014-08-08,560.0
Arkansas,2014-09-04,1158.0
Indiana,2014-03-25,435.0
Oklahoma,2014-05-23,512.0
Florida,2014-07-23,912.0
Montana,2014-11-12,761.0
Montana,2014-08-06,978.0
Indiana,2014-02-26,651.0
Ohio,2014-02-04,819.0
Montana,2014-03-30,827.0
Georgia,2014-07-19,1366.0
New Mexico,2014-10-13,1021.0
Iowa,2014-02-28,1133.0
Louisiana,2014-05-24,1437.0
Ohio,2014-02-01,617.0
Nebraska,2014-01-17,821.0
Mississippi,2014-02-14,633.0
Kansas,2014-07-29,1336.0
Florida,2014-05-27,931.0
Delaware,2014-10-24,927.0
Idaho,2014-11-28,1250.0
Ohio,2014-12-07,606.0
Maine,2014-02-08,346.0
Oklahoma,2014-01-24,617.0
Illinois,2014-04-27,1260.0
Florida,2014-04-07,816.0
Oregon,2014-10-09,758.0
Washington,2014-03-23,899.0
Oregon,2014-05-30,999.0
Texas,2014-07-21,1276.0
Oklahoma,2014-06-27,504.0
Texas,2014-11-26,1143.0
California,2014-07-29,716.0
Oregon,2014-01-13,753.0
Kansas,2014-12-24,1145.0
Montana,2014-08-23,928.0
Oregon,2014-11-01,725.0
Georgia,2014-07-09,1146.0
Kansas,2014-10-29,982.0
Mississippi,2014-10-31,679.0
Mississippi,2014-02-13,671.0
Louisiana,2014-11-06,1354.0
Illinois,2014-04-21,1479.0
Indiana,2014-04-06,699.0
Arkansas,2014-11-09,1092.0
Florida,2014-06-28,931.0
Mississippi,2014-04-05,557.0
Washington,2014-11-18,912.0
Montana,2014-12-16,782.0
Maine,2014-01-13,426.0
Maine,2014-05-30,347.0
Arkansas,2014-12-16,1037.0
Texas,2014-12-19,1142.0
Washington,2014-10-17,932.0
Nebraska,2014-04-23,825.0
Oklahoma,2014-05-30,561.0
New Mexico,2014-07-12,1278.0
Montana,2014-12-17,917.0
Maine,2014-04-12,599.0
Alaska,2014-02-28,622.0
Ohio,2014-03-31,621.0
California,2014-02-21,636.0
Idaho,2014-05-09,1452.0
Indiana,2014-01-04,602.0
Oklahoma,2014-04-11,641.0
Florida,2014-05-25,982.0
Oregon,2014-02-19,768.0
Iowa,2014-09-10,1069.0
Florida,2014-12-17,831.0
Texas,2014-08-30,1272.0
New York,2014-05-20,725.0
Missouri,2014-07-23,1177.0
California,2014-01-22,733.0
Oklahoma,2014-01-21,692.0
Iowa,2014-02-02,1286.0
Indiana,2014-12-16,562.0
Iowa,2014-09-19,1089.0
Ohio,2014-06-19,535.0
Georgia,2014-02-01,1418.0
Delaware,2014-11-08,790.0
Alaska,2014-10-29,690.0
Indiana,2014-06-10,585.0
Ohio,2014-05-26,818.0
New York,2014-07-07,721.0
Mississippi,2014-04-28,526.0
Missouri,2014-11-09,1171.0
Florida,2014-06-09,978.0
Louisiana,2014-08-04,1444.0
Mississippi,2014-06-20,640.0
Arkansas,2014-07-16,1090.0
Illinois,2014-11-24,1316.0
Alaska,2014-03-24,708.0
Oregon,2014-04-11,812.0
Oregon,2014-01-03,847.0
Mississippi,2014-07-31,837.0
Oklahoma,2014-03-29,409.0
Delaware,2014-07-09,874.0
Texas,2014-09-13,1147.0
Florida,2014-11-16,874.0
Louisiana,2014-08-31,1375.0
Washington,2014-12-23,774.0
Indiana,2014-05-09,628.0
California,2014-03-16,768.0
Maine,2014-08-03,325.0
Oregon,2014-03-03,871.0
Illinois,2014-12-06,1287.0
New York,2014-09-14,742.0
Florida,2014-11-08,776.0
Montana,2014-12-23,966.0
Maine,2014-04-08,216.0
Texas,2014-12-06,1174.0
Nebraska,2014-12-24,534.0
Mississippi,2014-05-18,701.0
Alaska,2014-11-08,753.0
Oklahoma,2014-01-17,638.0
California,2014-12-23,539.0
New York,2014-01-20,877.0
Mississippi,2014-02-26,836.0
Nebraska,2014-03-02,789.0
Idaho,2014-12-15,1312.0
Oklahoma,2014-03-23,577.0
New Mexico,2014-09-14,1063.0
Louisiana,2014-12-09,1297.0
Louisiana,2014-05-31,1678.0
Montana,2014-08-21,817.0
Oklahoma,2014-05-19,485.0
Georgia,2014-10-19,1234.0
Alaska,2014-06-14,661.0
Florida,2014-04-16,971.0
New Mexico,2014-08-19,1342.0
Oregon,2014-11-19,789.0
Alaska,2014-01-01,678.0
Florida,2014-11-02,872.0
Mississippi,2014-06-15,605.0
Arkansas,2014-09-01,1211.0
Mississippi,2014-05-19,461.0
Oregon,2014-03-28,872.0
Montana,2014-05-11,987.0
Ohio,2014-01-22,651.0
Illinois,2014-10-29,1195.0
Louisiana,2014-11-26,1403.0
Mississippi,2014-01-01,721.0
Idaho,2014-04-20,1418.0
Iowa,2014-08-14,1182.0
Montana,2014-09-04,902.0
Oklahoma,2014-08-27,569.0
Maine,2014-01-08,387.0
Ohio,2014-04-24,675.0
Alaska,2014-09-21,725.0
Maine,2014-03-26,324.0
Maine,2014-06-29,369.0
Indiana,2014-05-06,575.0
New Mexico,2014-12-10,1069.0
Ohio,2014-03-04,655.0
Georgia,2014-11-05,1307.0
Arkansas,2014-12-05,1159.0
Oklahoma,2014-03-30,502.0
California,2014-08-04,678.0
Louisiana,2014-02-25,1554.0
Delaware,2014-05-15,996.0
Kansas,2014-12-25,1060.0
Texas,2014-12-03,1109.0
Nebraska,2014-03-16,671.0
Florida,2014-10-01,822.0
Alaska,2014-01-03,727.0
Arkansas,2014-11-11,1175.0
Montana,2014-10-08,908.0
Mississippi,2014-02-04,729.0
Missouri,2014-10-21,1072.0
Oklahoma,2014-01-23,657.0
Alaska,2014-05-18,580.0
Missouri,2014-03-06,1324.0
Mississippi,2014-04-17,701.0
Oregon,2014-03-18,971.0
Missouri,2014-08-30,1310.0
Oklahoma,2014-04-18,488.0
Iowa,2014-10-05,1094.0
Arkansas,2014-12-06,1205.0
Mississippi,2014-06-06,516.0
Louisiana,2014-12-09,1409.0
Idaho,2014-04-28,1354.0
Idaho,2014-05-27,1399.0
Montana,2014-11-21,732.0
Missouri,2014-11-03,1248.0
Mississippi,2014-06-27,740.0
Texas,2014-12-22,1079.0
New Mexico,2014-10-22,907.0
Oregon,2014-09-20,747.0
Nevada,2014-07-07,584.0
Idaho,2014-12-04,1328.0
Louisiana,2014-08-19,1443.0
Montana,2014-10-15,859.0
Maine,2014-05-28,386.0
Arkansas,2014-07-08,1303.0
Washington,2014-11-02,965.0
Louisiana,2014-12-07,1265.0
Oregon,2014-01-13,665.0
Arkansas,2014-10-31,1126.0
Washington,2014-06-28,902.0
Idaho,2014-07-04,1244.0
New York,2014-05-23,709.0
Florida,2014-02-28,899.0
Georgia,2014-10-17,1205.0
Arkansas,2014-08-08,1283.0
Montana,2014-10-02,762.0
New York,2014-03-08,713.0
New Mexico,2014-09-13,1230.0
Alaska,2014-05-14,466.0
Georgia,2014-11-04,1213.0
Texas,2014-08-29,1157.0
Kansas,2014-05-30,1161.0
Oklahoma,2014-04-25,697.0
Idaho,2014-07-14,1298.0
New York,2014-07-06,531.0
Indiana,2014-04-28,632.0
Washington,2014-11-17,933.0
Kansas,2014-05-22,1126.0
Idaho,2014-07-02,1299.0
Georgia,2014-09-15,1256.0
Nevada,2014-07-28,369.0
Louisiana,2014-11-27,1376.0
Delaware,2014-11-08,636.0
Ohio,2014-04-22,780.0
Montana,2014-11-25,705.0
Louisiana,2014-08-25,1439.0
Texas,2014-03-01,1371.0
Florida,2014-07-22,859.0
Delaware,2014-11-18,861.0
Nebraska,2014-08-27,498.0
Ohio,2014-03-07,453.0
New Mexico,2014-09-21,1117.0
Iowa,2014-06-05,1354.0
Alaska,2014-03-30,733.0
Indiana,2014-10-23,492.0
Maine,2014-11-08,314.0
Nevada,2014-03-24,606.0
Arkansas,2014-09-01,1214.0
Oregon,2014-02-10,786.0
New York,2014-09-04,599.0
Florida,2014-12-18,990.0
Florida,2014-09-21,900.0
Iowa,2014-10-12,1109.0
Arkansas,2014-12-26,1235.0
Indiana,2014-02-09,563.0
Alaska,2014-03-16,809.0
Texas,2014-12-05,1124.0
Delaware,2014-11-07,784.0
Iowa,2014-09-27,1334.0
California,2014-05-31,656.0
California,2014-06-08,557.0
California,2014-01-21,711.0
Oregon,2014-02-27,846.0
New York,2014-07-23,945.0
Texas,2014-02-28,1370.0
New York,2014-02-07,742.0
Mississippi,2014-04-14,618.0
Texas,2014-08-25,1277.0
Kansas,2014-08-25,1029.0
Maine,2014-02-10,391.0
Florida,2014-06-19,929.0
Oregon,2014-02-19,817.0
Missouri,2014-07-07,1077.0
Washington,2014-03-12,1025.0
Indiana,2014-07-18,581.0
Arkansas,2014-08-07,1106.0
Ohio,2014-06-19,752.0
Oklahoma,2014-08-07,635.0
California,2014-01-01,740.0
Washington,2014-04-19,1177.0
New York,2014-03-17,846.0
Nebraska,2014-08-25,693.0
Delaware,2014-09-22,950.0
New York,2014-06-04,802.0
New Mexico,2014-08-15,1230.0
Maine,2014-05-11,182.0
Indiana,2014-08-30,494.0
Idaho,2014-05-26,1514.0
Florida,2014-10-05,795.0
Ohio,2014-01-20,620.0
Maine,2014-01-23,290.0
New York,2014-07-27,746.0
New York,2014-03-12,777.0
Oregon,2014-05-10,619.0
Georgia,2014-09-24,1216.0
Arkansas,2014-07-08,1159.0
New York,2014-08-26,833.0
Idaho,2014-08-11,1188.0
Oklahoma,2014-04-06,586.0
Louisiana,2014-12-10,1314.0
Nevada,2014-03-25,495.0
Alaska,2014-05-02,464.0
Mississippi,2014-01-21,707.0
Nevada,2014-06-01,517.0
Mississippi,2014-08-16,560.0
Kansas,2014-09-28,1124.0
Maine,2014-01-06,486.0
Florida,2014-07-23,920.0
California,2014-12-10,564.0
Missouri,2014-11-02,1093.0
Florida,2014-09-03,873.0
California,2014-08-22,643.0
Iowa,2014-10-09,1112.0
Oklahoma,2014-09-03,568.0
Maine,2014-01-27,457.0
Louisiana,2014-06-26,1548.0
Illinois,2014-11-24,1424.0
Arkansas,2014-08-12,1095.0
Maine,2014-05-08,219.0
Idaho,2014-05-21,1531.0
Ohio,2014-04-21,764.0
Ohio,2014-05-12,677.0
Kansas,2014-08-22,1152.0
Alaska,2014-02-05,733.0
Maine,2014-01-13,502.0
Missouri,2014-07-10,1150.0
New Mexico,2014-11-12,1190.0
