creationdate,tagname
"2008-09-08 15:19:59","numpy"
"2008-09-21 20:23:02","numpy"
"2008-09-23 00:17:09","numpy"
"2008-10-18 04:03:35","numpy"
"2008-10-21 10:21:46","numpy"
"2008-11-21 22:44:41","numpy"
"2008-11-25 05:06:34","numpy"
"2008-11-25 18:23:15","numpy"
"2008-12-12 11:15:15","numpy"
"2008-12-13 16:30:16","numpy"
"2008-12-15 05:44:31","numpy"
"2008-12-21 18:21:32","numpy"
"2009-01-06 18:41:29","numpy"
"2009-01-11 01:21:39","numpy"
"2009-01-14 07:49:24","numpy"
"2009-01-20 18:32:16","numpy"
"2009-01-22 16:54:05","numpy"
"2009-01-24 17:26:24","numpy"
"2009-02-01 06:17:38","numpy"
"2009-02-08 01:15:16","numpy"
"2009-02-17 18:49:20","numpy"
"2009-02-18 08:45:47","numpy"
"2009-02-20 09:58:11","numpy"
"2009-02-20 16:04:25","numpy"
"2009-02-21 18:12:07","numpy"
"2009-03-02 06:57:43","numpy"
"2009-03-06 21:08:28","numpy"
"2009-03-13 17:07:53","numpy"
"2009-03-30 01:48:21","numpy"
"2009-04-15 16:14:35","numpy"
"2009-04-17 04:08:36","numpy"
"2009-04-21 15:02:51","numpy"
"2009-04-26 14:37:33","numpy"
"2009-04-27 22:43:38","numpy"
"2009-04-30 09:43:57","numpy"
"2009-05-16 12:53:23","numpy"
"2009-05-18 12:24:11","numpy"
"2009-05-18 12:52:21","numpy"
"2009-05-21 15:55:54","numpy"
"2009-05-24 00:08:50","numpy"
"2009-05-26 14:17:04","numpy"
"2009-05-26 17:43:47","numpy"
"2009-06-01 12:27:46","numpy"
"2009-06-03 13:48:45","numpy"
"2009-06-07 17:21:44","numpy"
"2009-06-09 18:18:06","numpy"
"2009-06-14 23:02:14","numpy"
"2009-06-16 13:54:13","numpy"
"2009-06-17 14:36:13","numpy"
"2009-06-22 03:34:16","numpy"
"2009-06-22 20:20:59","numpy"
"2009-06-28 00:32:21","numpy"
"2009-06-28 15:47:55","numpy"
"2009-06-29 10:44:24","numpy"
"2009-06-29 13:49:38","numpy"
"2009-07-01 00:19:18","numpy"
"2009-07-08 19:32:19","numpy"
"2009-07-29 12:39:52","numpy"
"2009-07-29 14:25:01","numpy"
"2009-07-29 17:24:12","numpy"
"2009-07-30 17:32:27","numpy"
"2009-08-06 02:31:46","numpy"
"2009-08-09 01:45:21","numpy"
"2009-08-11 20:39:00","numpy"
"2009-08-13 16:48:29","numpy"
"2009-08-18 19:33:20","numpy"
"2009-08-19 15:20:52","numpy"
