creationdate,tagname
"2011-01-01 18:04:08","scikit-learn"
"2011-04-03 12:39:33","scikit-learn"
"2011-07-07 09:08:19","scikit-learn"
"2011-09-12 17:10:03","scikit-learn"
"2011-11-14 15:04:24","scikit-learn"
"2011-11-24 04:39:55","scikit-learn"
"2011-11-26 19:36:33","scikit-learn"
"2011-11-27 08:41:15","scikit-learn"
"2011-12-02 17:31:03","scikit-learn"
"2011-12-16 19:23:58","scikit-learn"
"2012-01-21 20:11:58","scikit-learn"
"2012-02-01 05:47:56","scikit-learn"
"2012-02-06 16:23:50","scikit-learn"
"2012-02-12 08:58:05","scikit-learn"
"2012-02-15 18:46:13","scikit-learn"
"2012-02-20 03:53:01","scikit-learn"
"2012-02-20 17:56:07","scikit-learn"
"2012-03-09 22:45:21","scikit-learn"
"2012-03-10 16:03:23","scikit-learn"
"2012-03-11 17:33:22","scikit-learn"
"2012-03-13 02:28:44","scikit-learn"
"2012-03-16 09:05:59","scikit-learn"
"2012-04-12 14:01:22","scikit-learn"
"2012-04-18 14:03:45","scikit-learn"
"2012-04-22 12:45:28","scikit-learn"
"2012-04-24 18:56:11","scikit-learn"
"2012-04-25 15:33:21","scikit-learn"
"2012-04-29 15:22:51","scikit-learn"
"2012-04-30 04:45:32","scikit-learn"
"2012-05-01 01:44:39","scikit-learn"
"2012-05-02 03:19:36","scikit-learn"
"2012-05-09 14:39:07","scikit-learn"
"2012-05-10 01:59:31","scikit-learn"
"2012-05-13 07:35:11","scikit-learn"
"2012-05-15 00:06:11","scikit-learn"
"2012-06-07 16:44:19","scikit-learn"
"2012-06-07 22:00:24","scikit-learn"
"2012-06-08 18:16:25","scikit-learn"
"2012-06-13 21:15:30","scikit-learn"
"2012-06-17 22:05:33","scikit-learn"
"2012-06-17 23:18:42","scikit-learn"
"2012-06-19 13:50:20","scikit-learn"
"2012-06-19 22:30:32","scikit-learn"
"2012-06-20 09:36:19","scikit-learn"
"2012-06-21 15:41:00","scikit-learn"
"2012-06-25 15:41:10","scikit-learn"
"2012-06-25 18:47:46","scikit-learn"
"2012-06-27 16:30:55","scikit-learn"
"2012-06-27 17:51:53","scikit-learn"
"2012-07-05 13:18:16","scikit-learn"
"2012-07-11 21:26:25","scikit-learn"
"2012-07-13 05:07:03","scikit-learn"
"2012-07-17 19:30:39","scikit-learn"
"2012-07-21 18:29:03","scikit-learn"
"2012-07-22 12:55:58","scikit-learn"
"2012-07-24 17:07:10","scikit-learn"
"2012-07-27 15:26:39","scikit-learn"
"2012-07-29 06:11:30","scikit-learn"
"2012-08-01 16:29:20","scikit-learn"
"2012-08-01 22:40:54","scikit-learn"
"2012-08-04 09:59:16","scikit-learn"
"2012-08-04 15:16:32","scikit-learn"
"2012-08-08 17:47:32","scikit-learn"
"2012-08-10 23:24:42","scikit-learn"
"2012-08-11 02:44:49","scikit-learn"
"2012-08-11 16:17:40","scikit-learn"
"2012-08-11 23:32:41","scikit-learn"
"2012-08-17 01:49:55","scikit-learn"
"2012-08-17 02:48:36","scikit-learn"
"2012-08-18 18:13:26","scikit-learn"
"2012-08-20 06:25:23","scikit-learn"
"2012-08-24 02:00:51","scikit-learn"
"2012-08-24 04:49:17","scikit-learn"
"2012-08-26 15:43:49","scikit-learn"
"2012-08-28 16:12:16","scikit-learn"
"2012-08-29 10:01:32","scikit-learn"
"2012-08-30 13:20:54","scikit-learn"
"2012-08-31 17:01:55","scikit-learn"
"2012-08-31 20:49:08","scikit-learn"
"2012-09-01 11:54:46","scikit-learn"
"2012-09-01 12:49:42","scikit-learn"
"2012-09-02 11:03:52","scikit-learn"
"2012-09-02 15:19:02","scikit-learn"
"2012-09-03 12:19:46","scikit-learn"
"2012-09-03 19:32:23","scikit-learn"
"2012-09-03 23:49:01","scikit-learn"
"2012-09-05 13:59:32","scikit-learn"
"2012-09-05 18:25:31","scikit-learn"
"2012-09-06 13:51:23","scikit-learn"
"2012-09-10 16:06:10","scikit-learn"
"2012-09-10 20:30:32","scikit-learn"
"2012-09-11 15:20:50","scikit-learn"
"2012-09-16 03:50:00","scikit-learn"
"2012-09-17 09:25:52","scikit-learn"
"2012-09-17 13:18:56","scikit-learn"
"2012-09-17 15:24:36","scikit-learn"
"2012-09-18 11:55:20","scikit-learn"
"2012-09-18 20:16:32","scikit-learn"
"2012-09-27 06:39:45","scikit-learn"
"2012-09-27 07:46:00","scikit-learn"
"2012-09-28 02:55:04","scikit-learn"
"2012-10-01 19:50:03","scikit-learn"
"2012-10-02 18:48:21","scikit-learn"
"2012-10-03 21:00:57","scikit-learn"
"2012-10-04 06:27:33","scikit-learn"
"2012-10-04 21:28:39","scikit-learn"
"2012-10-05 02:50:26","scikit-learn"
"2012-10-05 12:40:48","scikit-learn"
"2012-10-05 13:10:04","scikit-learn"
"2012-10-08 14:04:58","scikit-learn"
"2012-10-10 18:04:11","scikit-learn"
"2012-10-18 02:53:31","scikit-learn"
"2012-10-18 17:41:14","scikit-learn"
"2012-10-19 08:28:51","scikit-learn"
"2012-10-20 09:41:04","scikit-learn"
"2012-10-24 14:49:38","scikit-learn"
"2012-10-24 20:24:11","scikit-learn"
"2012-10-25 12:10:03","scikit-learn"
"2012-10-30 18:08:53","scikit-learn"
"2012-10-31 15:55:24","scikit-learn"
"2012-11-01 16:28:05","scikit-learn"
"2012-11-03 20:03:47","scikit-learn"
"2012-11-04 11:40:45","scikit-learn"
"2012-11-04 16:56:27","scikit-learn"
"2012-11-07 16:17:09","scikit-learn"
"2012-11-08 17:18:56","scikit-learn"
"2012-11-09 00:11:41","scikit-learn"
"2012-11-09 04:09:33","scikit-learn"
"2012-11-10 17:03:09","scikit-learn"
"2012-11-12 15:16:46","scikit-learn"
"2012-11-13 22:51:50","scikit-learn"
"2012-11-14 01:39:08","scikit-learn"
"2012-11-20 16:47:22","scikit-learn"
"2012-11-20 19:48:12","scikit-learn"
"2012-11-22 16:00:18","scikit-learn"
"2012-11-22 23:14:12","scikit-learn"
"2012-11-27 17:58:46","scikit-learn"
"2012-11-28 09:37:58","scikit-learn"
"2012-11-29 15:06:41","scikit-learn"
"2012-11-30 08:39:56","scikit-learn"
"2012-12-03 13:15:20","scikit-learn"
"2012-12-04 11:12:48","scikit-learn"
"2012-12-06 10:20:42","scikit-learn"
"2012-12-06 11:05:44","scikit-learn"
"2012-12-11 13:40:02","scikit-learn"
"2012-12-12 09:37:30","scikit-learn"
"2012-12-12 11:10:40","scikit-learn"
"2012-12-18 22:46:14","scikit-learn"
"2012-12-19 07:23:45","scikit-learn"
"2012-12-19 15:57:24","scikit-learn"
"2012-12-20 13:19:01","scikit-learn"
"2012-12-20 14:08:43","scikit-learn"
"2012-12-21 01:14:13","scikit-learn"
"2012-12-21 13:50:03","scikit-learn"
"2012-12-21 13:54:59","scikit-learn"
"2012-12-28 16:07:20","scikit-learn"
"2013-01-01 07:12:00","scikit-learn"
"2013-01-01 23:29:56","scikit-learn"
"2013-01-02 04:24:03","scikit-learn"
"2013-01-02 15:25:52","scikit-learn"
"2013-01-03 05:05:58","scikit-learn"
"2013-01-05 15:14:23","scikit-learn"
"2013-01-07 08:30:27","scikit-learn"
"2013-01-08 00:49:01","scikit-learn"
"2013-01-08 02:39:16","scikit-learn"
"2013-01-08 23:32:02","scikit-learn"
"2013-01-09 09:19:18","scikit-learn"
"2013-01-09 11:05:22","scikit-learn"
"2013-01-10 09:08:22","scikit-learn"
"2013-01-10 10:26:33","scikit-learn"
"2013-01-10 13:16:04","scikit-learn"
"2013-01-13 14:27:16","scikit-learn"
"2013-01-14 19:12:55","scikit-learn"
"2013-01-16 13:06:50","scikit-learn"
"2013-01-16 15:23:46","scikit-learn"
"2013-01-16 16:40:41","scikit-learn"
"2013-01-16 20:51:12","scikit-learn"
"2013-01-19 00:06:41","scikit-learn"
"2013-01-19 01:26:10","scikit-learn"
"2013-01-21 11:46:54","scikit-learn"
"2013-01-21 15:14:16","scikit-learn"
"2013-01-23 04:39:09","scikit-learn"
"2013-01-24 16:09:45","scikit-learn"
"2013-01-24 16:55:47","scikit-learn"
"2013-01-25 01:31:19","scikit-learn"
"2013-01-25 20:59:16","scikit-learn"
"2013-01-26 11:55:37","scikit-learn"
"2013-01-26 16:32:34","scikit-learn"
"2013-01-27 14:30:10","scikit-learn"
"2013-01-28 07:46:52","scikit-learn"
"2013-01-28 13:00:35","scikit-learn"
"2013-01-28 23:15:24","scikit-learn"
"2013-01-29 19:40:32","scikit-learn"
"2013-01-31 01:38:29","scikit-learn"
"2013-01-31 02:09:43","scikit-learn"
"2013-02-02 21:50:03","scikit-learn"
"2013-02-04 05:16:48","scikit-learn"
"2013-02-04 09:22:20","scikit-learn"
"2013-02-04 11:45:08","scikit-learn"
"2013-02-04 14:03:14","scikit-learn"
"2013-02-05 13:19:13","scikit-learn"
"2013-02-05 19:52:40","scikit-learn"
"2013-02-07 13:44:26","scikit-learn"
"2013-02-08 15:38:05","scikit-learn"
"2013-02-09 01:36:27","scikit-learn"
"2013-02-09 05:55:07","scikit-learn"
"2013-02-10 01:18:13","scikit-learn"
"2013-02-11 13:46:22","scikit-learn"
"2013-02-13 13:03:04","scikit-learn"
"2013-02-13 13:55:42","scikit-learn"
"2013-02-13 19:12:31","scikit-learn"
"2013-02-13 21:06:24","scikit-learn"
"2013-02-14 00:50:30","scikit-learn"
"2013-02-14 01:11:00","scikit-learn"
"2013-02-18 00:57:30","scikit-learn"
"2013-02-18 02:14:07","scikit-learn"
"2013-02-18 08:13:39","scikit-learn"
"2013-02-18 12:16:33","scikit-learn"
"2013-02-19 10:42:39","scikit-learn"
"2013-02-19 14:33:03","scikit-learn"
"2013-02-19 17:54:05","scikit-learn"
"2013-02-20 18:07:02","scikit-learn"
"2013-02-21 02:32:20","scikit-learn"
"2013-02-22 02:10:14","scikit-learn"
"2013-02-22 10:05:17","scikit-learn"
"2013-02-22 23:03:30","scikit-learn"
"2013-02-23 03:13:41","scikit-learn"
"2013-02-24 16:25:10","scikit-learn"
"2013-02-25 02:56:01","scikit-learn"
"2013-02-25 11:23:09","scikit-learn"
"2013-02-26 10:01:25","scikit-learn"
"2013-02-27 10:02:13","scikit-learn"
"2013-02-27 11:50:57","scikit-learn"
"2013-02-28 18:45:54","scikit-learn"
"2013-03-01 04:09:40","scikit-learn"
"2013-03-01 09:43:04","scikit-learn"
"2013-03-01 09:44:31","scikit-learn"
"2013-03-01 18:31:25","scikit-learn"
"2013-03-02 17:45:15","scikit-learn"
"2013-03-03 01:04:09","scikit-learn"
"2013-03-04 23:54:27","scikit-learn"
"2013-03-05 10:05:20","scikit-learn"
"2013-03-05 20:38:56","scikit-learn"
"2013-03-06 08:07:18","scikit-learn"
"2013-03-06 17:40:10","scikit-learn"
"2013-03-06 20:47:12","scikit-learn"
"2013-03-07 11:00:22","scikit-learn"
"2013-03-07 15:12:12","scikit-learn"
"2013-03-07 18:56:01","scikit-learn"
"2013-03-07 21:24:48","scikit-learn"
"2013-03-10 16:31:10","scikit-learn"
"2013-03-10 20:19:49","scikit-learn"
"2013-03-12 12:57:19","scikit-learn"
"2013-03-12 18:17:59","scikit-learn"
"2013-03-14 05:24:20","scikit-learn"
"2013-03-14 20:43:28","scikit-learn"
"2013-03-15 00:04:51","scikit-learn"
"2013-03-15 06:24:45","scikit-learn"
"2013-03-15 17:40:37","scikit-learn"
"2013-03-18 07:06:12","scikit-learn"
"2013-03-18 18:18:20","scikit-learn"
"2013-03-20 11:10:02","scikit-learn"
"2013-03-20 14:42:11","scikit-learn"
"2013-03-21 20:18:59","scikit-learn"
"2013-03-23 02:16:26","scikit-learn"
"2013-03-27 17:51:32","scikit-learn"
"2013-03-27 22:12:52","scikit-learn"
"2013-03-28 11:45:29","scikit-learn"
"2013-03-29 00:37:04","scikit-learn"
"2013-03-29 13:49:20","scikit-learn"
"2013-03-31 18:14:16","scikit-learn"
"2013-04-01 06:23:10","scikit-learn"
"2013-04-01 09:14:54","scikit-learn"
"2013-04-03 19:26:40","scikit-learn"
"2013-04-03 19:45:11","scikit-learn"
"2013-04-04 11:53:03","scikit-learn"
"2013-04-04 18:31:47","scikit-learn"
"2013-04-04 18:39:31","scikit-learn"
"2013-04-04 20:30:36","scikit-learn"
"2013-04-04 21:08:54","scikit-learn"
"2013-04-07 16:51:42","scikit-learn"
"2013-04-07 18:50:25","scikit-learn"
"2013-04-07 19:31:58","scikit-learn"
"2013-04-08 01:28:46","scikit-learn"
"2013-04-08 19:40:47","scikit-learn"
"2013-04-09 07:05:14","scikit-learn"
"2013-04-09 19:32:31","scikit-learn"
"2013-04-10 07:47:19","scikit-learn"
"2013-04-10 07:57:00","scikit-learn"
"2013-04-10 23:02:34","scikit-learn"
"2013-04-11 02:41:46","scikit-learn"
"2013-04-11 09:44:16","scikit-learn"
"2013-04-12 10:10:58","scikit-learn"
"2013-04-13 15:44:01","scikit-learn"
"2013-04-17 02:55:43","scikit-learn"
"2013-04-17 16:02:48","scikit-learn"
"2013-04-17 22:37:45","scikit-learn"
"2013-04-18 02:50:18","scikit-learn"
"2013-04-18 08:27:06","scikit-learn"
"2013-04-18 10:39:46","scikit-learn"
"2013-04-19 01:49:00","scikit-learn"
"2013-04-20 16:00:16","scikit-learn"
"2013-04-20 18:08:34","scikit-learn"
"2013-04-21 07:15:58","scikit-learn"
"2013-04-22 00:41:07","scikit-learn"
"2013-04-23 14:26:43","scikit-learn"
"2013-04-24 18:12:44","scikit-learn"
"2013-04-25 21:20:31","scikit-learn"
"2013-04-26 16:05:50","scikit-learn"
"2013-04-26 22:19:10","scikit-learn"
"2013-04-27 19:26:36","scikit-learn"
"2013-04-28 00:39:50","scikit-learn"
"2013-04-29 03:10:39","scikit-learn"
"2013-04-29 04:32:55","scikit-learn"
"2013-04-29 21:25:18","scikit-learn"
"2013-05-01 00:18:06","scikit-learn"
"2013-05-01 19:31:30","scikit-learn"
"2013-05-01 21:18:19","scikit-learn"
"2013-05-02 02:24:15","scikit-learn"
"2013-05-02 04:32:06","scikit-learn"
"2013-05-02 06:54:05","scikit-learn"
"2013-05-03 03:42:13","scikit-learn"
"2013-05-04 16:39:34","scikit-learn"
"2013-05-04 19:18:58","scikit-learn"
"2013-05-04 21:50:36","scikit-learn"
"2013-05-05 05:04:01","scikit-learn"
"2013-05-05 13:21:29","scikit-learn"
"2013-05-06 06:06:23","scikit-learn"
"2013-05-06 14:18:09","scikit-learn"
"2013-05-06 15:38:37","scikit-learn"
"2013-05-07 10:25:54","scikit-learn"
"2013-05-07 11:07:43","scikit-learn"
"2013-05-07 17:06:44","scikit-learn"
"2013-05-08 09:24:18","scikit-learn"
"2013-05-08 19:46:52","scikit-learn"
"2013-05-09 03:02:10","scikit-learn"
"2013-05-09 03:29:06","scikit-learn"
"2013-05-10 10:42:32","scikit-learn"
"2013-05-11 22:51:17","scikit-learn"
"2013-05-12 02:12:31","scikit-learn"
"2013-05-12 13:35:23","scikit-learn"
"2013-05-13 20:57:00","scikit-learn"
"2013-05-14 05:05:35","scikit-learn"
"2013-05-14 06:56:04","scikit-learn"
"2013-05-16 05:44:17","scikit-learn"
"2013-05-17 18:19:39","scikit-learn"
