date,open,high,low,close,adjusted_close,volume,dividend_amount
2019-10-08,137.08,137.76,135.62,135.67,135.67,25550500,0.0
2019-10-09,137.46,138.7,136.97,138.24,138.24,19749900,0.0
2019-10-10,138.49,139.67,138.25,139.1,139.1,17654600,0.0
2019-10-11,140.12,141.03,139.5,139.68,139.68,25446000,0.0
2019-10-14,139.69,140.29,139.52,139.55,139.55,13304300,0.0
2019-10-15,140.06,141.79,139.81,141.57,141.57,19695700,0.0
2019-10-16,140.79,140.99,139.53,140.41,140.41,20751600,0.0
2019-10-17,140.95,141.42,139.02,139.69,139.69,21460600,0.0
2019-10-18,139.76,140.0,136.5638,137.41,137.41,27654449,0.0
2019-10-21,138.45,138.5,137.01,138.39,138.39,20668059,0.0
