date,MSFT,AAPL,SLB,AMZN,TSLA,XOM,WMT,T,FB,V
1999-10-25,29.84,2.32,17.02,82.75,,21.45,38.99,16.78,,
1999-10-26,29.82,2.34,16.65,81.25,,20.89,37.11,17.28,,
1999-10-27,29.33,2.38,16.52,75.94,,20.8,36.94,18.27,,
1999-10-28,29.01,2.43,16.59,71.0,,21.19,38.85,19.79,,
1999-10-29,29.88,2.5,17.21,70.62,,21.47,39.25,20.0,,
1999-11-01,29.82,2.42,17.76,69.12,,21.67,39.2,20.1,,
1999-11-02,29.88,2.5,17.02,66.44,,21.48,39.12,19.24,,
1999-11-03,29.7,2.54,17.23,65.81,,21.16,38.85,19.17,,
1999-11-04,29.61,2.61,17.09,63.06,,21.16,39.03,19.39,,
1999-11-05,29.55,2.75,16.27,64.94,,20.47,40.47,19.43,,
1999-11-08,29.03,3.0,17.11,78.0,,21.54,40.77,19.34,,
1999-11-09,28.69,2.79,17.71,70.81,,21.96,40.42,19.27,,
1999-11-10,28.12,2.85,17.91,72.0,,22.16,39.81,19.29,,
1999-11-11,28.93,2.88,17.57,73.0,,22.4,40.03,19.39,,
1999-11-12,28.79,2.82,18.33,74.94,,22.71,41.03,19.36,,
1999-11-15,28.08,2.79,18.48,73.5,,22.74,41.08,19.32,,
1999-11-16,28.18,2.84,18.9,78.94,,23.09,41.73,19.22,,
1999-11-17,27.44,2.81,19.47,76.5,,23.4,41.03,19.58,,
1999-11-18,27.42,2.79,18.95,77.94,,23.63,41.38,19.47,,
1999-11-19,27.76,2.88,18.76,77.94,,23.23,40.51,19.53,,
1999-11-22,28.99,2.82,18.55,80.5,,23.19,39.55,19.48,,
1999-11-23,28.93,2.89,18.3,81.75,,22.74,38.99,19.36,,
1999-11-24,29.59,2.95,18.07,87.25,,23.07,40.38,19.32,,
1999-11-26,29.41,2.96,17.75,93.12,,22.74,40.56,19.72,,
1999-11-29,29.11,2.95,17.2,90.44,,23.14,41.12,19.72,,
1999-11-30,29.39,3.05,17.25,85.06,,23.12,40.16,19.96,,
1999-12-01,30.08,3.21,17.35,85.0,,24.05,40.83,19.77,,
1999-12-02,30.6,3.43,17.48,89.06,,23.93,40.19,19.55,,
1999-12-03,31.03,3.58,16.98,86.56,,24.06,41.16,20.29,,
1999-12-06,30.8,3.62,16.86,87.75,,24.45,41.52,20.12,,
1999-12-07,30.02,3.67,16.31,86.06,,24.45,40.42,20.83,,
1999-12-08,29.61,3.43,16.88,88.56,,24.34,40.88,20.5,,
1999-12-09,29.94,3.28,16.52,103.62,,25.11,43.38,20.48,,
1999-12-10,30.3,3.21,15.95,106.69,,24.14,44.08,20.29,,
1999-12-13,31.19,3.09,15.35,102.5,,24.1,47.39,20.22,,
1999-12-14,31.85,2.96,15.61,95.62,,24.02,46.74,20.19,,
1999-12-15,35.0,3.02,16.33,96.5,,24.22,46.04,19.74,,
1999-12-16,36.7,3.06,16.25,94.88,,24.42,47.86,19.53,,
1999-12-17,37.2,3.12,15.79,94.06,,24.09,45.34,19.48,,
1999-12-20,36.39,3.05,15.73,97.0,,23.89,44.83,19.17,,
1999-12-21,37.4,3.19,15.9,99.88,,23.54,45.2,19.15,,
1999-12-22,37.95,3.11,16.13,97.69,,23.62,45.81,19.05,,
1999-12-23,37.91,3.23,16.97,90.0,,24.44,46.99,19.27,,
1999-12-27,38.45,3.1,16.67,81.12,,23.91,48.43,18.56,,
1999-12-28,37.93,3.06,16.63,82.31,,23.53,48.34,18.68,,
1999-12-29,38.07,3.14,17.08,83.5,,23.67,46.99,18.01,,
1999-12-30,37.97,3.13,16.67,79.06,,23.45,47.3,18.08,,
1999-12-31,37.68,3.2,18.11,76.12,,23.49,48.21,18.49,,
2000-01-03,37.62,3.49,17.72,89.38,,22.83,46.6,17.82,,
2000-01-04,36.35,3.19,17.48,81.94,,22.4,44.86,16.78,,
2000-01-05,36.74,3.24,17.44,69.75,,23.62,43.94,17.04,,
2000-01-06,35.51,2.96,18.63,65.56,,24.84,44.42,16.68,,
2000-01-07,35.97,3.1,18.97,69.56,,24.76,47.78,16.82,,
2000-01-10,36.23,3.05,19.15,69.19,,24.42,46.9,17.06,,
2000-01-11,35.3,2.89,19.54,66.75,,24.49,46.21,16.82,,
2000-01-12,34.15,2.72,19.09,63.56,,24.35,45.38,15.94,,
2000-01-13,34.8,3.02,19.64,65.94,,24.91,45.42,15.56,,
2000-01-14,36.23,3.13,19.84,64.25,,24.42,44.99,16.01,,
2000-01-18,37.22,3.24,21.33,64.12,,24.71,45.73,15.68,,
2000-01-19,34.54,3.32,21.25,66.81,,24.95,44.68,15.46,,
2000-01-20,34.21,3.54,20.83,64.75,,24.4,44.2,15.63,,
2000-01-21,33.49,3.47,21.29,62.06,,24.78,43.55,16.39,,
2000-01-24,32.68,3.31,20.75,70.12,,24.56,41.41,16.01,,
2000-01-25,33.19,3.5,20.48,69.25,,24.51,42.63,15.25,,
2000-01-26,32.08,3.43,20.28,64.81,,24.35,43.2,15.25,,
2000-01-27,31.87,3.43,20.16,66.94,,23.62,41.24,14.87,,
2000-01-28,31.71,3.17,19.36,61.69,,23.0,38.45,14.96,,
2000-01-31,31.59,3.23,19.7,64.56,,24.16,38.19,16.35,,
2000-02-01,33.23,3.12,20.63,67.44,,24.25,40.93,16.16,,
2000-02-02,32.54,3.08,19.84,69.44,,24.44,40.71,16.2,,
2000-02-03,33.45,3.22,19.78,84.19,,24.02,40.71,16.01,,
2000-02-04,34.4,3.37,19.19,78.56,,23.58,39.28,16.01,,
2000-02-07,34.42,3.56,19.58,75.0,,23.54,38.88,15.97,,
2000-02-08,35.48,3.58,19.19,83.12,,23.02,41.5,16.04,,
2000-02-09,33.57,3.51,18.41,80.25,,22.36,40.32,16.25,,
2000-02-10,34.21,3.54,19.05,76.19,,22.25,39.76,16.06,,
2000-02-11,32.26,3.39,18.85,76.19,,21.66,39.1,15.42,,
2000-02-14,32.16,3.61,19.52,74.44,,22.41,41.06,15.58,,
2000-02-15,31.81,3.71,20.97,73.81,,23.25,40.45,15.51,,
2000-02-16,31.51,3.56,21.29,70.69,,23.46,36.79,14.89,,
2000-02-17,32.16,3.58,21.57,69.0,,22.83,33.74,15.25,,
2000-02-18,30.68,3.47,21.45,64.75,,21.99,33.3,14.58,,
2000-02-22,30.28,3.55,21.19,63.56,,22.12,33.57,13.92,,
2000-02-23,30.42,3.62,20.93,70.44,,21.88,32.78,13.63,,
2000-02-24,30.58,3.59,22.2,68.44,,21.35,33.39,13.53,,
2000-02-25,29.47,3.44,21.74,69.12,,20.84,31.04,13.51,,
2000-02-28,29.55,3.53,22.47,65.75,,21.55,32.21,14.11,,
2000-02-29,28.85,3.57,23.96,68.88,,22.08,34.0,14.39,,
2000-03-01,29.31,4.06,25.0,65.88,,22.3,34.18,16.01,,
2000-03-02,30.14,3.8,26.48,62.56,,22.58,35.27,17.25,,
2000-03-03,31.03,3.99,25.51,62.5,,22.19,36.7,17.37,,
2000-03-06,29.25,3.92,25.1,63.94,,21.38,35.22,16.54,,
2000-03-07,29.98,3.83,26.66,63.5,,23.46,33.17,15.97,,
2000-03-08,30.84,3.8,25.0,63.62,,23.35,33.7,15.87,,
2000-03-09,32.28,3.81,24.86,68.81,,23.58,34.13,15.85,,
2000-03-10,32.6,3.92,24.88,66.88,,22.59,33.43,16.01,,
2000-03-13,31.63,3.78,25.24,65.31,,22.25,33.26,16.66,,
2000-03-14,30.7,3.56,24.74,65.62,,22.65,33.3,16.06,,
2000-03-15,30.78,3.62,23.97,63.75,,22.8,35.96,16.2,,
2000-03-16,30.78,3.79,24.49,66.25,,23.38,38.15,17.2,,
2000-03-17,32.08,3.9,24.11,64.81,,22.61,38.93,17.44,,
2000-03-20,31.43,3.83,22.79,64.19,,21.95,38.5,16.94,,
2000-03-21,33.16,4.21,23.36,72.38,,22.58,39.54,17.25,,
2000-03-22,33.33,4.49,24.86,70.69,,21.97,38.67,16.51,,
2000-03-23,36.11,4.4,25.08,67.69,,22.14,37.71,16.61,,
2000-03-24,36.05,4.32,25.37,72.69,,22.65,38.76,16.39,,
2000-03-27,33.59,4.35,25.83,73.12,,22.43,38.71,16.47,,
2000-03-28,33.67,4.34,24.94,70.12,,23.16,38.06,16.2,,
2000-03-29,34.6,4.24,26.32,66.25,,23.6,41.03,16.11,,
2000-03-30,33.37,3.92,25.22,66.5,,23.05,41.2,15.87,,
2000-03-31,34.29,4.23,24.82,67.0,,22.87,39.46,16.06,,
2000-04-03,29.33,4.16,26.34,63.56,,23.6,42.73,17.06,,
2000-04-04,28.59,3.97,25.69,63.94,,24.19,41.9,17.54,,
2000-04-05,27.88,4.06,23.93,62.19,,23.38,40.68,17.66,,
2000-04-06,27.76,3.9,24.33,64.25,,23.97,42.69,17.87,,
2000-04-07,28.75,4.11,23.89,67.56,,23.33,42.95,17.78,,
2000-04-10,27.78,3.9,22.81,63.38,,22.94,44.39,17.73,,
2000-04-11,27.07,3.72,23.66,63.38,,23.27,44.26,18.11,,
2000-04-12,25.62,3.41,23.76,56.38,,23.44,43.6,18.02,,
2000-04-13,25.58,3.55,23.28,48.0,,23.46,41.94,18.02,,
2000-04-14,23.93,3.49,22.77,46.88,,23.09,38.41,16.34,,
2000-04-17,24.49,3.86,22.16,47.06,,22.14,37.71,16.05,,
2000-04-18,26.0,3.95,23.97,54.94,,22.34,37.62,15.91,,
2000-04-19,25.4,3.78,23.93,53.44,,22.7,38.37,16.08,,
2000-04-20,25.48,3.71,23.87,52.38,,23.16,40.29,15.79,,
2000-04-24,21.5,3.76,24.11,49.81,,23.42,41.12,16.2,,
2000-04-25,22.39,4.0,24.31,52.44,,23.75,41.68,17.23,,
2000-04-26,21.95,3.78,25.08,53.5,,23.49,41.03,16.87,,
2000-04-27,22.53,3.95,25.51,52.88,,23.66,40.29,16.58,,
2000-04-28,22.51,3.87,24.84,55.19,,22.78,38.67,16.8,,
2000-05-01,23.7,3.87,24.33,59.94,,22.87,40.46,17.11,,
2000-05-02,22.55,3.67,25.16,56.12,,22.94,40.24,16.24,,
2000-05-03,22.78,3.59,24.45,54.12,,22.72,37.32,16.08,,
2000-05-04,22.74,3.45,24.66,55.06,,23.31,35.62,15.74,,
2000-05-05,22.96,3.53,25.18,58.5,,23.46,35.83,16.48,,
2000-05-08,22.53,3.43,24.84,56.02,,23.58,36.58,16.44,,
2000-05-09,21.89,3.29,25.2,56.25,,23.29,37.01,16.22,,
2000-05-10,21.36,3.1,24.94,53.31,,23.9,39.59,17.3,,
2000-05-11,21.91,3.2,25.35,54.88,,24.45,39.11,17.47,,
2000-05-12,22.21,3.35,26.14,53.75,,24.18,39.67,17.19,,
2000-05-15,22.39,3.15,26.99,56.06,,24.65,39.81,17.63,,
2000-05-16,22.43,3.29,26.87,59.06,,24.54,40.5,17.51,,
2000-05-17,21.85,3.16,26.93,61.0,,23.99,39.37,17.37,,
2000-05-18,21.36,3.14,26.2,55.38,,24.01,40.46,16.96,,
2000-05-19,21.0,2.93,25.69,52.62,,24.1,39.85,16.36,,
2000-05-22,20.72,2.8,23.87,51.88,,24.56,40.07,16.29,,
2000-05-23,20.4,2.67,24.39,46.69,,24.47,39.94,16.03,,
2000-05-24,21.16,2.73,24.09,48.56,,24.45,39.72,16.53,,
2000-05-25,19.85,2.72,24.03,45.5,,24.01,38.41,16.13,,
2000-05-26,19.83,2.69,23.05,46.5,,24.28,37.71,16.34,,
2000-05-30,20.46,2.73,23.03,51.75,,24.61,37.27,16.96,,
2000-05-31,20.19,2.62,23.87,48.31,,24.56,40.24,16.75,,
2000-06-01,20.84,2.78,23.72,50.19,,24.45,39.81,16.87,,
2000-06-02,21.4,2.88,22.63,57.88,,23.34,41.25,17.25,,
2000-06-05,21.59,2.85,22.53,54.5,,23.38,41.42,16.99,,
2000-06-06,22.47,2.89,23.36,50.56,,24.26,40.68,17.37,,
2000-06-07,22.76,3.01,23.44,51.81,,23.91,40.42,17.78,,
2000-06-08,22.21,2.96,23.73,51.88,,23.6,39.72,18.02,,
2000-06-09,22.21,2.98,23.32,52.19,,23.34,37.71,18.45,,
2000-06-12,21.59,2.84,23.82,48.44,,23.8,36.84,17.95,,
2000-06-13,21.91,2.95,24.3,49.0,,23.93,38.41,18.4,,
2000-06-14,22.76,2.82,24.22,46.44,,24.36,38.54,19.17,,
2000-06-15,23.36,2.88,23.97,46.31,,24.3,38.8,18.66,,
2000-06-16,23.42,2.84,24.73,46.0,,24.87,37.66,18.11,,
2000-06-19,23.78,3.01,24.08,45.31,,24.78,38.01,18.21,,
2000-06-20,24.19,3.16,24.16,46.12,,24.54,38.1,18.09,,
2000-06-21,26.04,3.47,25.32,46.06,,24.75,37.71,18.45,,
2000-06-22,25.78,3.35,24.52,42.0,,24.38,36.7,18.83,,
2000-06-23,25.08,3.22,24.3,33.88,,24.5,37.58,18.62,,
2000-06-26,25.66,3.37,24.2,33.94,,24.57,37.58,18.16,,
2000-06-27,25.44,3.23,24.54,36.5,,24.19,39.72,17.85,,
2000-06-28,25.48,3.39,23.83,37.88,,24.21,39.14,17.22,,
2000-06-29,24.91,3.19,24.16,37.12,,23.94,37.84,17.47,,
2000-06-30,25.82,3.26,24.34,36.31,,23.14,40.29,16.87,,
2000-07-03,25.82,3.32,24.24,37.0,,23.45,39.76,17.85,,
2000-07-05,25.34,3.22,22.83,36.5,,22.68,39.85,17.54,,
2000-07-06,26.12,3.23,23.4,36.06,,23.05,40.2,16.82,,
2000-07-07,26.47,3.39,23.26,36.12,,23.15,43.04,17.23,,
2000-07-10,25.64,3.56,22.47,35.06,,23.03,42.82,17.28,,
2000-07-11,25.54,3.55,24.45,33.12,,23.75,43.34,17.11,,
2000-07-12,25.92,3.67,24.04,35.06,,23.17,42.65,17.32,,
2000-07-13,25.8,3.52,24.2,35.0,,22.99,41.33,17.64,,
2000-07-14,25.48,3.6,24.4,42.62,,22.86,41.6,17.49,,
2000-07-17,25.24,3.64,23.6,41.12,,23.21,42.45,16.68,,
2000-07-18,25.34,3.57,24.69,41.75,,23.05,41.99,16.77,,
2000-07-19,23.6,3.28,24.81,40.88,,23.2,41.95,16.82,,
2000-07-20,24.15,3.44,24.54,40.31,,23.03,41.95,16.62,,
2000-07-21,23.34,3.34,23.91,41.12,,22.74,41.73,16.58,,
2000-07-24,22.78,3.04,23.16,38.75,,22.77,40.15,16.65,,
2000-07-25,22.27,3.12,23.02,37.62,,22.22,41.38,16.96,,
2000-07-26,21.89,3.12,23.26,36.06,,22.46,41.07,16.62,,
2000-07-27,22.39,3.24,23.93,31.38,,23.73,41.99,16.5,,
2000-07-28,22.49,3.01,24.08,30.0,,23.58,41.03,16.38,,
2000-07-31,22.53,3.17,24.11,30.12,,23.64,38.63,16.41,,
2000-08-01,22.17,3.07,24.63,30.25,,23.58,38.1,16.84,,
2000-08-02,22.39,2.95,25.44,30.81,,24.43,37.8,17.08,,
2000-08-03,22.67,2.99,24.89,31.5,,24.01,37.66,16.96,,
2000-08-04,22.31,2.95,25.39,32.5,,24.09,37.01,16.94,,
2000-08-07,22.59,2.99,25.49,33.81,,23.85,38.54,17.11,,
2000-08-08,23.93,2.91,25.91,32.94,,23.82,40.29,16.38,,
2000-08-09,23.97,2.96,26.83,30.88,,23.9,37.49,16.07,,
2000-08-10,23.44,2.96,26.4,30.44,,24.01,35.65,16.31,,
2000-08-11,23.38,2.97,25.97,33.69,,24.12,36.44,16.41,,
2000-08-14,23.3,2.93,26.75,34.88,,24.47,36.97,16.14,,
2000-08-15,23.12,2.91,26.79,37.56,,24.1,36.05,16.19,,
2000-08-16,22.92,3.02,28.14,38.62,,24.53,34.91,15.93,,
2000-08-17,23.1,3.21,28.23,38.25,,24.84,34.96,15.23,,
2000-08-18,22.92,3.12,27.81,39.0,,24.58,35.57,15.16,,
2000-08-21,22.8,3.15,28.03,37.5,,24.75,34.26,15.44,,
2000-08-22,23.0,3.22,28.13,36.5,,24.64,34.34,15.28,,
2000-08-23,22.84,3.39,28.48,38.81,,25.05,34.34,15.49,,
2000-08-24,22.96,3.5,28.07,39.38,,24.58,34.56,15.61,,
2000-08-25,22.8,3.54,27.97,39.94,,24.58,35.3,15.88,,
2000-08-28,23.02,3.62,28.66,39.12,,24.55,34.61,16.24,,
2000-08-29,22.9,3.69,28.12,39.62,,24.46,34.56,16.31,,
