date,MSFT,AAPL,SLB
2010-01-04,24.4436,26.6813,52.942
2010-01-05,24.4515,26.7275,53.0918
2010-01-06,24.3015,26.3023,54.2752
2010-01-07,24.0487,26.2537,54.8353
2010-01-08,24.2146,26.4282,55.7346
2010-01-11,23.9066,26.1951,55.7346
2010-01-12,23.7486,25.8971,54.8984
2010-01-13,23.9698,26.2624,55.8924
2010-01-14,24.4515,26.1103,56.2395
2010-01-15,24.3725,25.674,55.8766
2010-01-19,24.5621,26.8097,55.9555
2010-01-20,24.1593,26.3971,54.5039
2010-01-21,23.7012,25.9408,53.8886
2010-01-22,22.872,24.6541,51.4667
2010-01-25,23.1563,25.3174,51.9164
2010-01-26,23.2984,25.6752,51.8691
2010-01-27,23.4327,25.9171,51.8296
2010-01-28,23.0299,24.8461,50.9855
2010-01-29,22.2559,23.9448,50.0625
2010-02-01,22.4376,24.2776,51.1117
2010-02-02,22.4771,24.4185,52.161
2010-02-03,22.6113,24.8387,52.0584
2010-02-04,21.9874,23.9435,49.3052
2010-02-05,22.1296,24.3686,48.9581
2010-02-08,21.8926,24.2016,49.0054
2010-02-09,22.1217,24.4597,50.2992
2010-02-10,22.1059,24.3263,50.2124
2010-02-11,22.2086,24.7688,51.0881
2010-02-12,22.0585,24.982,50.8902
2010-02-16,22.4949,25.3586,51.9587
2010-02-17,22.6853,25.2526,51.7846
2010-02-18,22.9868,25.3,52.0853
2010-02-19,22.8282,25.1429,50.5736
2010-02-22,22.7964,24.987,48.7296
2010-02-23,22.479,24.5681,48.1834
2010-02-24,22.7171,25.0169,48.2072
2010-02-25,22.6933,25.184,48.1281
2010-02-26,22.7488,25.5107,48.3576
2010-03-01,23.0265,26.0555,48.6108
2010-03-02,22.5822,26.038,49.711
2010-03-03,22.5822,26.0979,50.0434
2010-03-04,22.7171,26.2699,49.7664
2010-03-05,22.6853,27.2972,50.5024
2010-03-08,22.7171,27.3134,51.0327
2010-03-09,22.852,27.8046,50.7319
2010-03-10,22.9868,28.0315,50.8111
2010-03-11,23.1535,28.1138,50.5736
2010-03-12,23.2249,28.251,51.0802
2010-03-15,23.2408,27.9069,50.8981
2010-03-16,23.3042,27.9829,51.8558
2010-03-17,23.5105,27.9418,52.7105
2010-03-18,23.4947,28.0079,51.6421
2010-03-19,23.4788,27.7086,50.906
2010-03-22,23.4867,28.0203,50.2491
2010-03-23,23.7089,28.4704,49.8851
