State,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014"
United States,"United States
(39.759995942000046, -98.49999896099996)",3.3,3.1,1.3,1.2,6.7,6.2,3.1,3.0,5.2,4.9,1.5,1.4
Alabama,"Alabama
(32.84057234800002, -86.63185738799996)",5.5,5.5,2.7,2.1,10.3,10.0,5.0,5.5,8.4,8.6,2.9,2.6
Alaska,"Alaska
(64.84507799500005, -147.72205958799998)",,2.8,,,,,,,,,,
Arizona,"Arizona
(34.86597351900008, -111.76380664699997)",3.6,3.0,1.6,,6.9,5.5,3.3,3.1,5.4,4.5,1.7,1.5
Arkansas,"Arkansas
(34.74865032200006, -92.27448966799994)",5.1,4.6,,,10.5,6.3,4.3,5.4,8.1,7.2,2.2,2.2
California,"California
(37.63864210000003, -120.99999644699994)",2.0,2.2,0.9,1.0,4.5,4.6,1.8,2.0,3.2,3.4,1.0,1.1
Colorado,"Colorado
(38.84384342200008, -106.13360911499996)",2.5,3.0,,1.7,5.6,5.6,2.0,2.6,3.9,4.6,1.1,1.3
Connecticut,"Connecticut
(41.56266070000004, -72.64983977999998)",2.4,2.7,,,5.9,6.1,2.1,2.5,3.7,4.6,1.1,
Delaware,"Delaware
(39.00883389200004, -75.57773597599999)",3.8,5.2,,,,11.7,4.0,4.6,6.6,7.4,,
District of Columbia,"District of Columbia
(38.89037258400003, -77.03195678499998)",,,,,,,,,,,,
Florida,"Florida
(28.932042722000062, -81.92895768899996)",3.7,3.5,1.2,1.2,8.0,7.4,3.3,3.1,5.7,5.4,1.7,1.7
Georgia,"Georgia
(32.839683200000024, -83.62757885599996)",3.0,2.7,1.0,0.8,5.8,5.2,3.1,2.9,4.9,4.7,1.2,0.9
Hawaii,"Hawaii
(21.30485232600006, -157.85774798099996)",3.8,2.2,,,,,3.2,,5.7,3.6,,
Idaho,"Idaho
(43.68263174800006, -114.36372693399994)",3.6,3.3,,,8.7,,2.7,3.0,5.8,4.8,,
