airline,status,ATL,DEN,DFW,IAH,LAS,LAX,MSP,ORD,PHX,SFO
AA,Delayed,42,57,893,40,79,202,25,378,170,68
AA,On Time,191,162,3113,156,295,783,122,1118,709,297
AS,Delayed,3,4,2,1,12,23,4,7,5,23
AS,On Time,10,46,45,6,109,239,11,45,59,114
B6,Delayed,0,10,5,0,30,32,0,30,5,33
B6,On Time,0,16,16,0,92,95,0,43,14,122
DL,Delayed,924,27,21,14,38,146,255,47,24,56
DL,On Time,5696,200,119,85,264,588,1496,175,201,225
EV,Delayed,373,45,185,310,0,0,57,336,0,0
EV,On Time,1319,118,532,1403,0,0,146,1033,1,0
F9,Delayed,41,155,12,8,33,13,15,50,17,21
F9,On Time,107,480,31,36,79,26,30,89,37,37
HA,Delayed,0,0,0,0,5,9,0,0,4,7
HA,On Time,0,0,0,0,17,41,0,0,15,14
MQ,Delayed,23,0,412,1,0,2,4,479,0,0
MQ,On Time,33,0,1158,1,0,4,0,1354,0,0
NK,Delayed,56,29,83,66,89,41,36,116,8,0
NK,On Time,63,93,186,75,228,83,63,170,31,0
OO,Delayed,33,318,30,132,5,270,102,297,82,266
OO,On Time,111,992,77,311,69,863,616,769,464,781
UA,Delayed,27,309,23,405,66,166,25,483,26,297
UA,On Time,60,1122,70,1258,284,651,94,1231,150,1045
US,Delayed,10,9,19,10,9,25,8,27,162,14
US,On Time,54,56,89,66,78,87,64,76,695,57
VX,Delayed,0,0,0,0,16,74,0,14,0,85
VX,On Time,0,0,0,0,91,291,0,27,0,395
WN,Delayed,277,355,0,0,465,344,37,0,397,108
WN,On Time,960,1254,0,0,1566,791,200,0,1327,337
