date,rain,snow,temperature
2007-01-01,Yes,No,68.0
2007-01-02,No,No,55.9
2007-01-03,No,No,62.1
2007-01-04,No,No,69.1
2007-01-05,Yes,No,72.0
2007-01-06,Yes,No,71.1
2007-01-07,Yes,No,66.0
2007-01-08,Yes,No,66.9
2007-01-09,Yes,No,55.0
2007-01-10,No,No,44.1
2007-01-11,No,No,51.1
2007-01-12,No,No,64.9
2007-01-13,No,No,69.1
2007-01-14,No,No,73.9
2007-01-15,No,No,73.9
2007-01-16,Yes,No,63.0
2007-01-17,No,No,39.9
2007-01-18,Yes,Yes,35.1
2007-01-19,Yes,No,54.0
2007-01-20,No,No,48.0
2007-01-21,Yes,No,35.1
2007-01-22,Yes,No,41.0
2007-01-23,No,No,50.0
2007-01-24,No,No,48.9
2007-01-25,No,No,46.9
2007-01-26,No,No,48.9
2007-01-27,No,No,64.0
2007-01-28,Yes,Yes,57.9
2007-01-29,No,No,37.0
2007-01-30,No,No,48.9
2007-01-31,No,No,39.9
2007-02-01,Yes,Yes,34.0
2007-02-02,Yes,No,45.0
2007-02-03,No,No,45.0
2007-02-04,No,No,50.0
2007-02-05,No,No,39.9
2007-02-06,No,No,39.0
2007-02-07,No,No,52.0
2007-02-08,No,No,48.0
2007-02-09,No,No,42.1
2007-02-10,No,No,46.0
2007-02-11,No,No,50.0
2007-02-12,No,No,64.0
2007-02-13,Yes,No,50.0
2007-02-14,Yes,No,53.1
2007-02-15,No,No,39.9
2007-02-16,No,No,39.0
2007-02-17,No,No,48.0
2007-02-18,No,No,45.0
2007-02-19,No,No,50.0
2007-02-20,No,No,66.0
2007-02-21,Yes,No,73.0
2007-02-22,No,No,73.9
2007-02-23,No,No,55.0
2007-02-24,No,Yes,57.0
2007-02-25,Yes,No,51.1
2007-02-26,No,No,61.0
2007-02-27,No,No,64.9
2007-02-28,No,No,61.0
2007-03-01,Yes,No,66.9
2007-03-02,Yes,No,68.0
2007-03-03,No,No,69.1
2007-03-04,No,No,50.0
2007-03-05,No,No,64.0
2007-03-06,No,No,55.0
2007-03-07,No,No,70.0
2007-03-08,No,No,55.0
2007-03-09,No,No,59.0
2007-03-10,No,No,71.1
2007-03-11,Yes,No,70.0
2007-03-12,No,No,66.9
2007-03-13,No,No,80.1
2007-03-14,No,No,81.0
2007-03-15,Yes,No,81.0
2007-03-16,Yes,No,66.0
2007-03-17,No,No,48.9
2007-03-18,No,No,48.9
2007-03-19,No,No,63.0
2007-03-20,No,No,77.0
2007-03-21,No,No,63.0
2007-03-22,No,No,77.0
2007-03-23,No,No,82.9
2007-03-24,No,No,86.0
2007-03-25,No,No,79.0
2007-03-26,No,No,73.9
2007-03-27,Yes,No,87.1
2007-03-28,No,No,86.0
2007-03-29,Yes,No,61.0
2007-03-30,No,No,70.0
2007-03-31,No,No,79.0
2007-04-01,Yes,No,77.0
2007-04-02,Yes,No,82.9
2007-04-03,No,No,86.0
2007-04-04,Yes,No,82.0
2007-04-05,No,No,57.9
2007-04-06,Yes,No,57.0
2007-04-07,Yes,Yes,48.0
2007-04-08,No,No,55.9
2007-04-09,No,No,55.9
2007-04-10,No,No,64.0
2007-04-11,Yes,No,59.0
2007-04-12,Yes,No,75.0
2007-04-13,No,No,66.9
2007-04-14,Yes,No,70.0
2007-04-15,Yes,No,77.0
