datetime,Seattle,San Francisco,Los Angeles,Las Vegas,Denver,Houston,Chicago,Atlanta,Miami,New York
2013-01-01 00:00:00,75.0,58.0,,42.0,46.0,70.0,,55.0,56.0,
2013-01-01 01:00:00,80.0,62.0,,42.0,50.0,76.0,64.0,64.0,63.0,54.0
2013-01-01 02:00:00,86.0,70.0,43.0,52.0,58.0,76.0,69.0,,63.0,54.0
2013-01-01 03:00:00,,70.0,,52.0,53.0,76.0,,86.0,63.0,54.0
2013-01-01 04:00:00,,70.0,53.0,52.0,53.0,81.0,68.0,80.0,63.0,54.0
2013-01-01 05:00:00,86.0,70.0,46.0,48.0,67.0,81.0,68.0,86.0,63.0,54.0
2013-01-01 06:00:00,71.0,73.0,64.0,61.0,,81.0,,,66.0,
2013-01-01 07:00:00,93.0,,,45.0,62.0,81.0,68.0,92.0,68.0,46.0
2013-01-01 08:00:00,93.0,,52.0,38.0,62.0,81.0,,92.0,64.0,46.0
2013-01-01 09:00:00,,61.0,49.0,38.0,62.0,87.0,,86.0,60.0,46.0
2013-01-01 10:00:00,86.0,65.0,45.0,38.0,67.0,87.0,69.0,86.0,64.0,47.0
2013-01-01 11:00:00,,70.0,70.0,38.0,67.0,93.0,64.0,86.0,68.0,50.0
2013-01-01 12:00:00,80.0,75.0,70.0,38.0,67.0,87.0,55.0,92.0,63.0,
2013-01-01 13:00:00,92.0,75.0,75.0,38.0,72.0,87.0,59.0,92.0,64.0,58.0
2013-01-01 14:00:00,,69.0,86.0,40.0,72.0,87.0,59.0,,56.0,58.0
2013-01-01 15:00:00,86.0,65.0,80.0,40.0,72.0,87.0,64.0,74.0,56.0,
2013-01-01 16:00:00,86.0,74.0,,40.0,72.0,93.0,64.0,48.0,53.0,50.0
2013-01-01 17:00:00,86.0,70.0,49.0,32.0,67.0,87.0,64.0,42.0,53.0,47.0
2013-01-01 18:00:00,80.0,52.0,,28.0,85.0,93.0,59.0,37.0,53.0,47.0
2013-01-01 19:00:00,74.0,42.0,54.0,26.0,73.0,87.0,59.0,34.0,53.0,47.0
2013-01-01 20:00:00,,46.0,,24.0,73.0,93.0,,32.0,53.0,44.0
2013-01-01 21:00:00,80.0,40.0,33.0,22.0,73.0,93.0,,32.0,56.0,47.0
2013-01-01 22:00:00,75.0,34.0,35.0,21.0,73.0,93.0,68.0,37.0,56.0,51.0
2013-01-01 23:00:00,75.0,34.0,41.0,22.0,67.0,93.0,68.0,40.0,64.0,44.0
2013-01-02 00:00:00,75.0,43.0,50.0,22.0,67.0,93.0,68.0,43.0,60.0,47.0
2013-01-02 01:00:00,,40.0,54.0,28.0,73.0,93.0,68.0,46.0,60.0,44.0
2013-01-02 02:00:00,69.0,57.0,66.0,28.0,78.0,94.0,68.0,46.0,60.0,44.0
2013-01-02 03:00:00,,61.0,66.0,35.0,85.0,94.0,68.0,,60.0,44.0
2013-01-02 04:00:00,,66.0,70.0,40.0,85.0,94.0,62.0,57.0,64.0,48.0
2013-01-02 05:00:00,,66.0,76.0,40.0,78.0,88.0,62.0,61.0,60.0,48.0
2013-01-02 06:00:00,80.0,75.0,75.0,43.0,85.0,88.0,62.0,65.0,60.0,52.0
2013-01-02 07:00:00,80.0,75.0,75.0,47.0,92.0,88.0,57.0,75.0,60.0,60.0
2013-01-02 08:00:00,,75.0,75.0,,85.0,94.0,57.0,75.0,64.0,56.0
2013-01-02 09:00:00,,81.0,65.0,54.0,85.0,94.0,62.0,75.0,64.0,56.0
2013-01-02 10:00:00,,81.0,70.0,54.0,72.0,93.0,62.0,75.0,60.0,56.0
2013-01-02 11:00:00,,81.0,70.0,58.0,85.0,88.0,61.0,75.0,60.0,55.0
2013-01-02 12:00:00,92.0,81.0,65.0,58.0,85.0,93.0,61.0,75.0,60.0,55.0
2013-01-02 13:00:00,92.0,75.0,65.0,54.0,78.0,93.0,61.0,76.0,68.0,60.0
2013-01-02 14:00:00,80.0,65.0,65.0,58.0,78.0,93.0,61.0,93.0,56.0,60.0
2013-01-02 15:00:00,86.0,65.0,70.0,50.0,72.0,87.0,52.0,100.0,60.0,60.0
2013-01-02 16:00:00,86.0,65.0,61.0,54.0,73.0,93.0,48.0,100.0,57.0,60.0
2013-01-02 17:00:00,86.0,70.0,57.0,47.0,79.0,87.0,57.0,100.0,53.0,60.0
2013-01-02 18:00:00,80.0,65.0,,34.0,57.0,87.0,53.0,100.0,57.0,64.0
2013-01-02 19:00:00,69.0,65.0,35.0,32.0,49.0,87.0,38.0,100.0,57.0,59.0
2013-01-02 20:00:00,60.0,66.0,35.0,27.0,39.0,76.0,32.0,100.0,64.0,55.0
2013-01-02 21:00:00,56.0,57.0,28.0,24.0,30.0,76.0,30.0,100.0,64.0,48.0
2013-01-02 22:00:00,,57.0,23.0,20.0,28.0,76.0,32.0,100.0,64.0,51.0
2013-01-02 23:00:00,56.0,53.0,21.0,20.0,28.0,76.0,44.0,100.0,69.0,47.0
2013-01-03 00:00:00,60.0,54.0,21.0,20.0,25.0,76.0,48.0,100.0,73.0,47.0
2013-01-03 01:00:00,69.0,53.0,24.0,24.0,32.0,76.0,48.0,100.0,73.0,43.0
2013-01-03 02:00:00,69.0,57.0,34.0,26.0,32.0,76.0,56.0,100.0,73.0,
2013-01-03 03:00:00,69.0,61.0,32.0,29.0,29.0,81.0,56.0,93.0,73.0,50.0
2013-01-03 04:00:00,69.0,65.0,40.0,27.0,52.0,76.0,56.0,93.0,77.0,50.0
2013-01-03 05:00:00,80.0,93.0,49.0,29.0,,77.0,72.0,100.0,,62.0
2013-01-03 06:00:00,79.0,77.0,42.0,37.0,34.0,82.0,71.0,97.0,38.0,67.0
2013-01-03 07:00:00,78.0,61.0,36.0,46.0,69.0,88.0,70.0,95.0,76.0,72.0
2013-01-03 08:00:00,78.0,61.0,36.0,46.0,69.0,88.0,70.0,95.0,76.0,72.0
2013-01-03 09:00:00,78.0,61.0,36.0,46.0,69.0,88.0,70.0,95.0,76.0,72.0
2013-01-03 10:00:00,78.0,61.0,36.0,46.0,69.0,88.0,70.0,95.0,76.0,72.0
2013-01-03 11:00:00,78.0,61.0,36.0,46.0,69.0,88.0,70.0,95.0,76.0,72.0
2013-01-03 12:00:00,78.0,61.0,36.0,46.0,69.0,88.0,70.0,95.0,76.0,72.0
2013-01-03 13:00:00,66.0,66.0,32.0,47.0,69.0,78.0,67.0,83.0,72.0,65.0
2013-01-03 14:00:00,83.0,73.0,43.0,42.0,55.0,76.0,59.0,82.0,81.0,82.0
2013-01-03 15:00:00,86.0,80.0,69.0,37.0,41.0,75.0,52.0,81.0,69.0,49.0
2013-01-03 16:00:00,86.0,80.0,,34.0,38.0,75.0,44.0,81.0,69.0,46.0
2013-01-03 17:00:00,86.0,70.0,43.0,29.0,35.0,70.0,44.0,75.0,61.0,50.0
2013-01-03 18:00:00,80.0,70.0,30.0,26.0,,70.0,45.0,75.0,61.0,46.0
2013-01-03 19:00:00,69.0,61.0,25.0,24.0,,75.0,39.0,75.0,61.0,
2013-01-03 20:00:00,48.0,53.0,17.0,22.0,36.0,75.0,39.0,75.0,61.0,43.0
2013-01-03 21:00:00,42.0,57.0,18.0,22.0,36.0,70.0,39.0,75.0,61.0,40.0
2013-01-03 22:00:00,42.0,50.0,23.0,21.0,50.0,75.0,46.0,81.0,69.0,47.0
2013-01-03 23:00:00,42.0,,38.0,21.0,,81.0,,86.0,,
2013-01-04 00:00:00,39.0,58.0,27.0,21.0,42.0,75.0,57.0,80.0,78.0,
2013-01-04 01:00:00,44.0,57.0,,23.0,45.0,70.0,62.0,80.0,78.0,50.0
2013-01-04 02:00:00,47.0,81.0,50.0,23.0,53.0,70.0,62.0,86.0,78.0,50.0
2013-01-04 03:00:00,44.0,66.0,57.0,24.0,66.0,70.0,62.0,86.0,78.0,54.0
2013-01-04 04:00:00,41.0,70.0,62.0,26.0,61.0,70.0,67.0,86.0,78.0,54.0
